ticker,date,open,high,low,close
GBPSGD,1981-01-02,4.9857,4.9857,4.9857,4.9857
GBPSGD,1981-01-05,5.0268,5.0268,5.0268,5.0268
GBPSGD,1981-01-06,5.0388,5.0388,5.0388,5.0388
GBPSGD,1981-01-07,5.0152,5.0152,5.0152,5.0152
GBPSGD,1981-01-08,5.0038,5.0038,5.0038,5.0038
GBPSGD,1981-01-09,4.9966,4.9966,4.9966,4.9966
GBPSGD,1981-01-12,4.9938,4.9938,4.9938,4.9938
GBPSGD,1981-01-13,5.0012,5.0012,5.0012,5.0012
GBPSGD,1981-01-14,5.0159,5.0159,5.0159,5.0159
GBPSGD,1981-01-15,5.0058,5.0058,5.0058,5.0058
GBPSGD,1981-01-16,4.9761,4.9761,4.9761,4.9761
GBPSGD,1981-01-19,4.9937,4.9937,4.9937,4.9937
GBPSGD,1981-01-20,5.0119,5.0119,5.0119,5.0119
GBPSGD,1981-01-21,5.018,5.018,5.018,5.018
GBPSGD,1981-01-22,4.9947,4.9947,4.9947,4.9947
GBPSGD,1981-01-23,5.012,5.012,5.012,5.012
GBPSGD,1981-01-26,5.0329,5.0329,5.0329,5.0329
GBPSGD,1981-01-27,4.9928,4.9928,4.9928,4.9928
GBPSGD,1981-01-28,4.9904,4.9904,4.9904,4.9904
GBPSGD,1981-01-29,4.97,4.97,4.97,4.97
GBPSGD,1981-01-30,4.9385,4.9385,4.9385,4.9385
GBPSGD,1981-02-02,4.8858,4.8858,4.8858,4.8858
GBPSGD,1981-02-03,4.889,4.889,4.889,4.889
GBPSGD,1981-02-04,4.8766,4.8766,4.8766,4.8766
GBPSGD,1981-02-05,4.8523,4.8523,4.8523,4.8523
GBPSGD,1981-02-06,4.8605,4.8605,4.8605,4.8605
GBPSGD,1981-02-09,4.8537,4.8537,4.8537,4.8537
GBPSGD,1981-02-10,4.8633,4.8633,4.8633,4.8633
GBPSGD,1981-02-11,4.8541,4.8541,4.8541,4.8541
GBPSGD,1981-02-13,4.7862,4.7862,4.7862,4.7862
GBPSGD,1981-02-17,4.7443,4.7443,4.7443,4.7443
GBPSGD,1981-02-18,4.7519,4.7519,4.7519,4.7519
GBPSGD,1981-02-19,4.7799,4.7799,4.7799,4.7799
GBPSGD,1981-02-20,4.8164,4.8164,4.8164,4.8164
GBPSGD,1981-02-23,4.694,4.694,4.694,4.694
GBPSGD,1981-02-24,4.6818,4.6818,4.6818,4.6818
GBPSGD,1981-02-25,4.676,4.676,4.676,4.676
GBPSGD,1981-02-26,4.6671,4.6671,4.6671,4.6671
GBPSGD,1981-02-27,4.6344,4.6344,4.6344,4.6344
GBPSGD,1981-03-02,4.5968,4.5968,4.5968,4.5968
GBPSGD,1981-03-03,4.6517,4.6517,4.6517,4.6517
GBPSGD,1981-03-04,4.6292,4.6292,4.6292,4.6292
GBPSGD,1981-03-05,4.6509,4.6509,4.6509,4.6509
GBPSGD,1981-03-06,4.624,4.624,4.624,4.624
GBPSGD,1981-03-09,4.6613,4.6613,4.6613,4.6613
GBPSGD,1981-03-10,4.6823,4.6823,4.6823,4.6823
GBPSGD,1981-03-11,4.6543,4.6543,4.6543,4.6543
GBPSGD,1981-03-12,4.6849,4.6849,4.6849,4.6849
GBPSGD,1981-03-13,4.6696,4.6696,4.6696,4.6696
GBPSGD,1981-03-16,4.6994,4.6994,4.6994,4.6994
GBPSGD,1981-03-17,4.7223,4.7223,4.7223,4.7223
GBPSGD,1981-03-18,4.7414,4.7414,4.7414,4.7414
GBPSGD,1981-03-19,4.7559,4.7559,4.7559,4.7559
GBPSGD,1981-03-20,4.7251,4.7251,4.7251,4.7251
GBPSGD,1981-03-23,4.7224,4.7224,4.7224,4.7224
GBPSGD,1981-03-24,4.7508,4.7508,4.7508,4.7508
GBPSGD,1981-03-25,4.7308,4.7308,4.7308,4.7308
GBPSGD,1981-03-26,4.7027,4.7027,4.7027,4.7027
GBPSGD,1981-03-27,4.6539,4.6539,4.6539,4.6539
GBPSGD,1981-03-30,4.6678,4.6678,4.6678,4.6678
GBPSGD,1981-03-31,4.6676,4.6676,4.6676,4.6676
GBPSGD,1981-04-01,4.6941,4.6941,4.6941,4.6941
GBPSGD,1981-04-02,4.6418,4.6418,4.6418,4.6418
GBPSGD,1981-04-03,4.6007,4.6007,4.6007,4.6007
GBPSGD,1981-04-06,4.5658,4.5658,4.5658,4.5658
GBPSGD,1981-04-07,4.6352,4.6352,4.6352,4.6352
GBPSGD,1981-04-08,4.6157,4.6157,4.6157,4.6157
GBPSGD,1981-04-09,4.6001,4.6001,4.6001,4.6001
GBPSGD,1981-04-10,4.5945,4.5945,4.5945,4.5945
GBPSGD,1981-04-13,4.5644,4.5644,4.5644,4.5644
GBPSGD,1981-04-14,4.6002,4.6002,4.6002,4.6002
GBPSGD,1981-04-15,4.5533,4.5533,4.5533,4.5533
GBPSGD,1981-04-16,4.5517,4.5517,4.5517,4.5517
GBPSGD,1981-04-17,4.5619,4.5619,4.5619,4.5619
GBPSGD,1981-04-20,4.5739,4.5739,4.5739,4.5739
GBPSGD,1981-04-21,4.5912,4.5912,4.5912,4.5912
GBPSGD,1981-04-22,4.6383,4.6383,4.6383,4.6383
GBPSGD,1981-04-23,4.6097,4.6097,4.6097,4.6097
GBPSGD,1981-04-24,4.5937,4.5937,4.5937,4.5937
GBPSGD,1981-04-27,4.5687,4.5687,4.5687,4.5687
GBPSGD,1981-04-28,4.558,4.558,4.558,4.558
GBPSGD,1981-04-29,4.5459,4.5459,4.5459,4.5459
GBPSGD,1981-04-30,4.5367,4.5367,4.5367,4.5367
GBPSGD,1981-05-01,4.5511,4.5511,4.5511,4.5511
GBPSGD,1981-05-04,4.5139,4.5139,4.5139,4.5139
GBPSGD,1981-05-05,4.5246,4.5246,4.5246,4.5246
GBPSGD,1981-05-06,4.526,4.526,4.526,4.526
GBPSGD,1981-05-07,4.5143,4.5143,4.5143,4.5143
GBPSGD,1981-05-08,4.5105,4.5105,4.5105,4.5105
GBPSGD,1981-05-11,4.5034,4.5034,4.5034,4.5034
GBPSGD,1981-05-12,4.4961,4.4961,4.4961,4.4961
GBPSGD,1981-05-13,4.4757,4.4757,4.4757,4.4757
GBPSGD,1981-05-14,4.4628,4.4628,4.4628,4.4628
GBPSGD,1981-05-15,4.4749,4.4749,4.4749,4.4749
GBPSGD,1981-05-18,4.497,4.497,4.497,4.497
GBPSGD,1981-05-19,4.4747,4.4747,4.4747,4.4747
GBPSGD,1981-05-20,4.4664,4.4664,4.4664,4.4664
GBPSGD,1981-05-21,4.4514,4.4514,4.4514,4.4514
GBPSGD,1981-05-22,4.4682,4.4682,4.4682,4.4682
GBPSGD,1981-05-26,4.4667,4.4667,4.4667,4.4667
GBPSGD,1981-05-27,4.4533,4.4533,4.4533,4.4533
GBPSGD,1981-05-28,4.4622,4.4622,4.4622,4.4622
GBPSGD,1981-05-29,4.4636,4.4636,4.4636,4.4636
GBPSGD,1981-06-01,4.4321,4.4321,4.4321,4.4321
GBPSGD,1981-06-02,4.3899,4.3899,4.3899,4.3899
GBPSGD,1981-06-03,4.3459,4.3459,4.3459,4.3459
GBPSGD,1981-06-04,4.2103,4.2103,4.2103,4.2103
GBPSGD,1981-06-05,4.1882,4.1882,4.1882,4.1882
GBPSGD,1981-06-08,4.1967,4.1967,4.1967,4.1967
GBPSGD,1981-06-09,4.2018,4.2018,4.2018,4.2018
GBPSGD,1981-06-10,4.2445,4.2445,4.2445,4.2445
GBPSGD,1981-06-11,4.2058,4.2058,4.2058,4.2058
GBPSGD,1981-06-12,4.2123,4.2123,4.2123,4.2123
GBPSGD,1981-06-15,4.2603,4.2603,4.2603,4.2603
GBPSGD,1981-06-16,4.2408,4.2408,4.2408,4.2408
GBPSGD,1981-06-17,4.256,4.256,4.256,4.256
GBPSGD,1981-06-18,4.2124,4.2124,4.2124,4.2124
GBPSGD,1981-06-19,4.2023,4.2023,4.2023,4.2023
GBPSGD,1981-06-22,4.247,4.247,4.247,4.247
GBPSGD,1981-06-23,4.2553,4.2553,4.2553,4.2553
GBPSGD,1981-06-24,4.2072,4.2072,4.2072,4.2072
GBPSGD,1981-06-25,4.1658,4.1658,4.1658,4.1658
GBPSGD,1981-06-26,4.1559,4.1559,4.1559,4.1559
GBPSGD,1981-06-29,4.1467,4.1467,4.1467,4.1467
GBPSGD,1981-06-30,4.1144,4.1144,4.1144,4.1144
GBPSGD,1981-07-01,4.0677,4.0677,4.0677,4.0677
GBPSGD,1981-07-02,4.0601,4.0601,4.0601,4.0601
GBPSGD,1981-07-03,4.0733,4.0733,4.0733,4.0733
GBPSGD,1981-07-06,4.106,4.106,4.106,4.106
GBPSGD,1981-07-07,4.1065,4.1065,4.1065,4.1065
GBPSGD,1981-07-08,4.0674,4.0674,4.0674,4.0674
GBPSGD,1981-07-09,4.0595,4.0595,4.0595,4.0595
GBPSGD,1981-07-10,4.0708,4.0708,4.0708,4.0708
GBPSGD,1981-07-13,4.0534,4.0534,4.0534,4.0534
GBPSGD,1981-07-14,4.0251,4.0251,4.0251,4.0251
GBPSGD,1981-07-15,4.0675,4.0675,4.0675,4.0675
GBPSGD,1981-07-16,4.057,4.057,4.057,4.057
GBPSGD,1981-07-17,4.0593,4.0593,4.0593,4.0593
GBPSGD,1981-07-20,4.0302,4.0302,4.0302,4.0302
GBPSGD,1981-07-21,3.9956,3.9956,3.9956,3.9956
GBPSGD,1981-07-22,4.0229,4.0229,4.0229,4.0229
GBPSGD,1981-07-23,4.01,4.01,4.01,4.01
GBPSGD,1981-07-24,4.014,4.014,4.014,4.014
GBPSGD,1981-07-27,4.018,4.018,4.018,4.018
GBPSGD,1981-07-28,4.0209,4.0209,4.0209,4.0209
GBPSGD,1981-07-29,4.0152,4.0152,4.0152,4.0152
GBPSGD,1981-07-30,4.0186,4.0186,4.0186,4.0186
