ticker,date,open,high,low,close
GBPTWD,1984-01-02,57.834,57.834,57.834,57.834
GBPTWD,1984-01-09,56.841,56.841,56.841,56.841
GBPTWD,1984-01-16,56.435,56.435,56.435,56.435
GBPTWD,1984-01-23,57.247,57.247,57.247,57.247
GBPTWD,1984-01-30,56.481,56.481,56.481,56.481
GBPTWD,1984-02-06,56.481,56.481,56.481,56.481
GBPTWD,1984-02-13,56.481,56.481,56.481,56.481
GBPTWD,1984-02-20,56.65,56.65,56.65,56.65
GBPTWD,1984-03-01,58.48,58.48,58.48,58.48
GBPTWD,1984-03-05,59.713,59.713,59.713,59.713
GBPTWD,1984-03-12,59.785,59.785,59.785,59.785
GBPTWD,1984-03-19,59.325,59.325,59.325,59.325
GBPTWD,1984-03-26,57.918,57.918,57.918,57.918
GBPTWD,1984-04-02,57.918,57.918,57.918,57.918
GBPTWD,1984-04-09,57.185,57.185,57.185,57.185
GBPTWD,1984-04-16,56.934,56.934,56.934,56.934
GBPTWD,1984-04-24,56.297,56.297,56.297,56.297
GBPTWD,1984-05-02,55.896,55.896,55.896,55.896
GBPTWD,1984-05-07,55.357,55.357,55.357,55.357
GBPTWD,1984-05-14,55.357,55.357,55.357,55.357
GBPTWD,1984-05-21,55.158,55.158,55.158,55.158
GBPTWD,1984-05-28,55.516,55.516,55.516,55.516
GBPTWD,1984-06-04,55.135,55.135,55.135,55.135
GBPTWD,1984-06-11,55.797,55.797,55.797,55.797
GBPTWD,1984-06-18,54.878,54.878,54.878,54.878
GBPTWD,1984-06-25,54.858,54.858,54.858,54.858
GBPTWD,1984-07-02,53.489,53.489,53.489,53.489
GBPTWD,1984-07-09,52.985,52.985,52.985,52.985
GBPTWD,1984-07-16,51.852,51.852,51.852,51.852
GBPTWD,1984-07-23,52.098,52.098,52.098,52.098
GBPTWD,1984-07-30,51.772,51.772,51.772,51.772
GBPTWD,1984-08-06,51.229,51.229,51.229,51.229
GBPTWD,1984-08-13,51.575,51.575,51.575,51.575
GBPTWD,1984-08-20,51.521,51.521,51.521,51.521
GBPTWD,1984-08-27,51.539,51.539,51.539,51.539
GBPTWD,1984-09-01,51.16,51.16,51.16,51.16
GBPTWD,1984-09-10,50.426,50.426,50.426,50.426
GBPTWD,1984-09-17,49.781,49.781,49.781,49.781
GBPTWD,1984-09-24,48.287,48.287,48.287,48.287
GBPTWD,1984-10-01,48.553,48.553,48.553,48.553
GBPTWD,1984-10-08,48.934,48.934,48.934,48.934
GBPTWD,1984-10-15,48.197,48.197,48.197,48.197
GBPTWD,1984-10-22,47.03,47.03,47.03,47.03
GBPTWD,1984-10-29,47.158,47.158,47.158,47.158
GBPTWD,1984-11-05,47.337,47.337,47.337,47.337
GBPTWD,1984-11-12,49.684,49.684,49.684,49.684
GBPTWD,1984-11-19,50.319,50.319,50.319,50.319
GBPTWD,1984-11-26,49.305,49.305,49.305,49.305
GBPTWD,1984-12-01,47.335,47.335,47.335,47.335
GBPTWD,1984-12-10,47.365,47.365,47.365,47.365
GBPTWD,1984-12-17,47.694,47.694,47.694,47.694
GBPTWD,1984-12-24,47.037,47.037,47.037,47.037
GBPTWD,1985-01-01,46.092,46.092,46.092,46.092
GBPTWD,1985-01-07,45.442,45.442,45.442,45.442
GBPTWD,1985-01-14,45.662,45.662,45.662,45.662
GBPTWD,1985-01-21,44.193,44.193,44.193,44.193
GBPTWD,1985-01-28,43.968,43.968,43.968,43.968
GBPTWD,1985-02-04,43.699,43.699,43.699,43.699
GBPTWD,1985-02-11,43.661,43.661,43.661,43.661
GBPTWD,1985-02-18,42.79,42.79,42.79,42.79
GBPTWD,1985-02-25,42.897,42.897,42.897,42.897
GBPTWD,1985-03-04,42.482,42.482,42.482,42.482
GBPTWD,1985-03-11,41.368,41.368,41.368,41.368
GBPTWD,1985-03-18,42.661,42.661,42.661,42.661
GBPTWD,1985-03-25,44.526,44.526,44.526,44.526
GBPTWD,1985-03-29,47.906,47.906,47.906,47.906
GBPTWD,1985-04-01,48.193,48.193,48.193,48.193
GBPTWD,1985-04-09,48.886,48.886,48.886,48.886
GBPTWD,1985-04-15,47.961,47.961,47.961,47.961
GBPTWD,1985-04-22,50.937,50.937,50.937,50.937
GBPTWD,1985-04-29,51.131,51.131,51.131,51.131
GBPTWD,1985-05-06,49.577,49.577,49.577,49.577
GBPTWD,1985-05-13,47.729,47.729,47.729,47.729
GBPTWD,1985-05-20,50.47,50.47,50.47,50.47
GBPTWD,1985-05-27,51.056,51.056,51.056,51.056
GBPTWD,1985-06-01,50.201,50.201,50.201,50.201
GBPTWD,1985-06-10,51.663,51.663,51.663,51.663
GBPTWD,1985-06-17,50.338,50.338,50.338,50.338
GBPTWD,1985-06-24,51.276,51.276,51.276,51.276
GBPTWD,1985-07-01,51.58,51.58,51.58,51.58
GBPTWD,1985-07-08,52.218,52.218,52.218,52.218
GBPTWD,1985-07-15,53.827,53.827,53.827,53.827
GBPTWD,1985-07-23,55.815,55.815,55.815,55.815
GBPTWD,1985-07-29,57.188,57.188,57.188,57.188
GBPTWD,1985-08-05,57.511,57.511,57.511,57.511
GBPTWD,1985-08-12,54.174,54.174,54.174,54.174
GBPTWD,1985-08-19,56.749,56.749,56.749,56.749
GBPTWD,1985-08-26,56.584,56.584,56.584,56.584
GBPTWD,1985-09-02,56.319,56.319,56.319,56.319
GBPTWD,1985-09-09,55.599,55.599,55.599,55.599
GBPTWD,1985-09-16,52.618,52.618,52.618,52.618
GBPTWD,1985-09-23,54.436,54.436,54.436,54.436
GBPTWD,1985-09-30,57.913,57.913,57.913,57.913
GBPTWD,1985-10-07,56.488,56.488,56.488,56.488
GBPTWD,1985-10-14,57.12,57.12,57.12,57.12
GBPTWD,1985-10-21,56.604,56.604,56.604,56.604
GBPTWD,1985-10-28,57.785,57.785,57.785,57.785
GBPTWD,1985-11-04,57.471,57.471,57.471,57.471
GBPTWD,1985-11-11,57.471,57.471,57.471,57.471
GBPTWD,1985-11-18,56.488,56.488,56.488,56.488
GBPTWD,1985-11-25,56.93,56.93,56.93,56.93
GBPTWD,1985-12-02,57.99,57.99,57.99,57.99
GBPTWD,1985-12-09,59.046,59.046,59.046,59.046
GBPTWD,1985-12-16,57.729,57.729,57.729,57.729
GBPTWD,1985-12-23,57.459,57.459,57.459,57.459
GBPTWD,1986-01-01,56.919,56.919,56.919,56.919
GBPTWD,1986-01-06,57.499,57.499,57.499,57.499
GBPTWD,1986-01-13,56.904,56.904,56.904,56.904
GBPTWD,1986-01-20,57.174,57.174,57.174,57.174
GBPTWD,1986-01-27,56.107,56.107,56.107,56.107
GBPTWD,1986-02-01,54.318,54.318,54.318,54.318
GBPTWD,1986-02-10,54.142,54.142,54.142,54.142
GBPTWD,1986-02-17,55.388,55.388,55.388,55.388
GBPTWD,1986-02-24,55.145,55.145,55.145,55.145
GBPTWD,1986-03-01,57.787,57.787,57.787,57.787
GBPTWD,1986-03-03,57.882,57.882,57.882,57.882
GBPTWD,1986-03-10,56.675,56.675,56.675,56.675
GBPTWD,1986-03-17,56.427,56.427,56.427,56.427
GBPTWD,1986-03-18,56.335,56.335,56.335,56.335
GBPTWD,1986-03-24,56.869,56.869,56.869,56.869
GBPTWD,1986-04-01,56.95,56.95,56.95,56.95
GBPTWD,1986-04-07,56.787,56.787,56.787,56.787
GBPTWD,1986-04-09,56.761,56.761,56.761,56.761
GBPTWD,1986-04-14,56.764,56.764,56.764,56.764
GBPTWD,1986-04-21,57.012,57.012,57.012,57.012
GBPTWD,1986-04-28,58.865,58.865,58.865,58.865
GBPTWD,1986-05-05,59.723,59.723,59.723,59.723
GBPTWD,1986-05-12,58.782,58.782,58.782,58.782
GBPTWD,1986-05-19,59.251,59.251,59.251,59.251
GBPTWD,1986-05-26,58.659,58.659,58.659,58.659
GBPTWD,1986-06-02,57.307,57.307,57.307,57.307
GBPTWD,1986-06-09,57.241,57.241,57.241,57.241
GBPTWD,1986-06-16,57.11,57.11,57.11,57.11
GBPTWD,1986-06-23,57.572,57.572,57.572,57.572
GBPTWD,1986-06-30,57.804,57.804,57.804,57.804
GBPTWD,1986-07-07,58.81,58.81,58.81,58.81
GBPTWD,1986-07-14,58.345,58.345,58.345,58.345
GBPTWD,1986-07-21,56.485,56.485,56.485,56.485
GBPTWD,1986-07-28,56.829,56.829,56.829,56.829
GBPTWD,1986-08-04,56.506,56.506,56.506,56.506
GBPTWD,1986-08-11,55.62,55.62,55.62,55.62
GBPTWD,1986-08-18,55.273,55.273,55.273,55.273
GBPTWD,1986-08-25,55.492,55.492,55.492,55.492
GBPTWD,1986-09-01,54.866,54.866,54.866,54.866
GBPTWD,1986-09-08,55.133,55.133,55.133,55.133
GBPTWD,1986-09-15,54.951,54.951,54.951,54.951
GBPTWD,1986-09-22,54.522,54.522,54.522,54.522
GBPTWD,1986-09-29,53.233,53.233,53.233,53.233
GBPTWD,1986-10-06,53.057,53.057,53.057,53.057
GBPTWD,1986-10-13,52.768,52.768,52.768,52.768
GBPTWD,1986-10-20,52.283,52.283,52.283,52.283
GBPTWD,1986-10-27,52.447,52.447,52.447,52.447
GBPTWD,1986-11-01,51.746,51.746,51.746,51.746
GBPTWD,1986-11-10,51.571,51.571,51.571,51.571
GBPTWD,1986-11-17,52.45,52.45,52.45,52.45
GBPTWD,1986-11-24,51.445,51.445,51.445,51.445
GBPTWD,1986-12-01,51.301,51.301,51.301,51.301
GBPTWD,1986-12-08,51.813,51.813,51.813,51.813
GBPTWD,1986-12-15,51.343,51.343,51.343,51.343
GBPTWD,1986-12-22,51.319,51.319,51.319,51.319
GBPTWD,1986-12-31,51.706,51.706,51.706,51.706
GBPTWD,1987-01-12,52.121,52.121,52.121,52.121
GBPTWD,1987-01-19,52.842,52.842,52.842,52.842
GBPTWD,1987-01-26,53.331,53.331,53.331,53.331
GBPTWD,1987-02-01,53.718,53.718,53.718,53.718
GBPTWD,1987-02-09,53.543,53.543,53.543,53.543
GBPTWD,1987-02-16,53.47,53.47,53.47,53.47
GBPTWD,1987-02-23,53.553,53.553,53.553,53.553
GBPTWD,1987-03-02,53.94,53.94,53.94,53.94
