ticker,date,open,high,low,close
GBPZAR,1984-01-09,1.8005,1.8005,1.8005,1.8005
GBPZAR,1984-01-16,1.7481,1.7481,1.7481,1.7481
GBPZAR,1984-01-23,1.7744,1.7744,1.7744,1.7744
GBPZAR,1984-01-30,1.78,1.78,1.78,1.78
GBPZAR,1984-02-06,1.7508,1.7508,1.7508,1.7508
GBPZAR,1984-02-13,1.7504,1.7504,1.7504,1.7504
GBPZAR,1984-02-20,1.7588,1.7588,1.7588,1.7588
GBPZAR,1984-03-01,1.7491,1.7491,1.7491,1.7491
GBPZAR,1984-03-05,1.7733,1.7733,1.7733,1.7733
GBPZAR,1984-03-12,1.8044,1.8044,1.8044,1.8044
GBPZAR,1984-03-19,1.8335,1.8335,1.8335,1.8335
GBPZAR,1984-03-26,1.7852,1.7852,1.7852,1.7852
GBPZAR,1984-04-02,1.7997,1.7997,1.7997,1.7997
GBPZAR,1984-04-09,1.7906,1.7906,1.7906,1.7906
GBPZAR,1984-04-16,1.7869,1.7869,1.7869,1.7869
GBPZAR,1984-04-24,1.7753,1.7753,1.7753,1.7753
GBPZAR,1984-05-02,1.7754,1.7754,1.7754,1.7754
GBPZAR,1984-05-07,1.7622,1.7622,1.7622,1.7622
GBPZAR,1984-05-14,1.8062,1.8062,1.8062,1.8062
GBPZAR,1984-05-21,1.7777,1.7777,1.7777,1.7777
GBPZAR,1984-05-28,1.7835,1.7835,1.7835,1.7835
GBPZAR,1984-06-04,1.7517,1.7517,1.7517,1.7517
GBPZAR,1984-06-11,1.8095,1.8095,1.8095,1.8095
GBPZAR,1984-06-18,1.81,1.81,1.81,1.81
GBPZAR,1984-06-25,1.8598,1.8598,1.8598,1.8598
GBPZAR,1984-07-02,1.8455,1.8455,1.8455,1.8455
GBPZAR,1984-07-09,1.9878,1.9878,1.9878,1.9878
GBPZAR,1984-07-16,1.9284,1.9284,1.9284,1.9284
GBPZAR,1984-07-23,2.0308,2.0308,2.0308,2.0308
GBPZAR,1984-07-30,2.149,2.149,2.149,2.149
