ticker,date,open,high,low,close
HKDAUD,1984-01-09,0.14352,0.14352,0.14352,0.14352
HKDAUD,1984-01-16,0.1408,0.1408,0.1408,0.1408
HKDAUD,1984-01-23,0.14257,0.14257,0.14257,0.14257
HKDAUD,1984-01-30,0.14141,0.14141,0.14141,0.14141
HKDAUD,1984-02-06,0.13975,0.13975,0.13975,0.13975
HKDAUD,1984-02-13,0.13988,0.13988,0.13988,0.13988
HKDAUD,1984-02-20,0.13718,0.13718,0.13718,0.13718
HKDAUD,1984-03-01,0.13607,0.13607,0.13607,0.13607
HKDAUD,1984-03-05,0.13613,0.13613,0.13613,0.13613
HKDAUD,1984-03-12,0.13422,0.13422,0.13422,0.13422
HKDAUD,1984-03-19,0.13189,0.13189,0.13189,0.13189
HKDAUD,1984-03-26,0.13361,0.13361,0.13361,0.13361
HKDAUD,1984-04-02,0.1357,0.1357,0.1357,0.1357
HKDAUD,1984-04-09,0.13613,0.13613,0.13613,0.13613
HKDAUD,1984-04-16,0.13944,0.13944,0.13944,0.13944
HKDAUD,1984-04-24,0.13954,0.13954,0.13954,0.13954
HKDAUD,1984-05-02,0.13916,0.13916,0.13916,0.13916
HKDAUD,1984-05-07,0.13823,0.13823,0.13823,0.13823
HKDAUD,1984-05-14,0.13926,0.13926,0.13926,0.13926
HKDAUD,1984-05-21,0.14207,0.14207,0.14207,0.14207
HKDAUD,1984-05-28,0.14176,0.14176,0.14176,0.14176
HKDAUD,1984-06-04,0.14251,0.14251,0.14251,0.14251
HKDAUD,1984-06-11,0.14227,0.14227,0.14227,0.14227
HKDAUD,1984-06-18,0.14325,0.14325,0.14325,0.14325
HKDAUD,1984-06-25,0.14437,0.14437,0.14437,0.14437
HKDAUD,1984-07-02,0.14797,0.14797,0.14797,0.14797
HKDAUD,1984-07-09,0.14772,0.14772,0.14772,0.14772
HKDAUD,1984-07-16,0.15317,0.15317,0.15317,0.15317
HKDAUD,1984-07-23,0.15332,0.15332,0.15332,0.15332
HKDAUD,1984-07-30,0.15487,0.15487,0.15487,0.15487
HKDAUD,1984-08-06,0.15321,0.15321,0.15321,0.15321
HKDAUD,1984-08-13,0.15131,0.15131,0.15131,0.15131
HKDAUD,1984-08-20,0.15129,0.15129,0.15129,0.15129
HKDAUD,1984-08-27,0.14908,0.14908,0.14908,0.14908
HKDAUD,1984-09-01,0.1492,0.1492,0.1492,0.1492
HKDAUD,1984-09-10,0.15198,0.15198,0.15198,0.15198
HKDAUD,1984-09-17,0.15303,0.15303,0.15303,0.15303
HKDAUD,1984-09-24,0.15408,0.15408,0.15408,0.15408
HKDAUD,1984-10-01,0.15448,0.15448,0.15448,0.15448
HKDAUD,1984-10-08,0.15335,0.15335,0.15335,0.15335
HKDAUD,1984-10-15,0.15358,0.15358,0.15358,0.15358
HKDAUD,1984-10-22,0.15402,0.15402,0.15402,0.15402
HKDAUD,1984-10-29,0.153,0.153,0.153,0.153
HKDAUD,1984-11-05,0.1514,0.1514,0.1514,0.1514
HKDAUD,1984-11-12,0.14886,0.14886,0.14886,0.14886
HKDAUD,1984-11-19,0.14776,0.14776,0.14776,0.14776
HKDAUD,1984-11-26,0.14952,0.14952,0.14952,0.14952
HKDAUD,1984-12-01,0.15012,0.15012,0.15012,0.15012
HKDAUD,1984-12-10,0.14927,0.14927,0.14927,0.14927
HKDAUD,1984-12-17,0.1513,0.1513,0.1513,0.1513
HKDAUD,1984-12-24,0.15274,0.15274,0.15274,0.15274
HKDAUD,1985-01-01,0.15274,0.15274,0.15274,0.15274
HKDAUD,1985-01-07,0.15661,0.15661,0.15661,0.15661
HKDAUD,1985-01-14,0.15683,0.15683,0.15683,0.15683
HKDAUD,1985-01-21,0.15668,0.15668,0.15668,0.15668
HKDAUD,1985-01-28,0.15727,0.15727,0.15727,0.15727
HKDAUD,1985-02-04,0.15679,0.15679,0.15679,0.15679
HKDAUD,1985-02-11,0.16396,0.16396,0.16396,0.16396
HKDAUD,1985-02-18,0.17092,0.17092,0.17092,0.17092
HKDAUD,1985-02-25,0.18226,0.18226,0.18226,0.18226
HKDAUD,1985-03-04,0.1779,0.1779,0.1779,0.1779
HKDAUD,1985-03-11,0.18911,0.18911,0.18911,0.18911
HKDAUD,1985-03-18,0.18355,0.18355,0.18355,0.18355
HKDAUD,1985-03-25,0.18467,0.18467,0.18467,0.18467
HKDAUD,1985-03-29,0.18468,0.18468,0.18468,0.18468
HKDAUD,1985-04-01,0.18133,0.18133,0.18133,0.18133
HKDAUD,1985-04-09,0.19488,0.19488,0.19488,0.19488
HKDAUD,1985-04-15,0.193,0.193,0.193,0.193
HKDAUD,1985-04-22,0.19277,0.19277,0.19277,0.19277
HKDAUD,1985-04-29,0.19774,0.19774,0.19774,0.19774
HKDAUD,1985-05-06,0.197,0.197,0.197,0.197
HKDAUD,1985-05-13,0.19345,0.19345,0.19345,0.19345
HKDAUD,1985-05-20,0.18483,0.18483,0.18483,0.18483
HKDAUD,1985-05-27,0.18472,0.18472,0.18472,0.18472
HKDAUD,1985-06-01,0.18905,0.18905,0.18905,0.18905
HKDAUD,1985-06-10,0.19361,0.19361,0.19361,0.19361
HKDAUD,1985-06-17,0.19417,0.19417,0.19417,0.19417
HKDAUD,1985-06-24,0.19319,0.19319,0.19319,0.19319
HKDAUD,1985-07-01,0.19359,0.19359,0.19359,0.19359
HKDAUD,1985-07-08,0.19379,0.19379,0.19379,0.19379
HKDAUD,1985-07-15,0.19065,0.19065,0.19065,0.19065
HKDAUD,1985-07-23,0.18192,0.18192,0.18192,0.18192
HKDAUD,1985-07-29,0.17991,0.17991,0.17991,0.17991
HKDAUD,1985-08-05,0.17906,0.17906,0.17906,0.17906
HKDAUD,1985-08-12,0.18055,0.18055,0.18055,0.18055
HKDAUD,1985-08-19,0.1797,0.1797,0.1797,0.1797
HKDAUD,1985-08-26,0.18131,0.18131,0.18131,0.18131
HKDAUD,1985-09-02,0.18268,0.18268,0.18268,0.18268
