ticker,date,open,high,low,close
HKDDKK,1984-01-09,1.2959,1.2959,1.2959,1.2959
HKDDKK,1984-01-16,1.312,1.312,1.312,1.312
HKDDKK,1984-01-23,1.2999,1.2999,1.2999,1.2999
HKDDKK,1984-01-30,1.312,1.312,1.312,1.312
HKDDKK,1984-02-06,1.3093,1.3093,1.3093,1.3093
HKDDKK,1984-02-13,1.2946,1.2946,1.2946,1.2946
HKDDKK,1984-02-20,1.2792,1.2792,1.2792,1.2792
HKDDKK,1984-03-01,1.2522,1.2522,1.2522,1.2522
HKDDKK,1984-03-05,1.2259,1.2259,1.2259,1.2259
HKDDKK,1984-03-12,1.2024,1.2024,1.2024,1.2024
HKDDKK,1984-03-19,1.1897,1.1897,1.1897,1.1897
HKDDKK,1984-03-26,1.2281,1.2281,1.2281,1.2281
HKDDKK,1984-04-02,1.2195,1.2195,1.2195,1.2195
HKDDKK,1984-04-09,1.2335,1.2335,1.2335,1.2335
HKDDKK,1984-04-16,1.2346,1.2346,1.2346,1.2346
HKDDKK,1984-04-24,1.2445,1.2445,1.2445,1.2445
HKDDKK,1984-05-02,1.2612,1.2612,1.2612,1.2612
HKDDKK,1984-05-07,1.2804,1.2804,1.2804,1.2804
HKDDKK,1984-05-14,1.2933,1.2933,1.2933,1.2933
HKDDKK,1984-05-21,1.2874,1.2874,1.2874,1.2874
HKDDKK,1984-05-28,1.2874,1.2874,1.2874,1.2874
HKDDKK,1984-06-04,1.2851,1.2851,1.2851,1.2851
HKDDKK,1984-06-11,1.2556,1.2556,1.2556,1.2556
HKDDKK,1984-06-18,1.2793,1.2793,1.2793,1.2793
HKDDKK,1984-06-25,1.2897,1.2897,1.2897,1.2897
HKDDKK,1984-07-02,1.3036,1.3036,1.3036,1.3036
HKDDKK,1984-07-09,1.3052,1.3052,1.3052,1.3052
HKDDKK,1984-07-16,1.3156,1.3156,1.3156,1.3156
HKDDKK,1984-07-23,1.3284,1.3284,1.3284,1.3284
HKDDKK,1984-07-30,1.3395,1.3395,1.3395,1.3395
HKDDKK,1984-08-06,1.3445,1.3445,1.3445,1.3445
HKDDKK,1984-08-13,1.3458,1.3458,1.3458,1.3458
HKDDKK,1984-08-20,1.3395,1.3395,1.3395,1.3395
HKDDKK,1984-08-27,1.3395,1.3395,1.3395,1.3395
HKDDKK,1984-09-01,1.3328,1.3328,1.3328,1.3328
HKDDKK,1984-09-10,1.3562,1.3562,1.3562,1.3562
HKDDKK,1984-09-17,1.3874,1.3874,1.3874,1.3874
HKDDKK,1984-09-24,1.4235,1.4235,1.4235,1.4235
HKDDKK,1984-10-01,1.421,1.421,1.421,1.421
HKDDKK,1984-10-08,1.4047,1.4047,1.4047,1.4047
