ticker,date,open,high,low,close
HKDJPY,1984-01-09,30.123,30.123,30.123,30.123
HKDJPY,1984-01-16,29.939,29.939,29.939,29.939
HKDJPY,1984-01-23,30.066,30.066,30.066,30.066
HKDJPY,1984-01-30,30.01,30.01,30.01,30.01
HKDJPY,1984-02-06,30.109,30.109,30.109,30.109
HKDJPY,1984-02-13,30.123,30.123,30.123,30.123
HKDJPY,1984-02-20,30.064,30.064,30.064,30.064
HKDJPY,1984-03-01,29.911,29.911,29.911,29.911
HKDJPY,1984-03-05,29.921,29.921,29.921,29.921
HKDJPY,1984-03-12,28.619,28.619,28.619,28.619
HKDJPY,1984-03-19,28.542,28.542,28.542,28.542
HKDJPY,1984-03-26,28.848,28.848,28.848,28.848
HKDJPY,1984-04-02,28.789,28.789,28.789,28.789
HKDJPY,1984-04-09,28.836,28.836,28.836,28.836
HKDJPY,1984-04-16,28.813,28.813,28.813,28.813
HKDJPY,1984-04-24,28.882,28.882,28.882,28.882
HKDJPY,1984-05-02,28.834,28.834,28.834,28.834
HKDJPY,1984-05-07,29.057,29.057,29.057,29.057
HKDJPY,1984-05-14,29.176,29.176,29.176,29.176
HKDJPY,1984-05-21,29.51,29.51,29.51,29.51
HKDJPY,1984-05-28,29.813,29.813,29.813,29.813
HKDJPY,1984-06-04,29.676,29.676,29.676,29.676
HKDJPY,1984-06-11,29.32,29.32,29.32,29.32
HKDJPY,1984-06-18,29.744,29.744,29.744,29.744
HKDJPY,1984-06-25,29.763,29.763,29.763,29.763
HKDJPY,1984-07-02,30.355,30.355,30.355,30.355
HKDJPY,1984-07-09,30.368,30.368,30.368,30.368
HKDJPY,1984-07-16,30.72,30.72,30.72,30.72
HKDJPY,1984-07-23,30.948,30.948,30.948,30.948
HKDJPY,1984-07-30,31.427,31.427,31.427,31.427
HKDJPY,1984-08-06,31.176,31.176,31.176,31.176
HKDJPY,1984-08-13,30.988,30.988,30.988,30.988
HKDJPY,1984-08-20,30.875,30.875,30.875,30.875
HKDJPY,1984-08-27,30.782,30.782,30.782,30.782
HKDJPY,1984-09-01,30.742,30.742,30.742,30.742
HKDJPY,1984-09-10,31.06,31.06,31.06,31.06
HKDJPY,1984-09-17,31.219,31.219,31.219,31.219
HKDJPY,1984-09-24,31.538,31.538,31.538,31.538
HKDJPY,1984-10-01,31.488,31.488,31.488,31.488
HKDJPY,1984-10-08,31.373,31.373,31.373,31.373
HKDJPY,1984-10-15,31.656,31.656,31.656,31.656
HKDJPY,1984-10-22,31.821,31.821,31.821,31.821
HKDJPY,1984-10-29,31.384,31.384,31.384,31.384
HKDJPY,1984-11-05,31.458,31.458,31.458,31.458
HKDJPY,1984-11-12,31.091,31.091,31.091,31.091
HKDJPY,1984-11-19,30.632,30.632,30.632,30.632
HKDJPY,1984-11-26,31.25,31.25,31.25,31.25
HKDJPY,1984-12-01,31.507,31.507,31.507,31.507
HKDJPY,1984-12-10,31.55,31.55,31.55,31.55
HKDJPY,1984-12-17,31.495,31.495,31.495,31.495
HKDJPY,1984-12-24,31.507,31.507,31.507,31.507
HKDJPY,1985-01-01,31.598,31.598,31.598,31.598
HKDJPY,1985-01-07,32.276,32.276,32.276,32.276
HKDJPY,1985-01-14,32.418,32.418,32.418,32.418
HKDJPY,1985-01-21,32.583,32.583,32.583,32.583
HKDJPY,1985-01-28,32.5,32.5,32.5,32.5
HKDJPY,1985-02-04,32.523,32.523,32.523,32.523
HKDJPY,1985-02-11,33.259,33.259,33.259,33.259
HKDJPY,1985-02-18,33.712,33.712,33.712,33.712
HKDJPY,1985-02-25,33.45,33.45,33.45,33.45
HKDJPY,1985-03-04,33.114,33.114,33.114,33.114
HKDJPY,1985-03-11,33.627,33.627,33.627,33.627
HKDJPY,1985-03-18,33.278,33.278,33.278,33.278
