ticker,date,open,high,low,close
HKDNOK,1984-01-09,1.0071,1.0071,1.0071,1.0071
HKDNOK,1984-01-16,1.016,1.016,1.016,1.016
HKDNOK,1984-01-23,1.0055,1.0055,1.0055,1.0055
HKDNOK,1984-01-30,1.0103,1.0103,1.0103,1.0103
HKDNOK,1984-02-06,1.0087,1.0087,1.0087,1.0087
HKDNOK,1984-02-13,1.0079,1.0079,1.0079,1.0079
HKDNOK,1984-02-20,0.9961,0.9961,0.9961,0.9961
HKDNOK,1984-03-01,0.9812,0.9812,0.9812,0.9812
HKDNOK,1984-03-05,0.9642,0.9642,0.9642,0.9642
HKDNOK,1984-03-12,0.9508,0.9508,0.9508,0.9508
HKDNOK,1984-03-19,0.9439,0.9439,0.9439,0.9439
HKDNOK,1984-03-26,0.9669,0.9669,0.9669,0.9669
HKDNOK,1984-04-02,0.9615,0.9615,0.9615,0.9615
HKDNOK,1984-04-09,0.9669,0.9669,0.9669,0.9669
HKDNOK,1984-04-16,0.9682,0.9682,0.9682,0.9682
HKDNOK,1984-04-24,0.9751,0.9751,0.9751,0.9751
HKDNOK,1984-05-02,0.9799,0.9799,0.9799,0.9799
HKDNOK,1984-05-07,0.9944,0.9944,0.9944,0.9944
HKDNOK,1984-05-14,0.9986,0.9986,0.9986,0.9986
HKDNOK,1984-05-21,1.0035,1.0035,1.0035,1.0035
HKDNOK,1984-05-28,0.9986,0.9986,0.9986,0.9986
HKDNOK,1984-06-04,0.9986,0.9986,0.9986,0.9986
HKDNOK,1984-06-11,0.9826,0.9826,0.9826,0.9826
HKDNOK,1984-06-18,0.9958,0.9958,0.9958,0.9958
HKDNOK,1984-06-25,0.9986,0.9986,0.9986,0.9986
HKDNOK,1984-07-02,1.0207,1.0207,1.0207,1.0207
HKDNOK,1984-07-09,1.0216,1.0216,1.0216,1.0216
HKDNOK,1984-07-16,1.0377,1.0377,1.0377,1.0377
HKDNOK,1984-07-23,1.0511,1.0511,1.0511,1.0511
HKDNOK,1984-07-30,1.0573,1.0573,1.0573,1.0573
HKDNOK,1984-08-06,1.0588,1.0588,1.0588,1.0588
HKDNOK,1984-08-13,1.0604,1.0604,1.0604,1.0604
