ticker,date,open,high,low,close
HKDSEK,1984-01-09,1.0479,1.0479,1.0479,1.0479
HKDSEK,1984-01-16,1.0505,1.0505,1.0505,1.0505
HKDSEK,1984-01-23,1.047,1.047,1.047,1.047
HKDSEK,1984-01-30,1.047,1.047,1.047,1.047
HKDSEK,1984-02-06,1.0479,1.0479,1.0479,1.0479
HKDSEK,1984-02-13,1.0487,1.0487,1.0487,1.0487
HKDSEK,1984-02-20,1.0396,1.0396,1.0396,1.0396
HKDSEK,1984-03-01,1.0188,1.0188,1.0188,1.0188
HKDSEK,1984-03-05,0.9993,0.9993,0.9993,0.9993
HKDSEK,1984-03-12,0.9851,0.9851,0.9851,0.9851
HKDSEK,1984-03-19,0.9732,0.9732,0.9732,0.9732
HKDSEK,1984-03-26,0.9964,0.9964,0.9964,0.9964
HKDSEK,1984-04-02,0.988,0.988,0.988,0.988
HKDSEK,1984-04-09,0.9936,0.9936,0.9936,0.9936
HKDSEK,1984-04-16,0.9986,0.9986,0.9986,0.9986
HKDSEK,1984-04-24,1.0064,1.0064,1.0064,1.0064
HKDSEK,1984-05-02,1.0137,1.0137,1.0137,1.0137
HKDSEK,1984-05-07,1.0275,1.0275,1.0275,1.0275
HKDSEK,1984-05-14,1.035,1.035,1.035,1.035
HKDSEK,1984-05-21,1.0365,1.0365,1.0365,1.0365
HKDSEK,1984-05-28,1.0327,1.0327,1.0327,1.0327
HKDSEK,1984-06-04,1.0335,1.0335,1.0335,1.0335
HKDSEK,1984-06-11,1.0203,1.0203,1.0203,1.0203
HKDSEK,1984-06-18,1.0342,1.0342,1.0342,1.0342
HKDSEK,1984-06-25,1.0373,1.0373,1.0373,1.0373
HKDSEK,1984-07-02,1.0507,1.0507,1.0507,1.0507
HKDSEK,1984-07-09,1.0426,1.0426,1.0426,1.0426
HKDSEK,1984-07-16,1.0515,1.0515,1.0515,1.0515
HKDSEK,1984-07-23,1.0612,1.0612,1.0612,1.0612
HKDSEK,1984-07-30,1.0635,1.0635,1.0635,1.0635
HKDSEK,1984-08-06,1.0667,1.0667,1.0667,1.0667
HKDSEK,1984-08-13,1.0675,1.0675,1.0675,1.0675
HKDSEK,1984-08-20,1.0659,1.0659,1.0659,1.0659
HKDSEK,1984-08-27,1.0651,1.0651,1.0651,1.0651
HKDSEK,1984-09-01,1.0601,1.0601,1.0601,1.0601
HKDSEK,1984-09-10,1.0719,1.0719,1.0719,1.0719
HKDSEK,1984-09-17,1.0876,1.0876,1.0876,1.0876
HKDSEK,1984-09-24,1.1081,1.1081,1.1081,1.1081
HKDSEK,1984-10-01,1.1103,1.1103,1.1103,1.1103
HKDSEK,1984-10-08,1.0982,1.0982,1.0982,1.0982
HKDSEK,1984-10-15,1.1103,1.1103,1.1103,1.1103
HKDSEK,1984-10-22,1.125,1.125,1.125,1.125
HKDSEK,1984-10-29,1.1111,1.1111,1.1111,1.1111
