ticker,date,open,high,low,close
HKDTWD,1984-01-09,5.2781,5.2781,5.2781,5.2781
HKDTWD,1984-01-16,5.2781,5.2781,5.2781,5.2781
HKDTWD,1984-01-23,5.2781,5.2781,5.2781,5.2781
HKDTWD,1984-01-30,5.2824,5.2824,5.2824,5.2824
HKDTWD,1984-02-06,5.2824,5.2824,5.2824,5.2824
HKDTWD,1984-02-13,5.2824,5.2824,5.2824,5.2824
HKDTWD,1984-02-20,5.3366,5.3366,5.3366,5.3366
HKDTWD,1984-03-01,5.117,5.117,5.117,5.117
HKDTWD,1984-03-05,5.1603,5.1603,5.1603,5.1603
HKDTWD,1984-03-12,5.1987,5.1987,5.1987,5.1987
HKDTWD,1984-03-19,5.191,5.191,5.191,5.191
HKDTWD,1984-03-26,5.132,5.132,5.132,5.132
HKDTWD,1984-04-02,5.132,5.132,5.132,5.132
HKDTWD,1984-04-09,5.132,5.132,5.132,5.132
HKDTWD,1984-04-16,5.1095,5.1095,5.1095,5.1095
HKDTWD,1984-04-24,5.0523,5.0523,5.0523,5.0523
HKDTWD,1984-05-02,5.0487,5.0487,5.0487,5.0487
HKDTWD,1984-05-07,5.0,5.0,5.0,5.0
HKDTWD,1984-05-14,5.0,5.0,5.0,5.0
HKDTWD,1984-05-21,5.0143,5.0143,5.0143,5.0143
HKDTWD,1984-05-28,5.0143,5.0143,5.0143,5.0143
HKDTWD,1984-06-04,5.0451,5.0451,5.0451,5.0451
HKDTWD,1984-06-11,5.0725,5.0725,5.0725,5.0725
HKDTWD,1984-06-18,5.0215,5.0215,5.0215,5.0215
HKDTWD,1984-06-25,5.0197,5.0197,5.0197,5.0197
HKDTWD,1984-07-02,4.9593,4.9593,4.9593,4.9593
HKDTWD,1984-07-09,4.9453,4.9453,4.9453,4.9453
HKDTWD,1984-07-16,4.9383,4.9383,4.9383,4.9383
HKDTWD,1984-07-23,4.8951,4.8951,4.8951,4.8951
HKDTWD,1984-07-30,4.8645,4.8645,4.8645,4.8645
HKDTWD,1984-08-06,4.846,4.846,4.846,4.846
HKDTWD,1984-08-13,4.846,4.846,4.846,4.846
HKDTWD,1984-08-20,4.8409,4.8409,4.8409,4.8409
HKDTWD,1984-08-27,4.8426,4.8426,4.8426,4.8426
HKDTWD,1984-09-01,5.0842,5.0842,5.0842,5.0842
