ticker,date,open,high,low,close
HKDZAR,1984-01-09,0.16324,0.16324,0.16324,0.16324
HKDZAR,1984-01-16,0.16015,0.16015,0.16015,0.16015
HKDZAR,1984-01-23,0.16035,0.16035,0.16035,0.16035
HKDZAR,1984-01-30,0.16303,0.16303,0.16303,0.16303
HKDZAR,1984-02-06,0.15975,0.15975,0.15975,0.15975
HKDZAR,1984-02-13,0.15975,0.15975,0.15975,0.15975
HKDZAR,1984-02-20,0.1601,0.1601,0.1601,0.1601
HKDZAR,1984-03-01,0.15444,0.15444,0.15444,0.15444
HKDZAR,1984-03-05,0.15317,0.15317,0.15317,0.15317
HKDZAR,1984-03-12,0.15583,0.15583,0.15583,0.15583
HKDZAR,1984-03-19,0.15826,0.15826,0.15826,0.15826
HKDZAR,1984-03-26,0.15855,0.15855,0.15855,0.15855
HKDZAR,1984-04-02,0.15964,0.15964,0.15964,0.15964
HKDZAR,1984-04-09,0.16055,0.16055,0.16055,0.16055
HKDZAR,1984-04-16,0.16,0.16,0.16,0.16
HKDZAR,1984-04-24,0.16059,0.16059,0.16059,0.16059
HKDZAR,1984-05-02,0.16114,0.16114,0.16114,0.16114
HKDZAR,1984-05-07,0.16155,0.16155,0.16155,0.16155
HKDZAR,1984-05-14,0.16569,0.16569,0.16569,0.16569
HKDZAR,1984-05-21,0.16378,0.16378,0.16378,0.16378
HKDZAR,1984-05-28,0.16378,0.16378,0.16378,0.16378
HKDZAR,1984-06-04,0.1621,0.1621,0.1621,0.1621
HKDZAR,1984-06-11,0.16549,0.16549,0.16549,0.16549
HKDZAR,1984-06-18,0.16765,0.16765,0.16765,0.16765
HKDZAR,1984-06-25,0.17233,0.17233,0.17233,0.17233
HKDZAR,1984-07-02,0.1746,0.1746,0.1746,0.1746
HKDZAR,1984-07-09,0.18808,0.18808,0.18808,0.18808
HKDZAR,1984-07-16,0.18742,0.18742,0.18742,0.18742
HKDZAR,1984-07-23,0.19619,0.19619,0.19619,0.19619
HKDZAR,1984-07-30,0.20749,0.20749,0.20749,0.20749
HKDZAR,1984-08-06,0.19945,0.19945,0.19945,0.19945
HKDZAR,1984-08-13,0.20426,0.20426,0.20426,0.20426
HKDZAR,1984-08-20,0.19672,0.19672,0.19672,0.19672
HKDZAR,1984-08-27,0.19862,0.19862,0.19862,0.19862
HKDZAR,1984-09-01,0.19899,0.19899,0.19899,0.19899
HKDZAR,1984-09-10,0.21123,0.21123,0.21123,0.21123
HKDZAR,1984-09-17,0.214,0.214,0.214,0.214
HKDZAR,1984-09-24,0.2124,0.2124,0.2124,0.2124
HKDZAR,1984-10-01,0.21467,0.21467,0.21467,0.21467
HKDZAR,1984-10-08,0.21505,0.21505,0.21505,0.21505
HKDZAR,1984-10-15,0.2274,0.2274,0.2274,0.2274
HKDZAR,1984-10-22,0.22914,0.22914,0.22914,0.22914
HKDZAR,1984-10-29,0.24807,0.24807,0.24807,0.24807
HKDZAR,1984-11-05,0.23066,0.23066,0.23066,0.23066
HKDZAR,1984-11-12,0.23144,0.23144,0.23144,0.23144
HKDZAR,1984-11-19,0.22932,0.22932,0.22932,0.22932
HKDZAR,1984-11-26,0.23324,0.23324,0.23324,0.23324
HKDZAR,1984-12-01,0.233,0.233,0.233,0.233
HKDZAR,1984-12-10,0.23333,0.23333,0.23333,0.23333
HKDZAR,1984-12-17,0.24394,0.24394,0.24394,0.24394
HKDZAR,1984-12-24,0.25039,0.25039,0.25039,0.25039
