ticker,date,open,high,low,close
JPYKRW,1984-01-09,3.4,3.4,3.4,3.4
JPYKRW,1984-01-16,3.421,3.421,3.421,3.421
JPYKRW,1984-01-23,3.4064,3.4064,3.4064,3.4064
JPYKRW,1984-01-30,3.4129,3.4129,3.4129,3.4129
JPYKRW,1984-02-06,3.4016,3.4016,3.4016,3.4016
JPYKRW,1984-02-13,3.4,3.4,3.4,3.4
JPYKRW,1984-02-20,3.4352,3.4352,3.4352,3.4352
JPYKRW,1984-03-01,3.4159,3.4159,3.4159,3.4159
JPYKRW,1984-03-05,3.4153,3.4153,3.4153,3.4153
JPYKRW,1984-03-12,3.5713,3.5713,3.5713,3.5713
JPYKRW,1984-03-19,3.5551,3.5551,3.5551,3.5551
JPYKRW,1984-03-26,3.5423,3.5423,3.5423,3.5423
JPYKRW,1984-04-02,3.5496,3.5496,3.5496,3.5496
JPYKRW,1984-04-09,3.5438,3.5438,3.5438,3.5438
JPYKRW,1984-04-16,3.5467,3.5467,3.5467,3.5467
JPYKRW,1984-04-24,3.5377,3.5377,3.5377,3.5377
JPYKRW,1984-05-02,3.5693,3.5693,3.5693,3.5693
JPYKRW,1984-05-07,3.5158,3.5158,3.5158,3.5158
JPYKRW,1984-05-14,3.5268,3.5268,3.5268,3.5268
JPYKRW,1984-05-21,3.487,3.487,3.487,3.487
JPYKRW,1984-05-28,3.4514,3.4514,3.4514,3.4514
JPYKRW,1984-06-04,3.4425,3.4425,3.4425,3.4425
JPYKRW,1984-06-11,3.5102,3.5102,3.5102,3.5102
JPYKRW,1984-06-18,3.4594,3.4594,3.4594,3.4594
JPYKRW,1984-06-25,3.4573,3.4573,3.4573,3.4573
JPYKRW,1984-07-02,3.3892,3.3892,3.3892,3.3892
JPYKRW,1984-07-09,3.3884,3.3884,3.3884,3.3884
JPYKRW,1984-07-16,3.3732,3.3732,3.3732,3.3732
JPYKRW,1984-07-23,3.3475,3.3475,3.3475,3.3475
JPYKRW,1984-07-30,3.2964,3.2964,3.2964,3.2964
JPYKRW,1984-08-06,3.323,3.323,3.323,3.323
JPYKRW,1984-08-13,3.3432,3.3432,3.3432,3.3432
JPYKRW,1984-08-20,3.3314,3.3314,3.3314,3.3314
JPYKRW,1984-08-27,3.3655,3.3655,3.3655,3.3655
JPYKRW,1984-09-01,3.3599,3.3599,3.3599,3.3599
JPYKRW,1984-09-10,3.3467,3.3467,3.3467,3.3467
JPYKRW,1984-09-17,3.3288,3.3288,3.3288,3.3288
JPYKRW,1984-09-24,3.3149,3.3149,3.3149,3.3149
JPYKRW,1984-10-01,3.3201,3.3201,3.3201,3.3201
JPYKRW,1984-10-08,3.3333,3.3333,3.3333,3.3333
JPYKRW,1984-10-15,3.3242,3.3242,3.3242,3.3242
JPYKRW,1984-10-22,3.2845,3.2845,3.2845,3.2845
JPYKRW,1984-10-29,3.3312,3.3312,3.3312,3.3312
JPYKRW,1984-11-05,3.3234,3.3234,3.3234,3.3234
JPYKRW,1984-11-12,3.3645,3.3645,3.3645,3.3645
JPYKRW,1984-11-19,3.3934,3.3934,3.3934,3.3934
JPYKRW,1984-11-26,3.3684,3.3684,3.3684,3.3684
JPYKRW,1984-12-01,3.3399,3.3399,3.3399,3.3399
JPYKRW,1984-12-10,3.3353,3.3353,3.3353,3.3353
JPYKRW,1984-12-17,3.3412,3.3412,3.3412,3.3412
JPYKRW,1984-12-24,3.3618,3.3618,3.3618,3.3618
JPYKRW,1985-01-01,3.3353,3.3353,3.3353,3.3353
JPYKRW,1985-01-07,3.3024,3.3024,3.3024,3.3024
JPYKRW,1985-01-14,3.2892,3.2892,3.2892,3.2892
JPYKRW,1985-01-21,3.2713,3.2713,3.2713,3.2713
JPYKRW,1985-01-28,3.2796,3.2796,3.2796,3.2796
JPYKRW,1985-02-04,3.2772,3.2772,3.2772,3.2772
JPYKRW,1985-02-11,3.2228,3.2228,3.2228,3.2228
JPYKRW,1985-02-18,3.1958,3.1958,3.1958,3.1958
JPYKRW,1985-02-25,3.2401,3.2401,3.2401,3.2401
JPYKRW,1985-03-04,3.2928,3.2928,3.2928,3.2928
JPYKRW,1985-03-11,3.2393,3.2393,3.2393,3.2393
JPYKRW,1985-03-18,3.2964,3.2964,3.2964,3.2964
JPYKRW,1985-03-25,3.3061,3.3061,3.3061,3.3061
JPYKRW,1985-03-29,3.3691,3.3691,3.3691,3.3691
JPYKRW,1985-04-01,3.3722,3.3722,3.3722,3.3722
JPYKRW,1985-04-09,3.4126,3.4126,3.4126,3.4126
JPYKRW,1985-04-15,3.38,3.38,3.38,3.38
JPYKRW,1985-04-22,3.4405,3.4405,3.4405,3.4405
JPYKRW,1985-04-29,3.4898,3.4898,3.4898,3.4898
JPYKRW,1985-05-06,3.4624,3.4624,3.4624,3.4624
JPYKRW,1985-05-13,3.4206,3.4206,3.4206,3.4206
