ticker,date,open,high,low,close
KRWZAR,1984-01-09,0.0015938,0.0015938,0.0015938,0.0015938
KRWZAR,1984-01-16,0.0015637,0.0015637,0.0015637,0.0015637
KRWZAR,1984-01-23,0.0015657,0.0015657,0.0015657,0.0015657
KRWZAR,1984-01-30,0.0015918,0.0015918,0.0015918,0.0015918
KRWZAR,1984-02-06,0.0015597,0.0015597,0.0015597,0.0015597
KRWZAR,1984-02-13,0.0015597,0.0015597,0.0015597,0.0015597
KRWZAR,1984-02-20,0.0015502,0.0015502,0.0015502,0.0015502
KRWZAR,1984-03-01,0.0015115,0.0015115,0.0015115,0.0015115
KRWZAR,1984-03-05,0.0014989,0.0014989,0.0014989,0.0014989
KRWZAR,1984-03-12,0.0015247,0.0015247,0.0015247,0.0015247
KRWZAR,1984-03-19,0.0015596,0.0015596,0.0015596,0.0015596
KRWZAR,1984-03-26,0.0015515,0.0015515,0.0015515,0.0015515
KRWZAR,1984-04-02,0.0015621,0.0015621,0.0015621,0.0015621
KRWZAR,1984-04-09,0.0015711,0.0015711,0.0015711,0.0015711
KRWZAR,1984-04-16,0.0015657,0.0015657,0.0015657,0.0015657
KRWZAR,1984-04-24,0.0015718,0.0015718,0.0015718,0.0015718
KRWZAR,1984-05-02,0.0015657,0.0015657,0.0015657,0.0015657
KRWZAR,1984-05-07,0.0015813,0.0015813,0.0015813,0.0015813
KRWZAR,1984-05-14,0.0016103,0.0016103,0.0016103,0.0016103
KRWZAR,1984-05-21,0.0015917,0.0015917,0.0015917,0.0015917
KRWZAR,1984-05-28,0.0015917,0.0015917,0.0015917,0.0015917
KRWZAR,1984-06-04,0.0015868,0.0015868,0.0015868,0.0015868
KRWZAR,1984-06-11,0.001608,0.001608,0.001608,0.001608
KRWZAR,1984-06-18,0.0016293,0.0016293,0.0016293,0.0016293
KRWZAR,1984-06-25,0.0016748,0.0016748,0.0016748,0.0016748
KRWZAR,1984-07-02,0.0016972,0.0016972,0.0016972,0.0016972
KRWZAR,1984-07-09,0.0018278,0.0018278,0.0018278,0.0018278
KRWZAR,1984-07-16,0.0018087,0.0018087,0.0018087,0.0018087
KRWZAR,1984-07-23,0.0018937,0.0018937,0.0018937,0.0018937
KRWZAR,1984-07-30,0.0020029,0.0020029,0.0020029,0.0020029
KRWZAR,1984-08-06,0.0019252,0.0019252,0.0019252,0.0019252
KRWZAR,1984-08-13,0.0019716,0.0019716,0.0019716,0.0019716
KRWZAR,1984-08-20,0.0019126,0.0019126,0.0019126,0.0019126
KRWZAR,1984-08-27,0.0019172,0.0019172,0.0019172,0.0019172
KRWZAR,1984-09-01,0.0019265,0.0019265,0.0019265,0.0019265
KRWZAR,1984-09-10,0.0020321,0.0020321,0.0020321,0.0020321
KRWZAR,1984-09-17,0.0020592,0.0020592,0.0020592,0.0020592
KRWZAR,1984-09-24,0.0020317,0.0020317,0.0020317,0.0020317
KRWZAR,1984-10-01,0.0020533,0.0020533,0.0020533,0.0020533
KRWZAR,1984-10-08,0.0020565,0.0020565,0.0020565,0.0020565
KRWZAR,1984-10-15,0.002161,0.002161,0.002161,0.002161
KRWZAR,1984-10-22,0.0021924,0.0021924,0.0021924,0.0021924
KRWZAR,1984-10-29,0.0023729,0.0023729,0.0023729,0.0023729
KRWZAR,1984-11-05,0.0022063,0.0022063,0.0022063,0.0022063
KRWZAR,1984-11-12,0.0022125,0.0022125,0.0022125,0.0022125
KRWZAR,1984-11-19,0.0022061,0.0022061,0.0022061,0.0022061
KRWZAR,1984-11-26,0.0022157,0.0022157,0.0022157,0.0022157
KRWZAR,1984-12-01,0.0022142,0.0022142,0.0022142,0.0022142
KRWZAR,1984-12-10,0.0022174,0.0022174,0.0022174,0.0022174
KRWZAR,1984-12-17,0.0023182,0.0023182,0.0023182,0.0023182
KRWZAR,1984-12-24,0.0023639,0.0023639,0.0023639,0.0023639
KRWZAR,1985-01-01,0.0023722,0.0023722,0.0023722,0.0023722
KRWZAR,1985-01-07,0.0025227,0.0025227,0.0025227,0.0025227
KRWZAR,1985-01-14,0.0027124,0.0027124,0.0027124,0.0027124
KRWZAR,1985-01-21,0.002711,0.002711,0.002711,0.002711
KRWZAR,1985-01-28,0.0025653,0.0025653,0.0025653,0.0025653
KRWZAR,1985-02-04,0.002438,0.002438,0.002438,0.002438
KRWZAR,1985-02-11,0.0022507,0.0022507,0.0022507,0.0022507
KRWZAR,1985-02-18,0.002249,0.002249,0.002249,0.002249
KRWZAR,1985-02-25,0.0025653,0.0025653,0.0025653,0.0025653
KRWZAR,1985-03-04,0.0024412,0.0024412,0.0024412,0.0024412
KRWZAR,1985-03-11,0.0023562,0.0023562,0.0023562,0.0023562
KRWZAR,1985-03-18,0.0023404,0.0023404,0.0023404,0.0023404
KRWZAR,1985-03-25,0.0023329,0.0023329,0.0023329,0.0023329
KRWZAR,1985-03-29,0.0022192,0.0022192,0.0022192,0.0022192
KRWZAR,1985-04-01,0.0022785,0.0022785,0.0022785,0.0022785
KRWZAR,1985-04-09,0.0022977,0.0022977,0.0022977,0.0022977
KRWZAR,1985-04-15,0.0021888,0.0021888,0.0021888,0.0021888
KRWZAR,1985-04-22,0.002216,0.002216,0.002216,0.002216
KRWZAR,1985-04-29,0.0022557,0.0022557,0.0022557,0.0022557
KRWZAR,1985-05-06,0.0023398,0.0023398,0.0023398,0.0023398
KRWZAR,1985-05-13,0.0022631,0.0022631,0.0022631,0.0022631
KRWZAR,1985-05-20,0.0022741,0.0022741,0.0022741,0.0022741
KRWZAR,1985-05-27,0.0022741,0.0022741,0.0022741,0.0022741
KRWZAR,1985-06-01,0.0022818,0.0022818,0.0022818,0.0022818
KRWZAR,1985-06-10,0.002297,0.002297,0.002297,0.002297
KRWZAR,1985-06-17,0.0022665,0.0022665,0.0022665,0.0022665
KRWZAR,1985-06-24,0.00225,0.00225,0.00225,0.00225
KRWZAR,1985-07-01,0.0022528,0.0022528,0.0022528,0.0022528
KRWZAR,1985-07-08,0.0022305,0.0022305,0.0022305,0.0022305
KRWZAR,1985-07-15,0.0021829,0.0021829,0.0021829,0.0021829
KRWZAR,1985-07-23,0.0021463,0.0021463,0.0021463,0.0021463
KRWZAR,1985-07-29,0.002321,0.002321,0.002321,0.002321
KRWZAR,1985-08-05,0.0025072,0.0025072,0.0025072,0.0025072
KRWZAR,1985-08-12,0.0023585,0.0023585,0.0023585,0.0023585
KRWZAR,1985-08-19,0.0027373,0.0027373,0.0027373,0.0027373
KRWZAR,1985-08-26,0.0028738,0.0028738,0.0028738,0.0028738
KRWZAR,1985-09-02,0.0028738,0.0028738,0.0028738,0.0028738
KRWZAR,1985-09-09,0.0029103,0.0029103,0.0029103,0.0029103
KRWZAR,1985-09-16,0.0027019,0.0027019,0.0027019,0.0027019
KRWZAR,1985-09-23,0.002813,0.002813,0.002813,0.002813
