ticker,date,open,high,low,close
NOKDKK,1984-01-02,1.284,1.284,1.284,1.284
NOKDKK,1984-01-09,1.2867,1.2867,1.2867,1.2867
NOKDKK,1984-01-16,1.2913,1.2913,1.2913,1.2913
NOKDKK,1984-01-23,1.2927,1.2927,1.2927,1.2927
NOKDKK,1984-01-30,1.2986,1.2986,1.2986,1.2986
NOKDKK,1984-02-06,1.2979,1.2979,1.2979,1.2979
NOKDKK,1984-02-13,1.2844,1.2844,1.2844,1.2844
NOKDKK,1984-02-20,1.2843,1.2843,1.2843,1.2843
NOKDKK,1984-03-01,1.2762,1.2762,1.2762,1.2762
NOKDKK,1984-03-05,1.2715,1.2715,1.2715,1.2715
NOKDKK,1984-03-12,1.2647,1.2647,1.2647,1.2647
NOKDKK,1984-03-19,1.2603,1.2603,1.2603,1.2603
NOKDKK,1984-03-26,1.2702,1.2702,1.2702,1.2702
NOKDKK,1984-04-02,1.2683,1.2683,1.2683,1.2683
NOKDKK,1984-04-09,1.2758,1.2758,1.2758,1.2758
NOKDKK,1984-04-16,1.2751,1.2751,1.2751,1.2751
NOKDKK,1984-04-24,1.2763,1.2763,1.2763,1.2763
NOKDKK,1984-05-02,1.2871,1.2871,1.2871,1.2871
NOKDKK,1984-05-07,1.2877,1.2877,1.2877,1.2877
NOKDKK,1984-05-14,1.2951,1.2951,1.2951,1.2951
NOKDKK,1984-05-21,1.2829,1.2829,1.2829,1.2829
NOKDKK,1984-05-28,1.2892,1.2892,1.2892,1.2892
NOKDKK,1984-06-04,1.2869,1.2869,1.2869,1.2869
NOKDKK,1984-06-11,1.2778,1.2778,1.2778,1.2778
NOKDKK,1984-06-18,1.2847,1.2847,1.2847,1.2847
NOKDKK,1984-06-25,1.2916,1.2916,1.2916,1.2916
NOKDKK,1984-07-02,1.2771,1.2771,1.2771,1.2771
NOKDKK,1984-07-09,1.2776,1.2776,1.2776,1.2776
NOKDKK,1984-07-16,1.2677,1.2677,1.2677,1.2677
NOKDKK,1984-07-23,1.2638,1.2638,1.2638,1.2638
NOKDKK,1984-07-30,1.267,1.267,1.267,1.267
NOKDKK,1984-08-06,1.2698,1.2698,1.2698,1.2698
NOKDKK,1984-08-13,1.2692,1.2692,1.2692,1.2692
NOKDKK,1984-08-20,1.2688,1.2688,1.2688,1.2688
NOKDKK,1984-08-27,1.2688,1.2688,1.2688,1.2688
NOKDKK,1984-09-01,1.2632,1.2632,1.2632,1.2632
NOKDKK,1984-09-10,1.2695,1.2695,1.2695,1.2695
NOKDKK,1984-09-17,1.2784,1.2784,1.2784,1.2784
NOKDKK,1984-09-24,1.2829,1.2829,1.2829,1.2829
NOKDKK,1984-10-01,1.2577,1.2577,1.2577,1.2577
NOKDKK,1984-10-08,1.2511,1.2511,1.2511,1.2511
NOKDKK,1984-10-15,1.2531,1.2531,1.2531,1.2531
NOKDKK,1984-10-22,1.2583,1.2583,1.2583,1.2583
NOKDKK,1984-10-29,1.2443,1.2443,1.2443,1.2443
NOKDKK,1984-11-05,1.2474,1.2474,1.2474,1.2474
NOKDKK,1984-11-12,1.238,1.238,1.238,1.238
NOKDKK,1984-11-19,1.237,1.237,1.237,1.237
NOKDKK,1984-11-26,1.2435,1.2435,1.2435,1.2435
NOKDKK,1984-12-01,1.2413,1.2413,1.2413,1.2413
NOKDKK,1984-12-10,1.246,1.246,1.246,1.246
NOKDKK,1984-12-17,1.2421,1.2421,1.2421,1.2421
NOKDKK,1984-12-24,1.2386,1.2386,1.2386,1.2386
NOKDKK,1985-01-01,1.2403,1.2403,1.2403,1.2403
NOKDKK,1985-01-07,1.2406,1.2406,1.2406,1.2406
NOKDKK,1985-01-14,1.2338,1.2338,1.2338,1.2338
NOKDKK,1985-01-21,1.2357,1.2357,1.2357,1.2357
NOKDKK,1985-01-28,1.2333,1.2333,1.2333,1.2333
NOKDKK,1985-02-04,1.2313,1.2313,1.2313,1.2313
NOKDKK,1985-02-11,1.2391,1.2391,1.2391,1.2391
NOKDKK,1985-02-18,1.2442,1.2442,1.2442,1.2442
NOKDKK,1985-02-25,1.2498,1.2498,1.2498,1.2498
NOKDKK,1985-03-04,1.2506,1.2506,1.2506,1.2506
NOKDKK,1985-03-11,1.255,1.255,1.255,1.255
NOKDKK,1985-03-18,1.2468,1.2468,1.2468,1.2468
NOKDKK,1985-03-25,1.249,1.249,1.249,1.249
NOKDKK,1985-03-29,1.2447,1.2447,1.2447,1.2447
NOKDKK,1985-04-01,1.2453,1.2453,1.2453,1.2453
NOKDKK,1985-04-09,1.2417,1.2417,1.2417,1.2417
NOKDKK,1985-04-15,1.2431,1.2431,1.2431,1.2431
NOKDKK,1985-04-22,1.239,1.239,1.239,1.239
NOKDKK,1985-04-29,1.2394,1.2394,1.2394,1.2394
NOKDKK,1985-05-06,1.25,1.25,1.25,1.25
NOKDKK,1985-05-13,1.2552,1.2552,1.2552,1.2552
