ticker,date,open,high,low,close
NOKHKD,1984-01-09,0.9929,0.9929,0.9929,0.9929
NOKHKD,1984-01-16,0.9843,0.9843,0.9843,0.9843
NOKHKD,1984-01-23,0.9945,0.9945,0.9945,0.9945
NOKHKD,1984-01-30,0.9898,0.9898,0.9898,0.9898
NOKHKD,1984-02-06,0.9913,0.9913,0.9913,0.9913
NOKHKD,1984-02-13,0.9921,0.9921,0.9921,0.9921
NOKHKD,1984-02-20,1.004,1.004,1.004,1.004
NOKHKD,1984-03-01,1.0192,1.0192,1.0192,1.0192
NOKHKD,1984-03-05,1.0371,1.0371,1.0371,1.0371
NOKHKD,1984-03-12,1.0518,1.0518,1.0518,1.0518
NOKHKD,1984-03-19,1.0594,1.0594,1.0594,1.0594
NOKHKD,1984-03-26,1.0343,1.0343,1.0343,1.0343
NOKHKD,1984-04-02,1.04,1.04,1.04,1.04
NOKHKD,1984-04-09,1.0343,1.0343,1.0343,1.0343
NOKHKD,1984-04-16,1.0329,1.0329,1.0329,1.0329
NOKHKD,1984-04-24,1.0255,1.0255,1.0255,1.0255
NOKHKD,1984-05-02,1.0206,1.0206,1.0206,1.0206
NOKHKD,1984-05-07,1.0056,1.0056,1.0056,1.0056
NOKHKD,1984-05-14,1.0014,1.0014,1.0014,1.0014
NOKHKD,1984-05-21,0.9965,0.9965,0.9965,0.9965
NOKHKD,1984-05-28,1.0014,1.0014,1.0014,1.0014
NOKHKD,1984-06-04,1.0014,1.0014,1.0014,1.0014
NOKHKD,1984-06-11,1.0177,1.0177,1.0177,1.0177
NOKHKD,1984-06-18,1.0042,1.0042,1.0042,1.0042
NOKHKD,1984-06-25,1.0014,1.0014,1.0014,1.0014
NOKHKD,1984-07-02,0.9797,0.9797,0.9797,0.9797
NOKHKD,1984-07-09,0.9789,0.9789,0.9789,0.9789
NOKHKD,1984-07-16,0.9636,0.9636,0.9636,0.9636
NOKHKD,1984-07-23,0.9514,0.9514,0.9514,0.9514
NOKHKD,1984-07-30,0.9458,0.9458,0.9458,0.9458
NOKHKD,1984-08-06,0.9444,0.9444,0.9444,0.9444
NOKHKD,1984-08-13,0.9431,0.9431,0.9431,0.9431
NOKHKD,1984-08-20,0.9472,0.9472,0.9472,0.9472
NOKHKD,1984-08-27,0.9472,0.9472,0.9472,0.9472
NOKHKD,1984-09-01,0.9478,0.9478,0.9478,0.9478
NOKHKD,1984-09-10,0.9361,0.9361,0.9361,0.9361
NOKHKD,1984-09-17,0.9214,0.9214,0.9214,0.9214
NOKHKD,1984-09-24,0.9012,0.9012,0.9012,0.9012
NOKHKD,1984-10-01,0.8851,0.8851,0.8851,0.8851
NOKHKD,1984-10-08,0.8906,0.8906,0.8906,0.8906
NOKHKD,1984-10-15,0.8826,0.8826,0.8826,0.8826
NOKHKD,1984-10-22,0.8691,0.8691,0.8691,0.8691
NOKHKD,1984-10-29,0.8795,0.8795,0.8795,0.8795
NOKHKD,1984-11-05,0.8832,0.8832,0.8832,0.8832
NOKHKD,1984-11-12,0.9094,0.9094,0.9094,0.9094
NOKHKD,1984-11-19,0.9152,0.9152,0.9152,0.9152
NOKHKD,1984-11-26,0.8969,0.8969,0.8969,0.8969
NOKHKD,1984-12-01,0.882,0.882,0.882,0.882
NOKHKD,1984-12-10,0.8776,0.8776,0.8776,0.8776
NOKHKD,1984-12-17,0.8795,0.8795,0.8795,0.8795
NOKHKD,1984-12-24,0.877,0.877,0.877,0.877
NOKHKD,1985-01-01,0.871,0.871,0.871,0.871
NOKHKD,1985-01-07,0.8545,0.8545,0.8545,0.8545
NOKHKD,1985-01-14,0.8616,0.8616,0.8616,0.8616
NOKHKD,1985-01-21,0.8483,0.8483,0.8483,0.8483
NOKHKD,1985-01-28,0.8494,0.8494,0.8494,0.8494
NOKHKD,1985-02-04,0.8523,0.8523,0.8523,0.8523
NOKHKD,1985-02-11,0.8425,0.8425,0.8425,0.8425
NOKHKD,1985-02-18,0.8276,0.8276,0.8276,0.8276
NOKHKD,1985-02-25,0.8238,0.8238,0.8238,0.8238
NOKHKD,1985-03-04,0.8188,0.8188,0.8188,0.8188
NOKHKD,1985-03-11,0.7934,0.7934,0.7934,0.7934
NOKHKD,1985-03-18,0.8177,0.8177,0.8177,0.8177
NOKHKD,1985-03-25,0.825,0.825,0.825,0.825
NOKHKD,1985-03-29,0.8593,0.8593,0.8593,0.8593
NOKHKD,1985-04-01,0.8633,0.8633,0.8633,0.8633
NOKHKD,1985-04-09,0.8699,0.8699,0.8699,0.8699
NOKHKD,1985-04-15,0.861,0.861,0.861,0.861
NOKHKD,1985-04-22,0.8886,0.8886,0.8886,0.8886
NOKHKD,1985-04-29,0.8846,0.8846,0.8846,0.8846
NOKHKD,1985-05-06,0.8722,0.8722,0.8722,0.8722
NOKHKD,1985-05-13,0.8436,0.8436,0.8436,0.8436
NOKHKD,1985-05-20,0.8789,0.8789,0.8789,0.8789
NOKHKD,1985-05-27,0.8857,0.8857,0.8857,0.8857
NOKHKD,1985-06-01,0.8732,0.8732,0.8732,0.8732
NOKHKD,1985-06-10,0.8887,0.8887,0.8887,0.8887
NOKHKD,1985-06-17,0.8727,0.8727,0.8727,0.8727
NOKHKD,1985-06-24,0.8872,0.8872,0.8872,0.8872
NOKHKD,1985-07-01,0.8809,0.8809,0.8809,0.8809
