ticker,date,open,high,low,close
NOKJPY,1984-01-02,30.143,30.143,30.143,30.143
NOKJPY,1984-01-09,29.91,29.91,29.91,29.91
NOKJPY,1984-01-16,29.467,29.467,29.467,29.467
NOKJPY,1984-01-23,29.901,29.901,29.901,29.901
NOKJPY,1984-01-30,29.702,29.702,29.702,29.702
NOKJPY,1984-02-06,29.848,29.848,29.848,29.848
NOKJPY,1984-02-13,29.886,29.886,29.886,29.886
NOKJPY,1984-02-20,30.184,30.184,30.184,30.184
NOKJPY,1984-03-01,30.484,30.484,30.484,30.484
NOKJPY,1984-03-05,31.032,31.032,31.032,31.032
NOKJPY,1984-03-12,30.101,30.101,30.101,30.101
NOKJPY,1984-03-19,30.238,30.238,30.238,30.238
NOKJPY,1984-03-26,29.837,29.837,29.837,29.837
NOKJPY,1984-04-02,29.94,29.94,29.94,29.94
NOKJPY,1984-04-09,29.825,29.825,29.825,29.825
NOKJPY,1984-04-16,29.759,29.759,29.759,29.759
NOKJPY,1984-04-24,29.619,29.619,29.619,29.619
NOKJPY,1984-05-02,29.427,29.427,29.427,29.427
NOKJPY,1984-05-07,29.22,29.22,29.22,29.22
NOKJPY,1984-05-14,29.217,29.217,29.217,29.217
NOKJPY,1984-05-21,29.406,29.406,29.406,29.406
NOKJPY,1984-05-28,29.855,29.855,29.855,29.855
NOKJPY,1984-06-04,29.718,29.718,29.718,29.718
NOKJPY,1984-06-11,29.84,29.84,29.84,29.84
NOKJPY,1984-06-18,29.87,29.87,29.87,29.87
NOKJPY,1984-06-25,29.805,29.805,29.805,29.805
NOKJPY,1984-07-02,29.739,29.739,29.739,29.739
NOKJPY,1984-07-09,29.726,29.726,29.726,29.726
NOKJPY,1984-07-16,29.603,29.603,29.603,29.603
NOKJPY,1984-07-23,29.443,29.443,29.443,29.443
NOKJPY,1984-07-30,29.725,29.725,29.725,29.725
NOKJPY,1984-08-06,29.444,29.444,29.444,29.444
NOKJPY,1984-08-13,29.223,29.223,29.223,29.223
NOKJPY,1984-08-20,29.245,29.245,29.245,29.245
NOKJPY,1984-08-27,29.158,29.158,29.158,29.158
NOKJPY,1984-09-01,29.137,29.137,29.137,29.137
NOKJPY,1984-09-10,29.074,29.074,29.074,29.074
NOKJPY,1984-09-17,28.765,28.765,28.765,28.765
NOKJPY,1984-09-24,28.423,28.423,28.423,28.423
NOKJPY,1984-10-01,27.87,27.87,27.87,27.87
NOKJPY,1984-10-08,27.941,27.941,27.941,27.941
NOKJPY,1984-10-15,27.939,27.939,27.939,27.939
NOKJPY,1984-10-22,27.657,27.657,27.657,27.657
NOKJPY,1984-10-29,27.602,27.602,27.602,27.602
NOKJPY,1984-11-05,27.784,27.784,27.784,27.784
NOKJPY,1984-11-12,28.275,28.275,28.275,28.275
NOKJPY,1984-11-19,28.034,28.034,28.034,28.034
NOKJPY,1984-11-26,28.027,28.027,28.027,28.027
