ticker,date,open,high,low,close
NOKTWD,1984-01-02,5.3322,5.3322,5.3322,5.3322
NOKTWD,1984-01-09,5.2781,5.2781,5.2781,5.2781
NOKTWD,1984-01-16,5.2781,5.2781,5.2781,5.2781
NOKTWD,1984-01-23,5.2781,5.2781,5.2781,5.2781
NOKTWD,1984-01-30,5.2824,5.2824,5.2824,5.2824
NOKTWD,1984-02-06,5.2824,5.2824,5.2824,5.2824
NOKTWD,1984-02-13,5.2824,5.2824,5.2824,5.2824
NOKTWD,1984-02-20,5.3366,5.3366,5.3366,5.3366
NOKTWD,1984-03-01,5.117,5.117,5.117,5.117
NOKTWD,1984-03-05,5.5289,5.5289,5.5289,5.5289
NOKTWD,1984-03-12,5.57,5.57,5.57,5.57
NOKTWD,1984-03-19,5.5617,5.5617,5.5617,5.5617
NOKTWD,1984-03-26,5.132,5.132,5.132,5.132
NOKTWD,1984-04-02,5.4985,5.4985,5.4985,5.4985
NOKTWD,1984-04-09,5.132,5.132,5.132,5.132
NOKTWD,1984-04-16,5.1095,5.1095,5.1095,5.1095
NOKTWD,1984-04-24,5.0523,5.0523,5.0523,5.0523
NOKTWD,1984-05-02,5.0487,5.0487,5.0487,5.0487
NOKTWD,1984-05-07,5.0,5.0,5.0,5.0
NOKTWD,1984-05-14,5.0,5.0,5.0,5.0
NOKTWD,1984-05-21,5.0143,5.0143,5.0143,5.0143
NOKTWD,1984-05-28,5.0143,5.0143,5.0143,5.0143
NOKTWD,1984-06-04,5.0451,5.0451,5.0451,5.0451
NOKTWD,1984-06-11,5.0725,5.0725,5.0725,5.0725
NOKTWD,1984-06-18,5.0215,5.0215,5.0215,5.0215
NOKTWD,1984-06-25,5.0197,5.0197,5.0197,5.0197
NOKTWD,1984-07-02,4.9593,4.9593,4.9593,4.9593
NOKTWD,1984-07-09,4.9453,4.9453,4.9453,4.9453
NOKTWD,1984-07-16,4.9383,4.9383,4.9383,4.9383
NOKTWD,1984-07-23,4.8951,4.8951,4.8951,4.8951
NOKTWD,1984-07-30,4.8645,4.8645,4.8645,4.8645
NOKTWD,1984-08-06,4.846,4.846,4.846,4.846
NOKTWD,1984-08-13,4.846,4.846,4.846,4.846
NOKTWD,1984-08-20,4.8409,4.8409,4.8409,4.8409
NOKTWD,1984-08-27,4.8426,4.8426,4.8426,4.8426
NOKTWD,1984-09-01,4.7664,4.7664,4.7664,4.7664
NOKTWD,1984-09-10,4.7274,4.7274,4.7274,4.7274
NOKTWD,1984-09-17,4.6963,4.6963,4.6963,4.6963
NOKTWD,1984-09-24,4.6729,4.6729,4.6729,4.6729
NOKTWD,1984-10-01,4.3573,4.3573,4.3573,4.3573
NOKTWD,1984-10-08,4.3915,4.3915,4.3915,4.3915
NOKTWD,1984-10-15,4.3532,4.3532,4.3532,4.3532
NOKTWD,1984-10-22,4.3317,4.3317,4.3317,4.3317
NOKTWD,1984-10-29,4.3723,4.3723,4.3723,4.3723
NOKTWD,1984-11-05,4.36,4.36,4.36,4.36
NOKTWD,1984-11-12,4.4304,4.4304,4.4304,4.4304
NOKTWD,1984-11-19,4.4586,4.4586,4.4586,4.4586
NOKTWD,1984-11-26,4.4248,4.4248,4.4248,4.4248
NOKTWD,1984-12-01,4.3887,4.3887,4.3887,4.3887
NOKTWD,1984-12-10,4.3915,4.3915,4.3915,4.3915
NOKTWD,1984-12-17,4.3929,4.3929,4.3929,4.3929
NOKTWD,1984-12-24,4.3901,4.3901,4.3901,4.3901
NOKTWD,1985-01-01,4.2943,4.2943,4.2943,4.2943
NOKTWD,1985-01-07,4.2602,4.2602,4.2602,4.2602
NOKTWD,1985-01-14,4.2808,4.2808,4.2808,4.2808
NOKTWD,1985-01-21,4.2493,4.2493,4.2493,4.2493
NOKTWD,1985-01-28,4.2277,4.2277,4.2277,4.2277
NOKTWD,1985-02-04,4.2289,4.2289,4.2289,4.2289
NOKTWD,1985-02-11,4.1982,4.1982,4.1982,4.1982
NOKTWD,1985-02-18,4.1678,4.1678,4.1678,4.1678
NOKTWD,1985-02-25,4.1783,4.1783,4.1783,4.1783
NOKTWD,1985-03-04,4.1923,4.1923,4.1923,4.1923
NOKTWD,1985-03-11,4.1368,4.1368,4.1368,4.1368
NOKTWD,1985-03-18,4.2099,4.2099,4.2099,4.2099
NOKTWD,1985-03-25,4.2541,4.2541,4.2541,4.2541
NOKTWD,1985-03-29,4.3029,4.3029,4.3029,4.3029
NOKTWD,1985-04-01,4.3029,4.3029,4.3029,4.3029
NOKTWD,1985-04-09,4.339,4.339,4.339,4.339
NOKTWD,1985-04-15,4.3079,4.3079,4.3079,4.3079
NOKTWD,1985-04-22,4.6838,4.6838,4.6838,4.6838
NOKTWD,1985-04-29,4.4079,4.4079,4.4079,4.4079
NOKTWD,1985-05-06,4.3745,4.3745,4.3745,4.3745
