ticker,date,open,high,low,close
NZDCAD,1984-01-09,0.8131,0.8131,0.8131,0.8131
NZDCAD,1984-01-16,0.8111,0.8111,0.8111,0.8111
NZDCAD,1984-01-23,0.8108,0.8108,0.8108,0.8108
NZDCAD,1984-01-30,0.8087,0.8087,0.8087,0.8087
NZDCAD,1984-02-06,0.8173,0.8173,0.8173,0.8173
NZDCAD,1984-02-13,0.8193,0.8193,0.8193,0.8193
NZDCAD,1984-02-20,0.8137,0.8137,0.8137,0.8137
NZDCAD,1984-03-01,0.829,0.829,0.829,0.829
NZDCAD,1984-03-05,0.8293,0.8293,0.8293,0.8293
NZDCAD,1984-03-12,0.8342,0.8342,0.8342,0.8342
NZDCAD,1984-03-19,0.8413,0.8413,0.8413,0.8413
NZDCAD,1984-03-26,0.8467,0.8467,0.8467,0.8467
NZDCAD,1984-04-02,0.8508,0.8508,0.8508,0.8508
NZDCAD,1984-04-09,0.8387,0.8387,0.8387,0.8387
NZDCAD,1984-04-16,0.838,0.838,0.838,0.838
NZDCAD,1984-04-24,0.8427,0.8427,0.8427,0.8427
NZDCAD,1984-05-02,0.8368,0.8368,0.8368,0.8368
NZDCAD,1984-05-07,0.8428,0.8428,0.8428,0.8428
NZDCAD,1984-05-14,0.8348,0.8348,0.8348,0.8348
NZDCAD,1984-05-21,0.8359,0.8359,0.8359,0.8359
NZDCAD,1984-05-28,0.8366,0.8366,0.8366,0.8366
NZDCAD,1984-06-04,0.8438,0.8438,0.8438,0.8438
NZDCAD,1984-06-11,0.8389,0.8389,0.8389,0.8389
NZDCAD,1984-06-18,0.8369,0.8369,0.8369,0.8369
NZDCAD,1984-06-25,0.8198,0.8198,0.8198,0.8198
NZDCAD,1984-07-02,0.8336,0.8336,0.8336,0.8336
NZDCAD,1984-07-09,0.8161,0.8161,0.8161,0.8161
NZDCAD,1984-07-16,0.8199,0.8199,0.8199,0.8199
NZDCAD,1984-07-23,0.659,0.659,0.659,0.659
NZDCAD,1984-07-30,0.6533,0.6533,0.6533,0.6533
NZDCAD,1984-08-06,0.6538,0.6538,0.6538,0.6538
NZDCAD,1984-08-13,0.6492,0.6492,0.6492,0.6492
NZDCAD,1984-08-20,0.6516,0.6516,0.6516,0.6516
NZDCAD,1984-08-27,0.6516,0.6516,0.6516,0.6516
NZDCAD,1984-09-01,0.6498,0.6498,0.6498,0.6498
NZDCAD,1984-09-10,0.638,0.638,0.638,0.638
NZDCAD,1984-09-17,0.6424,0.6424,0.6424,0.6424
NZDCAD,1984-09-24,0.645,0.645,0.645,0.645
NZDCAD,1984-10-01,0.6433,0.6433,0.6433,0.6433
NZDCAD,1984-10-08,0.6388,0.6388,0.6388,0.6388
NZDCAD,1984-10-15,0.6376,0.6376,0.6376,0.6376
NZDCAD,1984-10-22,0.6417,0.6417,0.6417,0.6417
NZDCAD,1984-10-29,0.6409,0.6409,0.6409,0.6409
NZDCAD,1984-11-05,0.6543,0.6543,0.6543,0.6543
NZDCAD,1984-11-12,0.6488,0.6488,0.6488,0.6488
NZDCAD,1984-11-19,0.6498,0.6498,0.6498,0.6498
NZDCAD,1984-11-26,0.643,0.643,0.643,0.643
NZDCAD,1984-12-01,0.6451,0.6451,0.6451,0.6451
NZDCAD,1984-12-10,0.6407,0.6407,0.6407,0.6407
NZDCAD,1984-12-17,0.6374,0.6374,0.6374,0.6374
NZDCAD,1984-12-24,0.6327,0.6327,0.6327,0.6327
