ticker,date,open,high,low,close
NZDCHF,1984-01-09,1.4515,1.4515,1.4515,1.4515
NZDCHF,1984-01-16,1.4597,1.4597,1.4597,1.4597
NZDCHF,1984-01-23,1.4453,1.4453,1.4453,1.4453
NZDCHF,1984-01-30,1.4574,1.4574,1.4574,1.4574
NZDCHF,1984-02-06,1.4684,1.4684,1.4684,1.4684
NZDCHF,1984-02-13,1.4687,1.4687,1.4687,1.4687
NZDCHF,1984-02-20,1.4608,1.4608,1.4608,1.4608
NZDCHF,1984-03-01,1.4603,1.4603,1.4603,1.4603
NZDCHF,1984-03-05,1.4314,1.4314,1.4314,1.4314
NZDCHF,1984-03-12,1.4011,1.4011,1.4011,1.4011
NZDCHF,1984-03-19,1.4043,1.4043,1.4043,1.4043
NZDCHF,1984-03-26,1.4308,1.4308,1.4308,1.4308
NZDCHF,1984-04-02,1.4283,1.4283,1.4283,1.4283
NZDCHF,1984-04-09,1.4207,1.4207,1.4207,1.4207
NZDCHF,1984-04-16,1.426,1.426,1.426,1.426
NZDCHF,1984-04-24,1.4397,1.4397,1.4397,1.4397
NZDCHF,1984-05-02,1.4498,1.4498,1.4498,1.4498
NZDCHF,1984-05-07,1.4624,1.4624,1.4624,1.4624
NZDCHF,1984-05-14,1.4713,1.4713,1.4713,1.4713
NZDCHF,1984-05-21,1.4719,1.4719,1.4719,1.4719
NZDCHF,1984-05-28,1.4671,1.4671,1.4671,1.4671
NZDCHF,1984-06-04,1.4704,1.4704,1.4704,1.4704
NZDCHF,1984-06-11,1.4378,1.4378,1.4378,1.4378
NZDCHF,1984-06-18,1.4569,1.4569,1.4569,1.4569
NZDCHF,1984-06-25,1.4424,1.4424,1.4424,1.4424
NZDCHF,1984-07-02,1.4704,1.4704,1.4704,1.4704
NZDCHF,1984-07-09,1.4595,1.4595,1.4595,1.4595
NZDCHF,1984-07-16,1.4713,1.4713,1.4713,1.4713
NZDCHF,1984-07-23,1.1918,1.1918,1.1918,1.1918
NZDCHF,1984-07-30,1.2123,1.2123,1.2123,1.2123
