ticker,date,open,high,low,close
NZDEUR,1984-09-24,0.6675,0.6675,0.6675,0.6675
NZDEUR,1984-10-01,0.6555,0.6555,0.6555,0.6555
NZDEUR,1984-10-08,0.6614,0.6614,0.6614,0.6614
NZDEUR,1984-10-15,0.6576,0.6576,0.6576,0.6576
NZDEUR,1984-10-22,0.6788,0.6788,0.6788,0.6788
NZDEUR,1984-10-29,0.6731,0.6731,0.6731,0.6731
NZDEUR,1984-11-05,0.6813,0.6813,0.6813,0.6813
NZDEUR,1984-11-12,0.6524,0.6524,0.6524,0.6524
NZDEUR,1984-11-19,0.6546,0.6546,0.6546,0.6546
NZDEUR,1984-11-26,0.6541,0.6541,0.6541,0.6541
NZDEUR,1984-12-01,0.6675,0.6675,0.6675,0.6675
NZDEUR,1984-12-10,0.6705,0.6705,0.6705,0.6705
NZDEUR,1984-12-17,0.6687,0.6687,0.6687,0.6687
NZDEUR,1984-12-24,0.665,0.665,0.665,0.665
NZDEUR,1985-01-01,0.672,0.672,0.672,0.672
NZDEUR,1985-01-07,0.668,0.668,0.668,0.668
NZDEUR,1985-01-14,0.6585,0.6585,0.6585,0.6585
NZDEUR,1985-01-21,0.6704,0.6704,0.6704,0.6704
NZDEUR,1985-01-28,0.6691,0.6691,0.6691,0.6691
NZDEUR,1985-02-04,0.661,0.661,0.661,0.661
NZDEUR,1985-02-11,0.6592,0.6592,0.6592,0.6592
NZDEUR,1985-02-18,0.6716,0.6716,0.6716,0.6716
NZDEUR,1985-02-25,0.6536,0.6536,0.6536,0.6536
NZDEUR,1985-03-04,0.6497,0.6497,0.6497,0.6497
NZDEUR,1985-03-11,0.7363,0.7363,0.7363,0.7363
NZDEUR,1985-03-18,0.6705,0.6705,0.6705,0.6705
NZDEUR,1985-03-25,0.6761,0.6761,0.6761,0.6761
NZDEUR,1985-03-29,0.6887,0.6887,0.6887,0.6887
NZDEUR,1985-04-01,0.6483,0.6483,0.6483,0.6483
NZDEUR,1985-04-09,0.6248,0.6248,0.6248,0.6248
NZDEUR,1985-04-15,0.6424,0.6424,0.6424,0.6424
NZDEUR,1985-04-22,0.6143,0.6143,0.6143,0.6143
NZDEUR,1985-04-29,0.6156,0.6156,0.6156,0.6156
NZDEUR,1985-05-06,0.6253,0.6253,0.6253,0.6253
NZDEUR,1985-05-13,0.654,0.654,0.654,0.654
NZDEUR,1985-05-20,0.6167,0.6167,0.6167,0.6167
NZDEUR,1985-05-27,0.6137,0.6137,0.6137,0.6137
NZDEUR,1985-06-01,0.624,0.624,0.624,0.624
NZDEUR,1985-06-10,0.6067,0.6067,0.6067,0.6067
NZDEUR,1985-06-17,0.6304,0.6304,0.6304,0.6304
NZDEUR,1985-06-24,0.6368,0.6368,0.6368,0.6368
NZDEUR,1985-07-01,0.6632,0.6632,0.6632,0.6632
NZDEUR,1985-07-08,0.6421,0.6421,0.6421,0.6421
NZDEUR,1985-07-15,0.6525,0.6525,0.6525,0.6525
NZDEUR,1985-07-23,0.66,0.66,0.66,0.66
NZDEUR,1985-07-29,0.6619,0.6619,0.6619,0.6619
NZDEUR,1985-08-05,0.6698,0.6698,0.6698,0.6698
NZDEUR,1985-08-12,0.7008,0.7008,0.7008,0.7008
NZDEUR,1985-08-19,0.6536,0.6536,0.6536,0.6536
NZDEUR,1985-08-26,0.6629,0.6629,0.6629,0.6629
NZDEUR,1985-09-02,0.666,0.666,0.666,0.666
