ticker,date,open,high,low,close
NZDJPY,1984-01-09,152.28,152.28,152.28,152.28
NZDJPY,1984-01-16,151.58,151.58,151.58,151.58
NZDJPY,1984-01-23,151.99,151.99,151.99,151.99
NZDJPY,1984-01-30,151.94,151.94,151.94,151.94
NZDJPY,1984-02-06,153.63,153.63,153.63,153.63
NZDJPY,1984-02-13,153.7,153.7,153.7,153.7
NZDJPY,1984-02-20,152.95,152.95,152.95,152.95
NZDJPY,1984-03-01,155.07,155.07,155.07,155.07
NZDJPY,1984-03-05,154.31,154.31,154.31,154.31
NZDJPY,1984-03-12,148.45,148.45,148.45,148.45
NZDJPY,1984-03-19,148.91,148.91,148.91,148.91
NZDJPY,1984-03-26,149.6,149.6,149.6,149.6
NZDJPY,1984-04-02,148.88,148.88,148.88,148.88
NZDJPY,1984-04-09,147.89,147.89,147.89,147.89
NZDJPY,1984-04-16,147.56,147.56,147.56,147.56
NZDJPY,1984-04-24,147.89,147.89,147.89,147.89
NZDJPY,1984-05-02,147.44,147.44,147.44,147.44
NZDJPY,1984-05-07,147.74,147.74,147.74,147.74
NZDJPY,1984-05-14,147.52,147.52,147.52,147.52
NZDJPY,1984-05-21,149.21,149.21,149.21,149.21
NZDJPY,1984-05-28,150.75,150.75,150.75,150.75
NZDJPY,1984-06-04,151.1,151.1,151.1,151.1
NZDJPY,1984-06-11,148.06,148.06,148.06,148.06
NZDJPY,1984-06-18,149.14,149.14,149.14,149.14
NZDJPY,1984-06-25,146.93,146.93,146.93,146.93
NZDJPY,1984-07-02,150.29,150.29,150.29,150.29
NZDJPY,1984-07-09,148.42,148.42,148.42,148.42
NZDJPY,1984-07-16,149.09,149.09,149.09,149.09
NZDJPY,1984-07-23,119.92,119.92,119.92,119.92
NZDJPY,1984-07-30,122.0,122.0,122.0,122.0
NZDJPY,1984-08-06,122.1,122.1,122.1,122.1
NZDJPY,1984-08-13,120.94,120.94,120.94,120.94
NZDJPY,1984-08-20,121.36,121.36,121.36,121.36
NZDJPY,1984-08-27,120.99,120.99,120.99,120.99
NZDJPY,1984-09-01,120.62,120.62,120.62,120.62
NZDJPY,1984-09-10,119.72,119.72,119.72,119.72
NZDJPY,1984-09-17,119.58,119.58,119.58,119.58
NZDJPY,1984-09-24,120.86,120.86,120.86,120.86
NZDJPY,1984-10-01,120.09,120.09,120.09,120.09
NZDJPY,1984-10-08,119.41,119.41,119.41,119.41
NZDJPY,1984-10-15,119.54,119.54,119.54,119.54
NZDJPY,1984-10-22,120.61,120.61,120.61,120.61
NZDJPY,1984-10-29,119.3,119.3,119.3,119.3
NZDJPY,1984-11-05,121.92,121.92,121.92,121.92
NZDJPY,1984-11-12,120.06,120.06,120.06,120.06
NZDJPY,1984-11-19,118.65,118.65,118.65,118.65
NZDJPY,1984-11-26,118.95,118.95,118.95,118.95
NZDJPY,1984-12-01,120.16,120.16,120.16,120.16
