ticker,date,open,high,low,close
NZDKRW,1984-01-09,517.74,517.74,517.74,517.74
NZDKRW,1984-01-16,518.55,518.55,518.55,518.55
NZDKRW,1984-01-23,517.74,517.74,517.74,517.74
NZDKRW,1984-01-30,518.55,518.55,518.55,518.55
NZDKRW,1984-02-06,522.58,522.58,522.58,522.58
NZDKRW,1984-02-13,522.58,522.58,522.58,522.58
NZDKRW,1984-02-20,525.41,525.41,525.41,525.41
NZDKRW,1984-03-01,529.71,529.71,529.71,529.71
NZDKRW,1984-03-05,527.01,527.01,527.01,527.01
NZDKRW,1984-03-12,530.15,530.15,530.15,530.15
NZDKRW,1984-03-19,529.41,529.41,529.41,529.41
NZDKRW,1984-03-26,529.93,529.93,529.93,529.93
NZDKRW,1984-04-02,528.47,528.47,528.47,528.47
NZDKRW,1984-04-09,524.09,524.09,524.09,524.09
NZDKRW,1984-04-16,523.36,523.36,523.36,523.36
NZDKRW,1984-04-24,523.19,523.19,523.19,523.19
NZDKRW,1984-05-02,526.28,526.28,526.28,526.28
NZDKRW,1984-05-07,519.42,519.42,519.42,519.42
NZDKRW,1984-05-14,520.29,520.29,520.29,520.29
NZDKRW,1984-05-21,520.29,520.29,520.29,520.29
NZDKRW,1984-05-28,520.29,520.29,520.29,520.29
NZDKRW,1984-06-04,520.14,520.14,520.14,520.14
NZDKRW,1984-06-11,519.71,519.71,519.71,519.71
NZDKRW,1984-06-18,515.94,515.94,515.94,515.94
NZDKRW,1984-06-25,507.97,507.97,507.97,507.97
NZDKRW,1984-07-02,509.35,509.35,509.35,509.35
NZDKRW,1984-07-09,502.9,502.9,502.9,502.9
NZDKRW,1984-07-16,502.9,502.9,502.9,502.9
NZDKRW,1984-07-23,401.44,401.44,401.44,401.44
NZDKRW,1984-07-30,402.16,402.16,402.16,402.16
NZDKRW,1984-08-06,405.76,405.76,405.76,405.76
NZDKRW,1984-08-13,404.32,404.32,404.32,404.32
NZDKRW,1984-08-20,404.29,404.29,404.29,404.29
NZDKRW,1984-08-27,407.19,407.19,407.19,407.19
NZDKRW,1984-09-01,405.26,405.26,405.26,405.26
NZDKRW,1984-09-10,400.66,400.66,400.66,400.66
NZDKRW,1984-09-17,398.04,398.04,398.04,398.04
NZDKRW,1984-09-24,400.65,400.65,400.65,400.65
NZDKRW,1984-10-01,398.7,398.7,398.7,398.7
NZDKRW,1984-10-08,398.04,398.04,398.04,398.04
NZDKRW,1984-10-15,397.39,397.39,397.39,397.39
NZDKRW,1984-10-22,396.13,396.13,396.13,396.13
NZDKRW,1984-10-29,397.4,397.4,397.4,397.4
NZDKRW,1984-11-05,405.2,405.2,405.2,405.2
NZDKRW,1984-11-12,403.95,403.95,403.95,403.95
NZDKRW,1984-11-19,402.63,402.63,402.63,402.63
NZDKRW,1984-11-26,400.66,400.66,400.66,400.66
NZDKRW,1984-12-01,401.31,401.31,401.31,401.31
NZDKRW,1984-12-10,399.35,399.35,399.35,399.35
NZDKRW,1984-12-17,398.04,398.04,398.04,398.04
NZDKRW,1984-12-24,398.03,398.03,398.03,398.03
NZDKRW,1985-01-01,396.41,396.41,396.41,396.41
NZDKRW,1985-01-07,391.02,391.02,391.02,391.02
NZDKRW,1985-01-14,389.76,389.76,389.76,389.76
NZDKRW,1985-01-21,390.42,390.42,390.42,390.42
NZDKRW,1985-01-28,389.82,389.82,389.82,389.82
NZDKRW,1985-02-04,386.23,386.23,386.23,386.23
NZDKRW,1985-02-11,382.04,382.04,382.04,382.04
NZDKRW,1985-02-18,382.74,382.74,382.74,382.74
NZDKRW,1985-02-25,371.86,371.86,371.86,371.86
NZDKRW,1985-03-04,368.07,368.07,368.07,368.07
NZDKRW,1985-03-11,402.98,402.98,402.98,402.98
NZDKRW,1985-03-18,381.82,381.82,381.82,381.82
NZDKRW,1985-03-25,389.02,389.02,389.02,389.02
NZDKRW,1985-03-29,394.44,394.44,394.44,394.44
NZDKRW,1985-04-01,392.59,392.59,392.59,392.59
NZDKRW,1985-04-09,388.05,388.05,388.05,388.05
NZDKRW,1985-04-15,393.75,393.75,393.75,393.75
NZDKRW,1985-04-22,391.77,391.77,391.77,391.77
NZDKRW,1985-04-29,393.63,393.63,393.63,393.63
NZDKRW,1985-05-06,394.9,394.9,394.9,394.9
NZDKRW,1985-05-13,394.38,394.38,394.38,394.38
NZDKRW,1985-05-20,394.23,394.23,394.23,394.23
NZDKRW,1985-05-27,394.23,394.23,394.23,394.23
NZDKRW,1985-06-01,392.9,392.9,392.9,392.9
NZDKRW,1985-06-10,391.16,391.16,391.16,391.16
NZDKRW,1985-06-17,399.45,399.45,399.45,399.45
NZDKRW,1985-06-24,411.67,411.67,411.67,411.67
NZDKRW,1985-07-01,427.78,427.78,427.78,427.78
NZDKRW,1985-07-08,415.56,415.56,415.56,415.56
NZDKRW,1985-07-15,431.29,431.29,431.29,431.29
NZDKRW,1985-07-23,453.41,453.41,453.41,453.41
NZDKRW,1985-07-29,459.43,459.43,459.43,459.43
NZDKRW,1985-08-05,468.97,468.97,468.97,468.97
NZDKRW,1985-08-12,482.29,482.29,482.29,482.29
NZDKRW,1985-08-19,463.58,463.58,463.58,463.58
NZDKRW,1985-08-26,471.1,471.1,471.1,471.1
NZDKRW,1985-09-02,471.1,471.1,471.1,471.1
NZDKRW,1985-09-09,476.16,476.16,476.16,476.16
NZDKRW,1985-09-16,470.69,470.69,470.69,470.69
NZDKRW,1985-09-23,487.28,487.28,487.28,487.28
NZDKRW,1985-09-30,489.41,489.41,489.41,489.41
NZDKRW,1985-10-07,504.73,504.73,504.73,504.73
NZDKRW,1985-10-14,504.76,504.76,504.76,504.76
NZDKRW,1985-10-21,519.53,519.53,519.53,519.53
NZDKRW,1985-10-28,501.19,501.19,501.19,501.19
NZDKRW,1985-11-04,520.24,520.24,520.24,520.24
NZDKRW,1985-11-11,520.24,520.24,520.24,520.24
NZDKRW,1985-11-18,495.24,495.24,495.24,495.24
NZDKRW,1985-11-25,513.1,513.1,513.1,513.1
NZDKRW,1985-12-02,510.18,510.18,510.18,510.18
NZDKRW,1985-12-09,503.61,503.61,503.61,503.61
NZDKRW,1985-12-16,427.71,427.71,427.71,427.71
NZDKRW,1985-12-23,445.78,445.78,445.78,445.78
NZDKRW,1986-01-01,445.78,445.78,445.78,445.78
NZDKRW,1986-01-06,466.67,466.67,466.67,466.67
NZDKRW,1986-01-13,447.88,447.88,447.88,447.88
NZDKRW,1986-01-20,447.88,447.88,447.88,447.88
NZDKRW,1986-01-27,473.33,473.33,473.33,473.33
NZDKRW,1986-02-01,475.79,475.79,475.79,475.79
NZDKRW,1986-02-10,482.2,482.2,482.2,482.2
NZDKRW,1986-02-17,481.58,481.58,481.58,481.58
NZDKRW,1986-02-24,466.84,466.84,466.84,466.84
NZDKRW,1986-03-01,465.78,465.78,465.78,465.78
NZDKRW,1986-03-03,463.1,463.1,463.1,463.1
NZDKRW,1986-03-10,462.37,462.37,462.37,462.37
