ticker,date,open,high,low,close
NZDNOK,1984-01-09,5.0912,5.0912,5.0912,5.0912
NZDNOK,1984-01-16,5.144,5.144,5.144,5.144
NZDNOK,1984-01-23,5.0831,5.0831,5.0831,5.0831
NZDNOK,1984-01-30,5.1154,5.1154,5.1154,5.1154
NZDNOK,1984-02-06,5.1469,5.1469,5.1469,5.1469
NZDNOK,1984-02-13,5.1429,5.1429,5.1429,5.1429
NZDNOK,1984-02-20,5.0672,5.0672,5.0672,5.0672
NZDNOK,1984-03-01,5.087,5.087,5.087,5.087
NZDNOK,1984-03-05,4.9725,4.9725,4.9725,4.9725
NZDNOK,1984-03-12,4.9316,4.9316,4.9316,4.9316
NZDNOK,1984-03-19,4.9248,4.9248,4.9248,4.9248
NZDNOK,1984-03-26,5.0138,5.0138,5.0138,5.0138
NZDNOK,1984-04-02,4.9725,4.9725,4.9725,4.9725
NZDNOK,1984-04-09,4.9586,4.9586,4.9586,4.9586
NZDNOK,1984-04-16,4.9585,4.9585,4.9585,4.9585
NZDNOK,1984-04-24,4.9931,4.9931,4.9931,4.9931
NZDNOK,1984-05-02,5.0104,5.0104,5.0104,5.0104
NZDNOK,1984-05-07,5.056,5.056,5.056,5.056
NZDNOK,1984-05-14,5.0492,5.0492,5.0492,5.0492
NZDNOK,1984-05-21,5.0742,5.0742,5.0742,5.0742
NZDNOK,1984-05-28,5.0492,5.0492,5.0492,5.0492
NZDNOK,1984-06-04,5.0844,5.0844,5.0844,5.0844
NZDNOK,1984-06-11,4.9617,4.9617,4.9617,4.9617
NZDNOK,1984-06-18,4.993,4.993,4.993,4.993
NZDNOK,1984-06-25,4.9297,4.9297,4.9297,4.9297
NZDNOK,1984-07-02,5.0535,5.0535,5.0535,5.0535
NZDNOK,1984-07-09,4.9928,4.9928,4.9928,4.9928
NZDNOK,1984-07-16,5.0363,5.0363,5.0363,5.0363
NZDNOK,1984-07-23,4.073,4.073,4.073,4.073
NZDNOK,1984-07-30,4.1043,4.1043,4.1043,4.1043
NZDNOK,1984-08-06,4.1471,4.1471,4.1471,4.1471
NZDNOK,1984-08-13,4.1384,4.1384,4.1384,4.1384
NZDNOK,1984-08-20,4.1496,4.1496,4.1496,4.1496
NZDNOK,1984-08-27,4.1496,4.1496,4.1496,4.1496
NZDNOK,1984-09-01,4.1398,4.1398,4.1398,4.1398
NZDNOK,1984-09-10,4.1177,4.1177,4.1177,4.1177
NZDNOK,1984-09-17,4.157,4.157,4.157,4.157
NZDNOK,1984-09-24,4.2522,4.2522,4.2522,4.2522
NZDNOK,1984-10-01,4.3088,4.3088,4.3088,4.3088
NZDNOK,1984-10-08,4.2737,4.2737,4.2737,4.2737
NZDNOK,1984-10-15,4.2787,4.2787,4.2787,4.2787
NZDNOK,1984-10-22,4.3608,4.3608,4.3608,4.3608
NZDNOK,1984-10-29,4.322,4.322,4.322,4.322
NZDNOK,1984-11-05,4.3882,4.3882,4.3882,4.3882
NZDNOK,1984-11-12,4.2462,4.2462,4.2462,4.2462
NZDNOK,1984-11-19,4.2324,4.2324,4.2324,4.2324
NZDNOK,1984-11-26,4.2439,4.2439,4.2439,4.2439
NZDNOK,1984-12-01,4.3239,4.3239,4.3239,4.3239
NZDNOK,1984-12-10,4.3241,4.3241,4.3241,4.3241
NZDNOK,1984-12-17,4.3009,4.3009,4.3009,4.3009
NZDNOK,1984-12-24,4.2847,4.2847,4.2847,4.2847
NZDNOK,1985-01-01,4.3183,4.3183,4.3183,4.3183
NZDNOK,1985-01-07,4.2932,4.2932,4.2932,4.2932
NZDNOK,1985-01-14,4.2426,4.2426,4.2426,4.2426
NZDNOK,1985-01-21,4.3179,4.3179,4.3179,4.3179
NZDNOK,1985-01-28,4.3056,4.3056,4.3056,4.3056
NZDNOK,1985-02-04,4.2518,4.2518,4.2518,4.2518
NZDNOK,1985-02-11,4.2308,4.2308,4.2308,4.2308
NZDNOK,1985-02-18,4.2924,4.2924,4.2924,4.2924
NZDNOK,1985-02-25,4.165,4.165,4.165,4.165
NZDNOK,1985-03-04,4.1228,4.1228,4.1228,4.1228
NZDNOK,1985-03-11,4.6625,4.6625,4.6625,4.6625
NZDNOK,1985-03-18,4.2568,4.2568,4.2568,4.2568
NZDNOK,1985-03-25,4.2963,4.2963,4.2963,4.2963
NZDNOK,1985-03-29,4.2012,4.2012,4.2012,4.2012
NZDNOK,1985-04-01,4.1623,4.1623,4.1623,4.1623
NZDNOK,1985-04-09,4.0301,4.0301,4.0301,4.0301
NZDNOK,1985-04-15,4.1339,4.1339,4.1339,4.1339
NZDNOK,1985-04-22,3.9807,3.9807,3.9807,3.9807
NZDNOK,1985-04-29,3.9923,3.9923,3.9923,3.9923
NZDNOK,1985-05-06,4.0391,4.0391,4.0391,4.0391
NZDNOK,1985-05-13,4.1788,4.1788,4.1788,4.1788
NZDNOK,1985-05-20,3.9987,3.9987,3.9987,3.9987
NZDNOK,1985-05-27,3.9677,3.9677,3.9677,3.9677
NZDNOK,1985-06-01,4.0168,4.0168,4.0168,4.0168
NZDNOK,1985-06-10,3.9246,3.9246,3.9246,3.9246
NZDNOK,1985-06-17,4.0637,4.0637,4.0637,4.0637
NZDNOK,1985-06-24,4.1144,4.1144,4.1144,4.1144
NZDNOK,1985-07-01,4.2849,4.2849,4.2849,4.2849
NZDNOK,1985-07-08,4.1579,4.1579,4.1579,4.1579
NZDNOK,1985-07-15,4.2348,4.2348,4.2348,4.2348
NZDNOK,1985-07-23,4.3135,4.3135,4.3135,4.3135
NZDNOK,1985-07-29,4.3179,4.3179,4.3179,4.3179
NZDNOK,1985-08-05,4.3753,4.3753,4.3753,4.3753
NZDNOK,1985-08-12,4.582,4.582,4.582,4.582
NZDNOK,1985-08-19,4.3003,4.3003,4.3003,4.3003
NZDNOK,1985-08-26,4.363,4.363,4.363,4.363
NZDNOK,1985-09-02,4.3841,4.3841,4.3841,4.3841
