ticker,date,open,high,low,close
NZDSEK,1984-01-09,5.297,5.297,5.297,5.297
NZDSEK,1984-01-16,5.3184,5.3184,5.3184,5.3184
NZDSEK,1984-01-23,5.2927,5.2927,5.2927,5.2927
NZDSEK,1984-01-30,5.3009,5.3009,5.3009,5.3009
NZDSEK,1984-02-06,5.3465,5.3465,5.3465,5.3465
NZDSEK,1984-02-13,5.351,5.351,5.351,5.351
NZDSEK,1984-02-20,5.2888,5.2888,5.2888,5.2888
NZDSEK,1984-03-01,5.2818,5.2818,5.2818,5.2818
NZDSEK,1984-03-05,5.1535,5.1535,5.1535,5.1535
NZDSEK,1984-03-12,5.1099,5.1099,5.1099,5.1099
NZDSEK,1984-03-19,5.0776,5.0776,5.0776,5.0776
NZDSEK,1984-03-26,5.1673,5.1673,5.1673,5.1673
NZDSEK,1984-04-02,5.1094,5.1094,5.1094,5.1094
NZDSEK,1984-04-09,5.0958,5.0958,5.0958,5.0958
NZDSEK,1984-04-16,5.1141,5.1141,5.1141,5.1141
NZDSEK,1984-04-24,5.1535,5.1535,5.1535,5.1535
NZDSEK,1984-05-02,5.1833,5.1833,5.1833,5.1833
NZDSEK,1984-05-07,5.2243,5.2243,5.2243,5.2243
NZDSEK,1984-05-14,5.2332,5.2332,5.2332,5.2332
NZDSEK,1984-05-21,5.2409,5.2409,5.2409,5.2409
NZDSEK,1984-05-28,5.2218,5.2218,5.2218,5.2218
NZDSEK,1984-06-04,5.262,5.262,5.262,5.262
NZDSEK,1984-06-11,5.152,5.152,5.152,5.152
NZDSEK,1984-06-18,5.1857,5.1857,5.1857,5.1857
NZDSEK,1984-06-25,5.1205,5.1205,5.1205,5.1205
NZDSEK,1984-07-02,5.2021,5.2021,5.2021,5.2021
NZDSEK,1984-07-09,5.0955,5.0955,5.0955,5.0955
NZDSEK,1984-07-16,5.1029,5.1029,5.1029,5.1029
NZDSEK,1984-07-23,4.112,4.112,4.112,4.112
NZDSEK,1984-07-30,4.1285,4.1285,4.1285,4.1285
NZDSEK,1984-08-06,4.1778,4.1778,4.1778,4.1778
NZDSEK,1984-08-13,4.1661,4.1661,4.1661,4.1661
NZDSEK,1984-08-20,4.1895,4.1895,4.1895,4.1895
NZDSEK,1984-08-27,4.1864,4.1864,4.1864,4.1864
NZDSEK,1984-09-01,4.1594,4.1594,4.1594,4.1594
NZDSEK,1984-09-10,4.1316,4.1316,4.1316,4.1316
NZDSEK,1984-09-17,4.1655,4.1655,4.1655,4.1655
NZDSEK,1984-09-24,4.2464,4.2464,4.2464,4.2464
NZDSEK,1984-10-01,4.2345,4.2345,4.2345,4.2345
NZDSEK,1984-10-08,4.1798,4.1798,4.1798,4.1798
NZDSEK,1984-10-15,4.1931,4.1931,4.1931,4.1931
NZDSEK,1984-10-22,4.2639,4.2639,4.2639,4.2639
NZDSEK,1984-10-29,4.2236,4.2236,4.2236,4.2236
NZDSEK,1984-11-05,4.3064,4.3064,4.3064,4.3064
NZDSEK,1984-11-12,4.1826,4.1826,4.1826,4.1826
NZDSEK,1984-11-19,4.1746,4.1746,4.1746,4.1746
