ticker,date,open,high,low,close
NZDZAR,1984-01-09,0.8252,0.8252,0.8252,0.8252
NZDZAR,1984-01-16,0.8108,0.8108,0.8108,0.8108
NZDZAR,1984-01-23,0.8106,0.8106,0.8106,0.8106
NZDZAR,1984-01-30,0.8254,0.8254,0.8254,0.8254
NZDZAR,1984-02-06,0.8151,0.8151,0.8151,0.8151
NZDZAR,1984-02-13,0.8151,0.8151,0.8151,0.8151
NZDZAR,1984-02-20,0.8145,0.8145,0.8145,0.8145
NZDZAR,1984-03-01,0.8007,0.8007,0.8007,0.8007
NZDZAR,1984-03-05,0.7899,0.7899,0.7899,0.7899
NZDZAR,1984-03-12,0.8083,0.8083,0.8083,0.8083
NZDZAR,1984-03-19,0.8257,0.8257,0.8257,0.8257
NZDZAR,1984-03-26,0.8222,0.8222,0.8222,0.8222
NZDZAR,1984-04-02,0.8255,0.8255,0.8255,0.8255
NZDZAR,1984-04-09,0.8234,0.8234,0.8234,0.8234
NZDZAR,1984-04-16,0.8194,0.8194,0.8194,0.8194
NZDZAR,1984-04-24,0.8223,0.8223,0.8223,0.8223
NZDZAR,1984-05-02,0.824,0.824,0.824,0.824
NZDZAR,1984-05-07,0.8214,0.8214,0.8214,0.8214
NZDZAR,1984-05-14,0.8378,0.8378,0.8378,0.8378
NZDZAR,1984-05-21,0.8281,0.8281,0.8281,0.8281
NZDZAR,1984-05-28,0.8281,0.8281,0.8281,0.8281
NZDZAR,1984-06-04,0.8253,0.8253,0.8253,0.8253
NZDZAR,1984-06-11,0.8357,0.8357,0.8357,0.8357
NZDZAR,1984-06-18,0.8406,0.8406,0.8406,0.8406
NZDZAR,1984-06-25,0.8507,0.8507,0.8507,0.8507
NZDZAR,1984-07-02,0.8645,0.8645,0.8645,0.8645
NZDZAR,1984-07-09,0.9192,0.9192,0.9192,0.9192
NZDZAR,1984-07-16,0.9096,0.9096,0.9096,0.9096
NZDZAR,1984-07-23,0.7602,0.7602,0.7602,0.7602
NZDZAR,1984-07-30,0.8055,0.8055,0.8055,0.8055
NZDZAR,1984-08-06,0.7812,0.7812,0.7812,0.7812
NZDZAR,1984-08-13,0.7972,0.7972,0.7972,0.7972
NZDZAR,1984-08-20,0.7732,0.7732,0.7732,0.7732
NZDZAR,1984-08-27,0.7807,0.7807,0.7807,0.7807
NZDZAR,1984-09-01,0.7807,0.7807,0.7807,0.7807
NZDZAR,1984-09-10,0.8142,0.8142,0.8142,0.8142
NZDZAR,1984-09-17,0.8197,0.8197,0.8197,0.8197
NZDZAR,1984-09-24,0.814,0.814,0.814,0.814
NZDZAR,1984-10-01,0.8187,0.8187,0.8187,0.8187
NZDZAR,1984-10-08,0.8186,0.8186,0.8186,0.8186
NZDZAR,1984-10-15,0.8588,0.8588,0.8588,0.8588
NZDZAR,1984-10-22,0.8685,0.8685,0.8685,0.8685
NZDZAR,1984-10-29,0.943,0.943,0.943,0.943
NZDZAR,1984-11-05,0.894,0.894,0.894,0.894
NZDZAR,1984-11-12,0.8937,0.8937,0.8937,0.8937
NZDZAR,1984-11-19,0.8882,0.8882,0.8882,0.8882
NZDZAR,1984-11-26,0.8878,0.8878,0.8878,0.8878
NZDZAR,1984-12-01,0.8886,0.8886,0.8886,0.8886
NZDZAR,1984-12-10,0.8855,0.8855,0.8855,0.8855
NZDZAR,1984-12-17,0.9227,0.9227,0.9227,0.9227
NZDZAR,1984-12-24,0.9409,0.9409,0.9409,0.9409
NZDZAR,1985-01-01,0.9403,0.9403,0.9403,0.9403
NZDZAR,1985-01-07,0.9864,0.9864,0.9864,0.9864
NZDZAR,1985-01-14,1.0572,1.0572,1.0572,1.0572
NZDZAR,1985-01-21,1.0584,1.0584,1.0584,1.0584
NZDZAR,1985-01-28,1.0,1.0,1.0,1.0
NZDZAR,1985-02-04,0.9416,0.9416,0.9416,0.9416
NZDZAR,1985-02-11,0.8598,0.8598,0.8598,0.8598
NZDZAR,1985-02-18,0.8608,0.8608,0.8608,0.8608
NZDZAR,1985-02-25,0.9539,0.9539,0.9539,0.9539
NZDZAR,1985-03-04,0.8985,0.8985,0.8985,0.8985
NZDZAR,1985-03-11,0.9495,0.9495,0.9495,0.9495
NZDZAR,1985-03-18,0.8936,0.8936,0.8936,0.8936
NZDZAR,1985-03-25,0.9075,0.9075,0.9075,0.9075
NZDZAR,1985-03-29,0.8753,0.8753,0.8753,0.8753
NZDZAR,1985-04-01,0.8945,0.8945,0.8945,0.8945
NZDZAR,1985-04-09,0.8916,0.8916,0.8916,0.8916
NZDZAR,1985-04-15,0.8618,0.8618,0.8618,0.8618
NZDZAR,1985-04-22,0.8682,0.8682,0.8682,0.8682
NZDZAR,1985-04-29,0.8879,0.8879,0.8879,0.8879
NZDZAR,1985-05-06,0.924,0.924,0.924,0.924
NZDZAR,1985-05-13,0.8925,0.8925,0.8925,0.8925
NZDZAR,1985-05-20,0.8965,0.8965,0.8965,0.8965
NZDZAR,1985-05-27,0.8965,0.8965,0.8965,0.8965
NZDZAR,1985-06-01,0.8965,0.8965,0.8965,0.8965
NZDZAR,1985-06-10,0.8985,0.8985,0.8985,0.8985
NZDZAR,1985-06-17,0.9054,0.9054,0.9054,0.9054
NZDZAR,1985-06-24,0.9263,0.9263,0.9263,0.9263
NZDZAR,1985-07-01,0.9637,0.9637,0.9637,0.9637
NZDZAR,1985-07-08,0.9269,0.9269,0.9269,0.9269
NZDZAR,1985-07-15,0.9415,0.9415,0.9415,0.9415
NZDZAR,1985-07-23,0.9732,0.9732,0.9732,0.9732
NZDZAR,1985-07-29,1.0663,1.0663,1.0663,1.0663
NZDZAR,1985-08-05,1.1758,1.1758,1.1758,1.1758
NZDZAR,1985-08-12,1.1375,1.1375,1.1375,1.1375
NZDZAR,1985-08-19,1.269,1.269,1.269,1.269
NZDZAR,1985-08-26,1.3538,1.3538,1.3538,1.3538
NZDZAR,1985-09-02,1.3538,1.3538,1.3538,1.3538
NZDZAR,1985-09-09,1.3858,1.3858,1.3858,1.3858
NZDZAR,1985-09-16,1.2717,1.2717,1.2717,1.2717
NZDZAR,1985-09-23,1.3707,1.3707,1.3707,1.3707
NZDZAR,1985-09-30,1.4007,1.4007,1.4007,1.4007
NZDZAR,1985-10-07,1.4887,1.4887,1.4887,1.4887
NZDZAR,1985-10-14,1.4877,1.4877,1.4877,1.4877
NZDZAR,1985-10-21,1.5112,1.5112,1.5112,1.5112
NZDZAR,1985-10-28,1.4644,1.4644,1.4644,1.4644
NZDZAR,1985-11-04,1.5017,1.5017,1.5017,1.5017
NZDZAR,1985-11-11,1.5017,1.5017,1.5017,1.5017
NZDZAR,1985-11-18,1.4937,1.4937,1.4937,1.4937
NZDZAR,1985-11-25,1.5338,1.5338,1.5338,1.5338
NZDZAR,1985-12-02,1.6106,1.6106,1.6106,1.6106
NZDZAR,1985-12-09,1.5063,1.5063,1.5063,1.5063
NZDZAR,1985-12-16,1.2701,1.2701,1.2701,1.2701
NZDZAR,1985-12-23,1.3406,1.3406,1.3406,1.3406
NZDZAR,1986-01-01,1.3406,1.3406,1.3406,1.3406
NZDZAR,1986-01-06,1.3299,1.3299,1.3299,1.3299
NZDZAR,1986-01-13,1.1958,1.1958,1.1958,1.1958
NZDZAR,1986-01-20,1.1958,1.1958,1.1958,1.1958
NZDZAR,1986-01-27,1.1869,1.1869,1.1869,1.1869
NZDZAR,1986-02-01,1.1879,1.1879,1.1879,1.1879
NZDZAR,1986-02-10,1.1884,1.1884,1.1884,1.1884
NZDZAR,1986-02-17,1.1868,1.1868,1.1868,1.1868
NZDZAR,1986-02-24,1.0485,1.0485,1.0485,1.0485
NZDZAR,1986-03-01,1.0481,1.0481,1.0481,1.0481
NZDZAR,1986-03-03,1.0359,1.0359,1.0359,1.0359
NZDZAR,1986-03-10,1.0374,1.0374,1.0374,1.0374
NZDZAR,1986-03-17,1.0648,1.0648,1.0648,1.0648
NZDZAR,1986-03-18,1.0588,1.0588,1.0588,1.0588
NZDZAR,1986-03-24,1.1146,1.1146,1.1146,1.1146
NZDZAR,1986-04-01,1.1588,1.1588,1.1588,1.1588
NZDZAR,1986-04-07,1.1559,1.1559,1.1559,1.1559
NZDZAR,1986-04-09,1.1241,1.1241,1.1241,1.1241
NZDZAR,1986-04-14,1.124,1.124,1.124,1.124
NZDZAR,1986-04-21,1.1464,1.1464,1.1464,1.1464
NZDZAR,1986-04-28,1.1973,1.1973,1.1973,1.1973
NZDZAR,1986-05-05,1.1965,1.1965,1.1965,1.1965
NZDZAR,1986-05-12,1.243,1.243,1.243,1.243
NZDZAR,1986-05-19,1.2425,1.2425,1.2425,1.2425
NZDZAR,1986-05-26,1.2426,1.2426,1.2426,1.2426
NZDZAR,1986-06-02,1.3517,1.3517,1.3517,1.3517
NZDZAR,1986-06-09,1.4509,1.4509,1.4509,1.4509
