ticker,date,open,high,low,close
PLNAUD,1984-01-02,113.59,113.59,113.59,113.59
PLNAUD,1984-01-09,113.01,113.01,113.01,113.01
PLNAUD,1984-01-16,110.87,110.87,110.87,110.87
PLNAUD,1984-01-23,112.26,112.26,112.26,112.26
PLNAUD,1984-01-30,111.35,111.35,111.35,111.35
PLNAUD,1984-02-06,110.04,110.04,110.04,110.04
PLNAUD,1984-02-13,110.14,110.14,110.14,110.14
PLNAUD,1984-02-20,108.87,108.87,108.87,108.87
PLNAUD,1984-03-01,96.507,96.507,96.507,96.507
PLNAUD,1984-03-05,97.238,97.238,97.238,97.238
PLNAUD,1984-03-12,96.562,96.562,96.562,96.562
PLNAUD,1984-03-19,95.575,95.575,95.575,95.575
PLNAUD,1984-03-26,95.438,95.438,95.438,95.438
PLNAUD,1984-04-02,96.927,96.927,96.927,96.927
PLNAUD,1984-04-09,97.238,97.238,97.238,97.238
PLNAUD,1984-04-16,99.6,99.6,99.6,99.6
PLNAUD,1984-04-24,98.961,98.961,98.961,98.961
PLNAUD,1984-05-02,98.697,98.697,98.697,98.697
PLNAUD,1984-05-07,97.343,97.343,97.343,97.343
PLNAUD,1984-05-14,98.068,98.068,98.068,98.068
PLNAUD,1984-05-21,100.05,100.05,100.05,100.05
PLNAUD,1984-05-28,99.83,99.83,99.83,99.83
PLNAUD,1984-06-04,100.36,100.36,100.36,100.36
PLNAUD,1984-06-11,100.9,100.9,100.9,100.9
PLNAUD,1984-06-18,100.88,100.88,100.88,100.88
PLNAUD,1984-06-25,101.67,101.67,101.67,101.67
PLNAUD,1984-07-02,103.48,103.48,103.48,103.48
PLNAUD,1984-07-09,104.03,104.03,104.03,104.03
PLNAUD,1984-07-16,107.11,107.11,107.11,107.11
PLNAUD,1984-07-23,106.47,106.47,106.47,106.47
PLNAUD,1984-07-30,107.55,107.55,107.55,107.55
PLNAUD,1984-08-06,106.39,106.39,106.39,106.39
PLNAUD,1984-08-13,105.08,105.08,105.08,105.08
PLNAUD,1984-08-20,105.06,105.06,105.06,105.06
PLNAUD,1984-08-27,103.53,103.53,103.53,103.53
PLNAUD,1984-09-01,95.03,95.03,95.03,95.03
PLNAUD,1984-09-10,96.191,96.191,96.191,96.191
PLNAUD,1984-09-17,96.246,96.246,96.246,96.246
PLNAUD,1984-09-24,95.703,95.703,95.703,95.703
PLNAUD,1984-10-01,95.951,95.951,95.951,95.951
PLNAUD,1984-10-08,95.841,95.841,95.841,95.841
PLNAUD,1984-10-15,95.393,95.393,95.393,95.393
PLNAUD,1984-10-22,95.075,95.075,95.075,95.075
PLNAUD,1984-10-29,95.03,95.03,95.03,95.03
PLNAUD,1984-11-05,94.038,94.038,94.038,94.038
PLNAUD,1984-11-12,93.624,93.624,93.624,93.624
PLNAUD,1984-11-19,93.519,93.519,93.519,93.519
PLNAUD,1984-11-26,93.449,93.449,93.449,93.449
PLNAUD,1984-12-01,93.24,93.24,93.24,93.24
PLNAUD,1984-12-10,92.713,92.713,92.713,92.713
PLNAUD,1984-12-17,93.976,93.976,93.976,93.976
PLNAUD,1984-12-24,94.868,94.868,94.868,94.868
PLNAUD,1985-01-01,86.783,86.783,86.783,86.783
PLNAUD,1985-01-07,87.982,87.982,87.982,87.982
PLNAUD,1985-01-14,88.605,88.605,88.605,88.605
PLNAUD,1985-01-21,88.02,88.02,88.02,88.02
PLNAUD,1985-01-28,88.355,88.355,88.355,88.355
PLNAUD,1985-02-04,88.082,88.082,88.082,88.082
PLNAUD,1985-02-11,91.6,91.6,91.6,91.6
PLNAUD,1985-02-18,94.429,94.429,94.429,94.429
PLNAUD,1985-02-25,100.7,100.7,100.7,100.7
PLNAUD,1985-03-04,98.29,98.29,98.29,98.29
PLNAUD,1985-03-11,103.34,103.34,103.34,103.34
PLNAUD,1985-03-18,101.41,101.41,101.41,101.41
PLNAUD,1985-03-25,102.6,102.6,102.6,102.6
PLNAUD,1985-03-29,104.34,104.34,104.34,104.34
PLNAUD,1985-04-01,102.45,102.45,102.45,102.45
PLNAUD,1985-04-09,110.73,110.73,110.73,110.73
PLNAUD,1985-04-15,109.04,109.04,109.04,109.04
PLNAUD,1985-04-22,110.16,110.16,110.16,110.16
PLNAUD,1985-04-29,112.99,112.99,112.99,112.99
PLNAUD,1985-05-06,111.93,111.93,111.93,111.93
PLNAUD,1985-05-13,108.07,108.07,108.07,108.07
PLNAUD,1985-05-20,105.62,105.62,105.62,105.62
PLNAUD,1985-05-27,105.55,105.55,105.55,105.55
PLNAUD,1985-06-01,92.217,92.217,92.217,92.217
PLNAUD,1985-06-10,95.374,95.374,95.374,95.374
PLNAUD,1985-06-17,94.715,94.715,94.715,94.715
PLNAUD,1985-06-24,95.166,95.166,95.166,95.166
PLNAUD,1985-07-01,94.895,94.895,94.895,94.895
PLNAUD,1985-07-08,94.994,94.994,94.994,94.994
PLNAUD,1985-07-15,93.914,93.914,93.914,93.914
PLNAUD,1985-07-23,90.959,90.959,90.959,90.959
PLNAUD,1985-07-29,90.408,90.408,90.408,90.408
PLNAUD,1985-08-05,90.432,90.432,90.432,90.432
PLNAUD,1985-08-12,90.728,90.728,90.728,90.728
PLNAUD,1985-08-19,91.684,91.684,91.684,91.684
PLNAUD,1985-08-26,92.507,92.507,92.507,92.507
PLNAUD,1985-09-02,93.205,93.205,93.205,93.205
PLNAUD,1985-09-09,94.197,94.197,94.197,94.197
PLNAUD,1985-09-16,95.247,95.247,95.247,95.247
PLNAUD,1985-09-23,94.393,94.393,94.393,94.393
PLNAUD,1985-09-30,93.223,93.223,93.223,93.223
PLNAUD,1985-10-07,93.897,93.897,93.897,93.897
PLNAUD,1985-10-14,94.411,94.411,94.411,94.411
PLNAUD,1985-10-21,94.652,94.652,94.652,94.652
PLNAUD,1985-10-28,94.823,94.823,94.823,94.823
PLNAUD,1985-11-04,94.949,94.949,94.949,94.949
PLNAUD,1985-11-11,100.03,100.03,100.03,100.03
PLNAUD,1985-11-18,101.83,101.83,101.83,101.83
PLNAUD,1985-11-25,99.02,99.02,99.02,99.02
PLNAUD,1985-12-02,97.437,97.437,97.437,97.437
PLNAUD,1985-12-09,100.03,100.03,100.03,100.03
