ticker,date,open,high,low,close
PLNCAD,1984-01-02,126.79,126.79,126.79,126.79
PLNCAD,1984-01-09,126.65,126.65,126.65,126.65
PLNCAD,1984-01-16,126.14,126.14,126.14,126.14
PLNCAD,1984-01-23,126.3,126.3,126.3,126.3
PLNCAD,1984-01-30,125.77,125.77,125.77,125.77
PLNCAD,1984-02-06,126.12,126.12,126.12,126.12
PLNCAD,1984-02-13,126.44,126.44,126.44,126.44
PLNCAD,1984-02-20,126.94,126.94,126.94,126.94
PLNCAD,1984-03-01,113.4,113.4,113.4,113.4
PLNCAD,1984-03-05,114.86,114.86,114.86,114.86
PLNCAD,1984-03-12,115.7,115.7,115.7,115.7
PLNCAD,1984-03-19,116.85,116.85,116.85,116.85
PLNCAD,1984-03-26,116.62,116.62,116.62,116.62
PLNCAD,1984-04-02,117.51,117.51,117.51,117.51
PLNCAD,1984-04-09,116.81,116.81,116.81,116.81
PLNCAD,1984-04-16,116.88,116.88,116.88,116.88
PLNCAD,1984-04-24,116.71,116.71,116.71,116.71
PLNCAD,1984-05-02,116.06,116.06,116.06,116.06
PLNCAD,1984-05-07,116.73,116.73,116.73,116.73
PLNCAD,1984-05-14,116.27,116.27,116.27,116.27
PLNCAD,1984-05-21,116.41,116.41,116.41,116.41
PLNCAD,1984-05-28,116.52,116.52,116.52,116.52
PLNCAD,1984-06-04,116.71,116.71,116.71,116.71
PLNCAD,1984-06-11,117.83,117.83,117.83,117.83
PLNCAD,1984-06-18,117.54,117.54,117.54,117.54
PLNCAD,1984-06-25,116.95,116.95,116.95,116.95
PLNCAD,1984-07-02,117.74,117.74,117.74,117.74
PLNCAD,1984-07-09,117.59,117.59,117.59,117.59
PLNCAD,1984-07-16,118.15,118.15,118.15,118.15
PLNCAD,1984-07-23,118.09,118.09,118.09,118.09
PLNCAD,1984-07-30,116.86,116.86,116.86,116.86
PLNCAD,1984-08-06,115.93,115.93,115.93,115.93
PLNCAD,1984-08-13,115.51,115.51,115.51,115.51
PLNCAD,1984-08-20,115.13,115.13,115.13,115.13
PLNCAD,1984-08-27,115.12,115.12,115.12,115.12
PLNCAD,1984-09-01,105.49,105.49,105.49,105.49
PLNCAD,1984-09-10,104.77,104.77,104.77,104.77
PLNCAD,1984-09-17,105.49,105.49,105.49,105.49
PLNCAD,1984-09-24,104.54,104.54,104.54,104.54
PLNCAD,1984-10-01,104.78,104.78,104.78,104.78
PLNCAD,1984-10-08,104.9,104.9,104.9,104.9
PLNCAD,1984-10-15,104.87,104.87,104.87,104.87
PLNCAD,1984-10-22,104.52,104.52,104.52,104.52
PLNCAD,1984-10-29,104.72,104.72,104.72,104.72
PLNCAD,1984-11-05,104.86,104.86,104.86,104.86
PLNCAD,1984-11-12,105.66,105.66,105.66,105.66
PLNCAD,1984-11-19,106.17,106.17,106.17,106.17
PLNCAD,1984-11-26,105.59,105.59,105.59,105.59
PLNCAD,1984-12-01,105.06,105.06,105.06,105.06
PLNCAD,1984-12-10,104.87,104.87,104.87,104.87
PLNCAD,1984-12-17,104.66,104.66,104.66,104.66
PLNCAD,1984-12-24,104.58,104.58,104.58,104.58
PLNCAD,1985-01-01,95.293,95.293,95.293,95.293
PLNCAD,1985-01-07,95.274,95.274,95.274,95.274
PLNCAD,1985-01-14,95.211,95.211,95.211,95.211
PLNCAD,1985-01-21,94.949,94.949,94.949,94.949
PLNCAD,1985-01-28,95.039,95.039,95.039,95.039
PLNCAD,1985-02-04,95.338,95.338,95.338,95.338
PLNCAD,1985-02-11,95.338,95.338,95.338,95.338
PLNCAD,1985-02-18,95.084,95.084,95.084,95.084
PLNCAD,1985-02-25,95.012,95.012,95.012,95.012
PLNCAD,1985-03-04,97.8,97.8,97.8,97.8
PLNCAD,1985-03-11,98.59,98.59,98.59,98.59
PLNCAD,1985-03-18,98.28,98.28,98.28,98.28
PLNCAD,1985-03-25,98.087,98.087,98.087,98.087
PLNCAD,1985-03-29,99.108,99.108,99.108,99.108
PLNCAD,1985-04-01,99.079,99.079,99.079,99.079
PLNCAD,1985-04-09,99.74,99.74,99.74,99.74
PLNCAD,1985-04-15,99.61,99.61,99.61,99.61
PLNCAD,1985-04-22,100.78,100.78,100.78,100.78
PLNCAD,1985-04-29,99.72,99.72,99.72,99.72
PLNCAD,1985-05-06,99.77,99.77,99.77,99.77
PLNCAD,1985-05-13,99.82,99.82,99.82,99.82
PLNCAD,1985-05-20,100.77,100.77,100.77,100.77
PLNCAD,1985-05-27,100.51,100.51,100.51,100.51
PLNCAD,1985-06-01,86.513,86.513,86.513,86.513
PLNCAD,1985-06-10,86.791,86.791,86.791,86.791
PLNCAD,1985-06-17,86.333,86.333,86.333,86.333
PLNCAD,1985-06-24,86.64,86.64,86.64,86.64
PLNCAD,1985-07-01,86.103,86.103,86.103,86.103
PLNCAD,1985-07-08,85.955,85.955,85.955,85.955
PLNCAD,1985-07-15,86.475,86.475,86.475,86.475
PLNCAD,1985-07-23,87.146,87.146,87.146,87.146
PLNCAD,1985-07-29,87.298,87.298,87.298,87.298
PLNCAD,1985-08-05,87.812,87.812,87.812,87.812
PLNCAD,1985-08-12,87.889,87.889,87.889,87.889
PLNCAD,1985-08-19,88.708,88.708,88.708,88.708
PLNCAD,1985-08-26,88.778,88.778,88.778,88.778
PLNCAD,1985-09-02,88.826,88.826,88.826,88.826
PLNCAD,1985-09-09,89.016,89.016,89.016,89.016
PLNCAD,1985-09-16,87.819,87.819,87.819,87.819
PLNCAD,1985-09-23,88.849,88.849,88.849,88.849
PLNCAD,1985-09-30,89.928,89.928,89.928,89.928
PLNCAD,1985-10-07,90.984,90.984,90.984,90.984
PLNCAD,1985-10-14,90.827,90.827,90.827,90.827
PLNCAD,1985-10-21,90.868,90.868,90.868,90.868
PLNCAD,1985-10-28,90.794,90.794,90.794,90.794
PLNCAD,1985-11-04,90.984,90.984,90.984,90.984
PLNCAD,1985-11-11,91.777,91.777,91.777,91.777
PLNCAD,1985-11-18,91.87,91.87,91.87,91.87
PLNCAD,1985-11-25,92.039,92.039,92.039,92.039
PLNCAD,1985-12-02,92.618,92.618,92.618,92.618
PLNCAD,1985-12-09,94.1,94.1,94.1,94.1
PLNCAD,1985-12-16,94.349,94.349,94.349,94.349
PLNCAD,1985-12-23,94.411,94.411,94.411,94.411
PLNCAD,1986-01-01,94.42,94.42,94.42,94.42
PLNCAD,1986-01-06,95.148,95.148,95.148,95.148
PLNCAD,1986-01-13,95.914,95.914,95.914,95.914
PLNCAD,1986-01-20,94.985,94.985,94.985,94.985
PLNCAD,1986-01-27,95.302,95.302,95.302,95.302
PLNCAD,1986-02-01,83.057,83.057,83.057,83.057
PLNCAD,1986-02-10,84.926,84.926,84.926,84.926
PLNCAD,1986-02-17,82.583,82.583,82.583,82.583
PLNCAD,1986-02-24,82.836,82.836,82.836,82.836
PLNCAD,1986-03-01,83.717,83.717,83.717,83.717
PLNCAD,1986-03-03,83.717,83.717,83.717,83.717
PLNCAD,1986-03-10,86.791,86.791,86.791,86.791
PLNCAD,1986-03-17,83.907,83.907,83.907,83.907
PLNCAD,1986-03-18,83.907,83.907,83.907,83.907
PLNCAD,1986-03-24,83.942,83.942,83.942,83.942
PLNCAD,1986-04-01,83.928,83.928,83.928,83.928
PLNCAD,1986-04-07,82.981,82.981,82.981,82.981
PLNCAD,1986-04-09,82.981,82.981,82.981,82.981
PLNCAD,1986-04-14,82.122,82.122,82.122,82.122
PLNCAD,1986-04-21,83.361,83.361,83.361,83.361
PLNCAD,1986-04-28,84.388,84.388,84.388,84.388
PLNCAD,1986-05-05,84.331,84.331,84.331,84.331
PLNCAD,1986-05-12,83.682,83.682,83.682,83.682
PLNCAD,1986-05-19,84.324,84.324,84.324,84.324
PLNCAD,1986-05-26,83.577,83.577,83.577,83.577
PLNCAD,1986-06-02,82.488,82.488,82.488,82.488
PLNCAD,1986-06-09,83.598,83.598,83.598,83.598
PLNCAD,1986-06-16,84.267,84.267,84.267,84.267
PLNCAD,1986-06-23,84.168,84.168,84.168,84.168
PLNCAD,1986-06-30,83.914,83.914,83.914,83.914
PLNCAD,1986-07-07,84.225,84.225,84.225,84.225
PLNCAD,1986-07-14,84.267,84.267,84.267,84.267
PLNCAD,1986-07-21,83.872,83.872,83.872,83.872
PLNCAD,1986-07-28,84.904,84.904,84.904,84.904
