ticker,date,open,high,low,close
PLNCHF,1984-01-02,222.82,222.82,222.82,222.82
PLNCHF,1984-01-09,226.09,226.09,226.09,226.09
PLNCHF,1984-01-16,227.02,227.02,227.02,227.02
PLNCHF,1984-01-23,225.12,225.12,225.12,225.12
PLNCHF,1984-01-30,226.66,226.66,226.66,226.66
PLNCHF,1984-02-06,226.6,226.6,226.6,226.6
PLNCHF,1984-02-13,226.66,226.66,226.66,226.66
PLNCHF,1984-02-20,227.89,227.89,227.89,227.89
PLNCHF,1984-03-01,199.76,199.76,199.76,199.76
PLNCHF,1984-03-05,198.26,198.26,198.26,198.26
PLNCHF,1984-03-12,194.33,194.33,194.33,194.33
PLNCHF,1984-03-19,195.05,195.05,195.05,195.05
PLNCHF,1984-03-26,197.08,197.08,197.08,197.08
PLNCHF,1984-04-02,197.28,197.28,197.28,197.28
PLNCHF,1984-04-09,197.86,197.86,197.86,197.86
PLNCHF,1984-04-16,198.89,198.89,198.89,198.89
PLNCHF,1984-04-24,199.4,199.4,199.4,199.4
PLNCHF,1984-05-02,201.09,201.09,201.09,201.09
PLNCHF,1984-05-07,202.55,202.55,202.55,202.55
PLNCHF,1984-05-14,204.92,204.92,204.92,204.92
PLNCHF,1984-05-21,205.0,205.0,205.0,205.0
PLNCHF,1984-05-28,204.33,204.33,204.33,204.33
PLNCHF,1984-06-04,203.38,203.38,203.38,203.38
PLNCHF,1984-06-11,201.94,201.94,201.94,201.94
PLNCHF,1984-06-18,204.63,204.63,204.63,204.63
PLNCHF,1984-06-25,205.76,205.76,205.76,205.76
PLNCHF,1984-07-02,207.68,207.68,207.68,207.68
PLNCHF,1984-07-09,210.31,210.31,210.31,210.31
PLNCHF,1984-07-16,212.0,212.0,212.0,212.0
PLNCHF,1984-07-23,213.58,213.58,213.58,213.58
PLNCHF,1984-07-30,216.87,216.87,216.87,216.87
PLNCHF,1984-08-06,217.34,217.34,217.34,217.34
PLNCHF,1984-08-13,215.75,215.75,215.75,215.75
PLNCHF,1984-08-20,215.19,215.19,215.19,215.19
PLNCHF,1984-08-27,213.13,213.13,213.13,213.13
PLNCHF,1984-09-01,194.55,194.55,194.55,194.55
PLNCHF,1984-09-10,197.16,197.16,197.16,197.16
PLNCHF,1984-09-17,199.92,199.92,199.92,199.92
PLNCHF,1984-09-24,201.57,201.57,201.57,201.57
PLNCHF,1984-10-01,200.64,200.64,200.64,200.64
PLNCHF,1984-10-08,200.2,200.2,200.2,200.2
PLNCHF,1984-10-15,201.17,201.17,201.17,201.17
PLNCHF,1984-10-22,202.96,202.96,202.96,202.96
PLNCHF,1984-10-29,200.44,200.44,200.44,200.44
PLNCHF,1984-11-05,199.96,199.96,199.96,199.96
PLNCHF,1984-11-12,194.93,194.93,194.93,194.93
PLNCHF,1984-11-19,194.67,194.67,194.67,194.67
PLNCHF,1984-11-26,197.94,197.94,197.94,197.94
PLNCHF,1984-12-01,200.4,200.4,200.4,200.4
PLNCHF,1984-12-10,202.02,202.02,202.02,202.02
PLNCHF,1984-12-17,202.06,202.06,202.06,202.06
PLNCHF,1984-12-24,202.14,202.14,202.14,202.14
PLNCHF,1985-01-01,185.94,185.94,185.94,185.94
PLNCHF,1985-01-07,188.25,188.25,188.25,188.25
PLNCHF,1985-01-14,189.32,189.32,189.32,189.32
PLNCHF,1985-01-21,192.12,192.12,192.12,192.12
PLNCHF,1985-01-28,192.27,192.27,192.27,192.27
PLNCHF,1985-02-04,191.17,191.17,191.17,191.17
PLNCHF,1985-02-11,195.81,195.81,195.81,195.81
PLNCHF,1985-02-18,198.18,198.18,198.18,198.18
PLNCHF,1985-02-25,198.97,198.97,198.97,198.97
PLNCHF,1985-03-04,202.22,202.22,202.22,202.22
PLNCHF,1985-03-11,206.19,206.19,206.19,206.19
PLNCHF,1985-03-18,200.6,200.6,200.6,200.6
PLNCHF,1985-03-25,200.56,200.56,200.56,200.56
PLNCHF,1985-03-29,193.65,193.65,193.65,193.65
PLNCHF,1985-04-01,193.05,193.05,193.05,193.05
PLNCHF,1985-04-09,191.72,191.72,191.72,191.72
PLNCHF,1985-04-15,192.9,192.9,192.9,192.9
PLNCHF,1985-04-22,184.64,184.64,184.64,184.64
PLNCHF,1985-04-29,184.5,184.5,184.5,184.5
PLNCHF,1985-05-06,188.68,188.68,188.68,188.68
PLNCHF,1985-05-13,193.13,193.13,193.13,193.13
PLNCHF,1985-05-20,189.36,189.36,189.36,189.36
PLNCHF,1985-05-27,188.57,188.57,188.57,188.57
PLNCHF,1985-06-01,163.83,163.83,163.83,163.83
PLNCHF,1985-06-10,162.02,162.02,162.02,162.02
PLNCHF,1985-06-17,163.85,163.85,163.85,163.85
PLNCHF,1985-06-24,161.89,161.89,161.89,161.89
PLNCHF,1985-07-01,161.71,161.71,161.71,161.71
PLNCHF,1985-07-08,161.79,161.79,161.79,161.79
PLNCHF,1985-07-15,159.62,159.62,159.62,159.62
PLNCHF,1985-07-23,154.75,154.75,154.75,154.75
PLNCHF,1985-07-29,151.63,151.63,151.63,151.63
PLNCHF,1985-08-05,149.97,149.97,149.97,149.97
PLNCHF,1985-08-12,152.46,152.46,152.46,152.46
PLNCHF,1985-08-19,149.37,149.37,149.37,149.37
PLNCHF,1985-08-26,148.17,148.17,148.17,148.17
PLNCHF,1985-09-02,148.72,148.72,148.72,148.72
PLNCHF,1985-09-09,151.81,151.81,151.81,151.81
PLNCHF,1985-09-16,155.52,155.52,155.52,155.52
PLNCHF,1985-09-23,153.19,153.19,153.19,153.19
PLNCHF,1985-09-30,146.69,146.69,146.69,146.69
PLNCHF,1985-10-07,144.78,144.78,144.78,144.78
PLNCHF,1985-10-14,144.2,144.2,144.2,144.2
PLNCHF,1985-10-21,144.91,144.91,144.91,144.91
PLNCHF,1985-10-28,144.36,144.36,144.36,144.36
PLNCHF,1985-11-04,143.8,143.8,143.8,143.8
PLNCHF,1985-11-11,143.62,143.62,143.62,143.62
PLNCHF,1985-11-18,143.7,143.7,143.7,143.7
PLNCHF,1985-11-25,142.8,142.8,142.8,142.8
PLNCHF,1985-12-02,141.6,141.6,141.6,141.6
PLNCHF,1985-12-09,142.98,142.98,142.98,142.98
PLNCHF,1985-12-16,143.02,143.02,143.02,143.02
PLNCHF,1985-12-23,142.15,142.15,142.15,142.15
PLNCHF,1986-01-01,142.9,142.9,142.9,142.9
PLNCHF,1986-01-06,141.26,141.26,141.26,141.26
PLNCHF,1986-01-13,140.94,140.94,140.94,140.94
PLNCHF,1986-01-20,142.33,142.33,142.33,142.33
PLNCHF,1986-01-27,141.82,141.82,141.82,141.82
PLNCHF,1986-02-01,119.5,119.5,119.5,119.5
PLNCHF,1986-02-10,119.83,119.83,119.83,119.83
PLNCHF,1986-02-17,118.04,118.04,118.04,118.04
PLNCHF,1986-02-24,115.33,115.33,115.33,115.33
PLNCHF,1986-03-01,113.75,113.75,113.75,113.75
PLNCHF,1986-03-03,113.75,113.75,113.75,113.75
PLNCHF,1986-03-10,113.34,113.34,113.34,113.34
PLNCHF,1986-03-17,115.75,115.75,115.75,115.75
PLNCHF,1986-03-18,115.75,115.75,115.75,115.75
PLNCHF,1986-03-24,113.39,113.39,113.39,113.39
PLNCHF,1986-04-01,115.88,115.88,115.88,115.88
PLNCHF,1986-04-07,116.14,116.14,116.14,116.14
PLNCHF,1986-04-09,116.14,116.14,116.14,116.14
PLNCHF,1986-04-14,118.23,118.23,118.23,118.23
PLNCHF,1986-04-21,115.79,115.79,115.79,115.79
PLNCHF,1986-04-28,111.91,111.91,111.91,111.91
PLNCHF,1986-05-05,110.93,110.93,110.93,110.93
PLNCHF,1986-05-12,112.01,112.01,112.01,112.01
PLNCHF,1986-05-19,109.98,109.98,109.98,109.98
PLNCHF,1986-05-26,112.2,112.2,112.2,112.2
PLNCHF,1986-06-02,113.9,113.9,113.9,113.9
PLNCHF,1986-06-09,113.31,113.31,113.31,113.31
PLNCHF,1986-06-16,111.69,111.69,111.69,111.69
PLNCHF,1986-06-23,111.14,111.14,111.14,111.14
PLNCHF,1986-06-30,111.01,111.01,111.01,111.01
PLNCHF,1986-07-07,108.67,108.67,108.67,108.67
PLNCHF,1986-07-14,108.35,108.35,108.35,108.35
PLNCHF,1986-07-21,107.91,107.91,107.91,107.91
PLNCHF,1986-07-28,105.26,105.26,105.26,105.26
PLNCHF,1986-08-04,104.88,104.88,104.88,104.88
PLNCHF,1986-08-11,104.17,104.17,104.17,104.17
PLNCHF,1986-08-18,103.58,103.58,103.58,103.58
PLNCHF,1986-08-25,103.98,103.98,103.98,103.98
PLNCHF,1986-09-01,82.372,82.372,82.372,82.372
PLNCHF,1986-09-08,81.954,81.954,81.954,81.954
PLNCHF,1986-09-15,84.111,84.111,84.111,84.111
PLNCHF,1986-09-22,82.864,82.864,82.864,82.864
PLNCHF,1986-09-29,82.413,82.413,82.413,82.413
PLNCHF,1986-10-06,82.163,82.163,82.163,82.163
PLNCHF,1986-10-13,82.237,82.237,82.237,82.237
PLNCHF,1986-10-20,81.546,81.546,81.546,81.546
PLNCHF,1986-10-27,82.311,82.311,82.311,82.311
PLNCHF,1986-11-01,83.914,83.914,83.914,83.914
PLNCHF,1986-11-10,85.558,85.558,85.558,85.558
PLNCHF,1986-11-17,84.395,84.395,84.395,84.395
PLNCHF,1986-11-24,84.282,84.282,84.282,84.282
PLNCHF,1986-12-01,84.303,84.303,84.303,84.303
PLNCHF,1986-12-08,82.782,82.782,82.782,82.782
PLNCHF,1986-12-15,84.303,84.303,84.303,84.303
PLNCHF,1986-12-22,85.514,85.514,85.514,85.514
PLNCHF,1986-12-31,82.734,82.734,82.734,82.734
PLNCHF,1987-01-12,82.318,82.318,82.318,82.318
PLNCHF,1987-01-19,81.031,81.031,81.031,81.031
PLNCHF,1987-01-26,79.853,79.853,79.853,79.853
