ticker,date,open,high,low,close
PLNSEK,1984-01-02,821.02,821.02,821.02,821.02
PLNSEK,1984-01-09,825.08,825.08,825.08,825.08
PLNSEK,1984-01-16,827.13,827.13,827.13,827.13
PLNSEK,1984-01-23,824.4,824.4,824.4,824.4
PLNSEK,1984-01-30,824.4,824.4,824.4,824.4
PLNSEK,1984-02-06,825.08,825.08,825.08,825.08
PLNSEK,1984-02-13,825.76,825.76,825.76,825.76
PLNSEK,1984-02-20,825.08,825.08,825.08,825.08
PLNSEK,1984-03-01,722.54,722.54,722.54,722.54
PLNSEK,1984-03-05,713.78,713.78,713.78,713.78
PLNSEK,1984-03-12,708.72,708.72,708.72,708.72
PLNSEK,1984-03-19,705.22,705.22,705.22,705.22
PLNSEK,1984-03-26,711.74,711.74,711.74,711.74
PLNSEK,1984-04-02,705.72,705.72,705.72,705.72
PLNSEK,1984-04-09,709.72,709.72,709.72,709.72
PLNSEK,1984-04-16,713.27,713.27,713.27,713.27
PLNSEK,1984-04-24,713.78,713.78,713.78,713.78
PLNSEK,1984-05-02,718.91,718.91,718.91,718.91
PLNSEK,1984-05-07,723.59,723.59,723.59,723.59
PLNSEK,1984-05-14,728.86,728.86,728.86,728.86
PLNSEK,1984-05-21,729.93,729.93,729.93,729.93
PLNSEK,1984-05-28,727.27,727.27,727.27,727.27
PLNSEK,1984-06-04,727.8,727.8,727.8,727.8
PLNSEK,1984-06-11,723.59,723.59,723.59,723.59
PLNSEK,1984-06-18,728.33,728.33,728.33,728.33
PLNSEK,1984-06-25,730.46,730.46,730.46,730.46
PLNSEK,1984-07-02,734.75,734.75,734.75,734.75
PLNSEK,1984-07-09,734.21,734.21,734.21,734.21
PLNSEK,1984-07-16,735.29,735.29,735.29,735.29
PLNSEK,1984-07-23,736.92,736.92,736.92,736.92
PLNSEK,1984-07-30,738.55,738.55,738.55,738.55
PLNSEK,1984-08-06,740.74,740.74,740.74,740.74
PLNSEK,1984-08-13,741.29,741.29,741.29,741.29
PLNSEK,1984-08-20,740.19,740.19,740.19,740.19
PLNSEK,1984-08-27,739.65,739.65,739.65,739.65
PLNSEK,1984-09-01,675.22,675.22,675.22,675.22
PLNSEK,1984-09-10,678.43,678.43,678.43,678.43
PLNSEK,1984-09-17,684.0,684.0,684.0,684.0
PLNSEK,1984-09-24,688.23,688.23,688.23,688.23
PLNSEK,1984-10-01,689.66,689.66,689.66,689.66
PLNSEK,1984-10-08,686.34,686.34,686.34,686.34
PLNSEK,1984-10-15,689.66,689.66,689.66,689.66
