ticker,date,open,high,low,close
PLNUSD,1984-01-02,101.89,101.89,101.89,101.89
PLNUSD,1984-01-09,101.47,101.47,101.47,101.47
PLNUSD,1984-01-16,100.66,100.66,100.66,100.66
PLNUSD,1984-01-23,101.42,101.42,101.42,101.42
PLNUSD,1984-01-30,100.83,100.83,100.83,100.83
PLNUSD,1984-02-06,100.99,100.99,100.99,100.99
PLNUSD,1984-02-13,101.5,101.5,101.5,101.5
PLNUSD,1984-02-20,101.75,101.75,101.75,101.75
PLNUSD,1984-03-01,90.909,90.909,90.909,90.909
PLNUSD,1984-03-05,91.743,91.743,91.743,91.743
PLNUSD,1984-03-12,92.268,92.268,92.268,92.268
PLNUSD,1984-03-19,92.285,92.285,92.285,92.285
PLNUSD,1984-03-26,91.424,91.424,91.424,91.424
PLNUSD,1984-04-02,91.836,91.836,91.836,91.836
PLNUSD,1984-04-09,91.458,91.458,91.458,91.458
PLNUSD,1984-04-16,91.333,91.333,91.333,91.333
PLNUSD,1984-04-24,91.216,91.216,91.216,91.216
PLNUSD,1984-05-02,90.711,90.711,90.711,90.711
PLNUSD,1984-05-07,90.188,90.188,90.188,90.188
PLNUSD,1984-05-14,89.734,89.734,89.734,89.734
PLNUSD,1984-05-21,89.944,89.944,89.944,89.944
PLNUSD,1984-05-28,90.066,90.066,90.066,90.066
PLNUSD,1984-06-04,90.123,90.123,90.123,90.123
PLNUSD,1984-06-11,90.86,90.86,90.86,90.86
PLNUSD,1984-06-18,90.31,90.31,90.31,90.31
PLNUSD,1984-06-25,89.92,89.92,89.92,89.92
PLNUSD,1984-07-02,89.63,89.63,89.63,89.63
PLNUSD,1984-07-09,89.254,89.254,89.254,89.254
PLNUSD,1984-07-16,88.96,88.96,88.96,88.96
PLNUSD,1984-07-23,88.857,88.857,88.857,88.857
PLNUSD,1984-07-30,88.464,88.464,88.464,88.464
PLNUSD,1984-08-06,88.254,88.254,88.254,88.254
PLNUSD,1984-08-13,88.238,88.238,88.238,88.238
PLNUSD,1984-08-20,88.308,88.308,88.308,88.308
PLNUSD,1984-08-27,88.417,88.417,88.417,88.417
PLNUSD,1984-09-01,81.301,81.301,81.301,81.301
PLNUSD,1984-09-10,80.854,80.854,80.854,80.854
PLNUSD,1984-09-17,80.128,80.128,80.128,80.128
PLNUSD,1984-09-24,79.334,79.334,79.334,79.334
PLNUSD,1984-10-01,79.593,79.593,79.593,79.593
PLNUSD,1984-10-08,79.745,79.745,79.745,79.745
PLNUSD,1984-10-15,79.479,79.479,79.479,79.479
PLNUSD,1984-10-22,78.864,78.864,78.864,78.864
PLNUSD,1984-10-29,79.491,79.491,79.491,79.491
PLNUSD,1984-11-05,79.561,79.561,79.561,79.561
PLNUSD,1984-11-12,80.749,80.749,80.749,80.749
PLNUSD,1984-11-19,80.802,80.802,80.802,80.802
PLNUSD,1984-11-26,80.231,80.231,80.231,80.231
PLNUSD,1984-12-01,79.624,79.624,79.624,79.624
PLNUSD,1984-12-10,79.227,79.227,79.227,79.227
PLNUSD,1984-12-17,79.315,79.315,79.315,79.315
PLNUSD,1984-12-24,79.214,79.214,79.214,79.214
PLNUSD,1985-01-01,72.464,72.464,72.464,72.464
PLNUSD,1985-01-07,72.015,72.015,72.015,72.015
PLNUSD,1985-01-14,72.213,72.213,72.213,72.213
PLNUSD,1985-01-21,71.71,71.71,71.71,71.71
PLNUSD,1985-01-28,71.772,71.772,71.772,71.772
PLNUSD,1985-02-04,71.917,71.917,71.917,71.917
PLNUSD,1985-02-11,71.495,71.495,71.495,71.495
PLNUSD,1985-02-18,71.058,71.058,71.058,71.058
PLNUSD,1985-02-25,70.837,70.837,70.837,70.837
PLNUSD,1985-03-04,70.716,70.716,70.716,70.716
PLNUSD,1985-03-11,70.171,70.171,70.171,70.171
PLNUSD,1985-03-18,70.887,70.887,70.887,70.887
PLNUSD,1985-03-25,71.179,71.179,71.179,71.179
PLNUSD,1985-03-29,72.39,72.39,72.39,72.39
PLNUSD,1985-04-01,72.532,72.532,72.532,72.532
PLNUSD,1985-04-09,72.86,72.86,72.86,72.86
PLNUSD,1985-04-15,72.569,72.569,72.569,72.569
PLNUSD,1985-04-22,73.638,73.638,73.638,73.638
PLNUSD,1985-04-29,73.562,73.562,73.562,73.562
PLNUSD,1985-05-06,73.089,73.089,73.089,73.089
PLNUSD,1985-05-13,72.192,72.192,72.192,72.192
PLNUSD,1985-05-20,73.298,73.298,73.298,73.298
PLNUSD,1985-05-27,73.448,73.448,73.448,73.448
PLNUSD,1985-06-01,62.893,62.893,62.893,62.893
PLNUSD,1985-06-10,63.327,63.327,63.327,63.327
PLNUSD,1985-06-17,62.909,62.909,62.909,62.909
PLNUSD,1985-06-24,63.263,63.263,63.263,63.263
PLNUSD,1985-07-01,63.199,63.199,63.199,63.199
PLNUSD,1985-07-08,63.263,63.263,63.263,63.263
