ticker,date,open,high,low,close
PLNZAR,1984-01-09,128.54,128.54,128.54,128.54
PLNZAR,1984-01-16,126.1,126.1,126.1,126.1
PLNZAR,1984-01-23,126.26,126.26,126.26,126.26
PLNZAR,1984-01-30,128.37,128.37,128.37,128.37
PLNZAR,1984-02-06,125.79,125.79,125.79,125.79
PLNZAR,1984-02-13,125.79,125.79,125.79,125.79
PLNZAR,1984-02-20,127.07,127.07,127.07,127.07
PLNZAR,1984-03-01,109.53,109.53,109.53,109.53
PLNZAR,1984-03-05,109.41,109.41,109.41,109.41
PLNZAR,1984-03-12,112.11,112.11,112.11,112.11
PLNZAR,1984-03-19,114.68,114.68,114.68,114.68
PLNZAR,1984-03-26,113.25,113.25,113.25,113.25
PLNZAR,1984-04-02,114.03,114.03,114.03,114.03
PLNZAR,1984-04-09,114.68,114.68,114.68,114.68
PLNZAR,1984-04-16,114.29,114.29,114.29,114.29
PLNZAR,1984-04-24,113.9,113.9,113.9,113.9
PLNZAR,1984-05-02,114.29,114.29,114.29,114.29
PLNZAR,1984-05-07,113.77,113.77,113.77,113.77
PLNZAR,1984-05-14,116.69,116.69,116.69,116.69
PLNZAR,1984-05-21,115.34,115.34,115.34,115.34
PLNZAR,1984-05-28,115.34,115.34,115.34,115.34
PLNZAR,1984-06-04,114.16,114.16,114.16,114.16
PLNZAR,1984-06-11,117.37,117.37,117.37,117.37
PLNZAR,1984-06-18,118.06,118.06,118.06,118.06
PLNZAR,1984-06-25,121.36,121.36,121.36,121.36
PLNZAR,1984-07-02,122.1,122.1,122.1,122.1
PLNZAR,1984-07-09,132.45,132.45,132.45,132.45
PLNZAR,1984-07-16,131.06,131.06,131.06,131.06
PLNZAR,1984-07-23,136.24,136.24,136.24,136.24
PLNZAR,1984-07-30,144.09,144.09,144.09,144.09
PLNZAR,1984-08-06,138.5,138.5,138.5,138.5
PLNZAR,1984-08-13,141.84,141.84,141.84,141.84
PLNZAR,1984-08-20,136.61,136.61,136.61,136.61
PLNZAR,1984-08-27,137.93,137.93,137.93,137.93
PLNZAR,1984-09-01,126.74,126.74,126.74,126.74
PLNZAR,1984-09-10,133.69,133.69,133.69,133.69
PLNZAR,1984-09-17,134.59,134.59,134.59,134.59
PLNZAR,1984-09-24,131.93,131.93,131.93,131.93
PLNZAR,1984-10-01,133.33,133.33,133.33,133.33
PLNZAR,1984-10-08,134.41,134.41,134.41,134.41
PLNZAR,1984-10-15,141.24,141.24,141.24,141.24
PLNZAR,1984-10-22,141.44,141.44,141.44,141.44
PLNZAR,1984-10-29,154.08,154.08,154.08,154.08
PLNZAR,1984-11-05,143.27,143.27,143.27,143.27
PLNZAR,1984-11-12,145.56,145.56,145.56,145.56
PLNZAR,1984-11-19,145.14,145.14,145.14,145.14
PLNZAR,1984-11-26,145.77,145.77,145.77,145.77
PLNZAR,1984-12-01,144.72,144.72,144.72,144.72
PLNZAR,1984-12-10,144.93,144.93,144.93,144.93
PLNZAR,1984-12-17,151.52,151.52,151.52,151.52
PLNZAR,1984-12-24,155.52,155.52,155.52,155.52
PLNZAR,1985-01-01,142.05,142.05,142.05,142.05
PLNZAR,1985-01-07,151.06,151.06,151.06,151.06
PLNZAR,1985-01-14,163.4,163.4,163.4,163.4
PLNZAR,1985-01-21,162.34,162.34,162.34,162.34
PLNZAR,1985-01-28,153.61,153.61,153.61,153.61
PLNZAR,1985-02-04,145.99,145.99,145.99,145.99
PLNZAR,1985-02-11,134.77,134.77,134.77,134.77
PLNZAR,1985-02-18,133.87,133.87,133.87,133.87
PLNZAR,1985-02-25,153.61,153.61,153.61,153.61
PLNZAR,1985-03-04,147.06,147.06,147.06,147.06
PLNZAR,1985-03-11,140.25,140.25,140.25,140.25
PLNZAR,1985-03-18,141.84,141.84,141.84,141.84
PLNZAR,1985-03-25,142.25,142.25,142.25,142.25
PLNZAR,1985-03-29,136.99,136.99,136.99,136.99
PLNZAR,1985-04-01,140.65,140.65,140.65,140.65
PLNZAR,1985-04-09,144.51,144.51,144.51,144.51
PLNZAR,1985-04-15,136.8,136.8,136.8,136.8
PLNZAR,1985-04-22,140.25,140.25,140.25,140.25
PLNZAR,1985-04-29,143.68,143.68,143.68,143.68
PLNZAR,1985-05-06,149.03,149.03,149.03,149.03
PLNZAR,1985-05-13,141.44,141.44,141.44,141.44
PLNZAR,1985-05-20,145.77,145.77,145.77,145.77
PLNZAR,1985-05-27,145.77,145.77,145.77,145.77
PLNZAR,1985-06-01,124.69,124.69,124.69,124.69
PLNZAR,1985-06-10,126.9,126.9,126.9,126.9
PLNZAR,1985-06-17,124.53,124.53,124.53,124.53
PLNZAR,1985-06-24,125.0,125.0,125.0,125.0
PLNZAR,1985-07-01,125.16,125.16,125.16,125.16
PLNZAR,1985-07-08,123.92,123.92,123.92,123.92
PLNZAR,1985-07-15,121.95,121.95,121.95,121.95
PLNZAR,1985-07-23,121.95,121.95,121.95,121.95
PLNZAR,1985-07-29,132.63,132.63,132.63,132.63
PLNZAR,1985-08-05,144.09,144.09,144.09,144.09
PLNZAR,1985-08-12,134.77,134.77,134.77,134.77
