ticker,date,open,high,low,close
SEKDKK,1984-01-02,1.2353,1.2353,1.2353,1.2353
SEKDKK,1984-01-09,1.2367,1.2367,1.2367,1.2367
SEKDKK,1984-01-16,1.249,1.249,1.249,1.249
SEKDKK,1984-01-23,1.2416,1.2416,1.2416,1.2416
SEKDKK,1984-01-30,1.2531,1.2531,1.2531,1.2531
SEKDKK,1984-02-06,1.2495,1.2495,1.2495,1.2495
SEKDKK,1984-02-13,1.2345,1.2345,1.2345,1.2345
SEKDKK,1984-02-20,1.2305,1.2305,1.2305,1.2305
SEKDKK,1984-03-01,1.2291,1.2291,1.2291,1.2291
SEKDKK,1984-03-05,1.2268,1.2268,1.2268,1.2268
SEKDKK,1984-03-12,1.2206,1.2206,1.2206,1.2206
SEKDKK,1984-03-19,1.2224,1.2224,1.2224,1.2224
SEKDKK,1984-03-26,1.2325,1.2325,1.2325,1.2325
SEKDKK,1984-04-02,1.2343,1.2343,1.2343,1.2343
SEKDKK,1984-04-09,1.2414,1.2414,1.2414,1.2414
SEKDKK,1984-04-16,1.2363,1.2363,1.2363,1.2363
SEKDKK,1984-04-24,1.2365,1.2365,1.2365,1.2365
SEKDKK,1984-05-02,1.2442,1.2442,1.2442,1.2442
SEKDKK,1984-05-07,1.2462,1.2462,1.2462,1.2462
SEKDKK,1984-05-14,1.2495,1.2495,1.2495,1.2495
SEKDKK,1984-05-21,1.2421,1.2421,1.2421,1.2421
SEKDKK,1984-05-28,1.2466,1.2466,1.2466,1.2466
SEKDKK,1984-06-04,1.2434,1.2434,1.2434,1.2434
SEKDKK,1984-06-11,1.2306,1.2306,1.2306,1.2306
SEKDKK,1984-06-18,1.2369,1.2369,1.2369,1.2369
SEKDKK,1984-06-25,1.2434,1.2434,1.2434,1.2434
SEKDKK,1984-07-02,1.2407,1.2407,1.2407,1.2407
SEKDKK,1984-07-09,1.2518,1.2518,1.2518,1.2518
SEKDKK,1984-07-16,1.2512,1.2512,1.2512,1.2512
SEKDKK,1984-07-23,1.2519,1.2519,1.2519,1.2519
SEKDKK,1984-07-30,1.2595,1.2595,1.2595,1.2595
SEKDKK,1984-08-06,1.2605,1.2605,1.2605,1.2605
SEKDKK,1984-08-13,1.2608,1.2608,1.2608,1.2608
SEKDKK,1984-08-20,1.2567,1.2567,1.2567,1.2567
SEKDKK,1984-08-27,1.2577,1.2577,1.2577,1.2577
SEKDKK,1984-09-01,1.2572,1.2572,1.2572,1.2572
SEKDKK,1984-09-10,1.2652,1.2652,1.2652,1.2652
SEKDKK,1984-09-17,1.2757,1.2757,1.2757,1.2757
SEKDKK,1984-09-24,1.2847,1.2847,1.2847,1.2847
SEKDKK,1984-10-01,1.2798,1.2798,1.2798,1.2798
SEKDKK,1984-10-08,1.2792,1.2792,1.2792,1.2792
SEKDKK,1984-10-15,1.2787,1.2787,1.2787,1.2787
SEKDKK,1984-10-22,1.2869,1.2869,1.2869,1.2869
SEKDKK,1984-10-29,1.2733,1.2733,1.2733,1.2733
SEKDKK,1984-11-05,1.2711,1.2711,1.2711,1.2711
SEKDKK,1984-11-12,1.2569,1.2569,1.2569,1.2569
SEKDKK,1984-11-19,1.2541,1.2541,1.2541,1.2541
SEKDKK,1984-11-26,1.26,1.26,1.26,1.26
SEKDKK,1984-12-01,1.2614,1.2614,1.2614,1.2614
SEKDKK,1984-12-10,1.2646,1.2646,1.2646,1.2646
SEKDKK,1984-12-17,1.2579,1.2579,1.2579,1.2579
SEKDKK,1984-12-24,1.2535,1.2535,1.2535,1.2535
SEKDKK,1985-01-01,1.2549,1.2549,1.2549,1.2549
SEKDKK,1985-01-07,1.2553,1.2553,1.2553,1.2553
SEKDKK,1985-01-14,1.246,1.246,1.246,1.246
SEKDKK,1985-01-21,1.248,1.248,1.248,1.248
SEKDKK,1985-01-28,1.2455,1.2455,1.2455,1.2455
SEKDKK,1985-02-04,1.2484,1.2484,1.2484,1.2484
SEKDKK,1985-02-11,1.2556,1.2556,1.2556,1.2556
SEKDKK,1985-02-18,1.2616,1.2616,1.2616,1.2616
SEKDKK,1985-02-25,1.2682,1.2682,1.2682,1.2682
SEKDKK,1985-03-04,1.2523,1.2523,1.2523,1.2523
SEKDKK,1985-03-11,1.2688,1.2688,1.2688,1.2688
SEKDKK,1985-03-18,1.2511,1.2511,1.2511,1.2511
SEKDKK,1985-03-25,1.2548,1.2548,1.2548,1.2548
SEKDKK,1985-03-29,1.243,1.243,1.243,1.243
SEKDKK,1985-04-01,1.2412,1.2412,1.2412,1.2412
SEKDKK,1985-04-09,1.2368,1.2368,1.2368,1.2368
SEKDKK,1985-04-15,1.2374,1.2374,1.2374,1.2374
SEKDKK,1985-04-22,1.2263,1.2263,1.2263,1.2263
SEKDKK,1985-04-29,1.2314,1.2314,1.2314,1.2314
SEKDKK,1985-05-06,1.2402,1.2402,1.2402,1.2402
SEKDKK,1985-05-13,1.2519,1.2519,1.2519,1.2519
SEKDKK,1985-05-20,1.2411,1.2411,1.2411,1.2411
SEKDKK,1985-05-27,1.2363,1.2363,1.2363,1.2363
SEKDKK,1985-06-01,1.2427,1.2427,1.2427,1.2427
SEKDKK,1985-06-10,1.2377,1.2377,1.2377,1.2377
SEKDKK,1985-06-17,1.2422,1.2422,1.2422,1.2422
SEKDKK,1985-06-24,1.2377,1.2377,1.2377,1.2377
SEKDKK,1985-07-01,1.2457,1.2457,1.2457,1.2457
SEKDKK,1985-07-08,1.2458,1.2458,1.2458,1.2458
SEKDKK,1985-07-15,1.2447,1.2447,1.2447,1.2447
SEKDKK,1985-07-23,1.2309,1.2309,1.2309,1.2309
SEKDKK,1985-07-29,1.2255,1.2255,1.2255,1.2255
SEKDKK,1985-08-05,1.2252,1.2252,1.2252,1.2252
SEKDKK,1985-08-12,1.2182,1.2182,1.2182,1.2182
SEKDKK,1985-08-19,1.2139,1.2139,1.2139,1.2139
SEKDKK,1985-08-26,1.2147,1.2147,1.2147,1.2147
SEKDKK,1985-09-02,1.2216,1.2216,1.2216,1.2216
SEKDKK,1985-09-09,1.2258,1.2258,1.2258,1.2258
SEKDKK,1985-09-16,1.2342,1.2342,1.2342,1.2342
SEKDKK,1985-09-23,1.2262,1.2262,1.2262,1.2262
SEKDKK,1985-09-30,1.2141,1.2141,1.2141,1.2141
SEKDKK,1985-10-07,1.2095,1.2095,1.2095,1.2095
SEKDKK,1985-10-14,1.2004,1.2004,1.2004,1.2004
SEKDKK,1985-10-21,1.2094,1.2094,1.2094,1.2094
SEKDKK,1985-10-28,1.205,1.205,1.205,1.205
SEKDKK,1985-11-04,1.208,1.208,1.208,1.208
SEKDKK,1985-11-11,1.2056,1.2056,1.2056,1.2056
SEKDKK,1985-11-18,1.2038,1.2038,1.2038,1.2038
SEKDKK,1985-11-25,1.2028,1.2028,1.2028,1.2028
SEKDKK,1985-12-02,1.2018,1.2018,1.2018,1.2018
SEKDKK,1985-12-09,1.1946,1.1946,1.1946,1.1946
SEKDKK,1985-12-16,1.1916,1.1916,1.1916,1.1916
SEKDKK,1985-12-23,1.186,1.186,1.186,1.186
SEKDKK,1986-01-01,1.1875,1.1875,1.1875,1.1875
SEKDKK,1986-01-06,1.1799,1.1799,1.1799,1.1799
SEKDKK,1986-01-13,1.1774,1.1774,1.1774,1.1774
SEKDKK,1986-01-20,1.1915,1.1915,1.1915,1.1915
SEKDKK,1986-01-27,1.1813,1.1813,1.1813,1.1813
SEKDKK,1986-02-01,1.1694,1.1694,1.1694,1.1694
SEKDKK,1986-02-10,1.1708,1.1708,1.1708,1.1708
SEKDKK,1986-02-17,1.1681,1.1681,1.1681,1.1681
SEKDKK,1986-02-24,1.1655,1.1655,1.1655,1.1655
SEKDKK,1986-03-01,1.1544,1.1544,1.1544,1.1544
SEKDKK,1986-03-03,1.1544,1.1544,1.1544,1.1544
SEKDKK,1986-03-10,1.1408,1.1408,1.1408,1.1408
SEKDKK,1986-03-17,1.1567,1.1567,1.1567,1.1567
SEKDKK,1986-03-18,1.1567,1.1567,1.1567,1.1567
SEKDKK,1986-03-24,1.1542,1.1542,1.1542,1.1542
SEKDKK,1986-04-01,1.1659,1.1659,1.1659,1.1659
SEKDKK,1986-04-07,1.1701,1.1701,1.1701,1.1701
SEKDKK,1986-04-09,1.1701,1.1701,1.1701,1.1701
SEKDKK,1986-04-14,1.1699,1.1699,1.1699,1.1699
SEKDKK,1986-04-21,1.1667,1.1667,1.1667,1.1667
SEKDKK,1986-04-28,1.1413,1.1413,1.1413,1.1413
SEKDKK,1986-05-05,1.1475,1.1475,1.1475,1.1475
SEKDKK,1986-05-12,1.1547,1.1547,1.1547,1.1547
SEKDKK,1986-05-19,1.1434,1.1434,1.1434,1.1434
SEKDKK,1986-05-26,1.1509,1.1509,1.1509,1.1509
SEKDKK,1986-06-02,1.1623,1.1623,1.1623,1.1623
SEKDKK,1986-06-09,1.157,1.157,1.157,1.157
SEKDKK,1986-06-16,1.1484,1.1484,1.1484,1.1484
SEKDKK,1986-06-23,1.1449,1.1449,1.1449,1.1449
SEKDKK,1986-06-30,1.1497,1.1497,1.1497,1.1497
SEKDKK,1986-07-07,1.144,1.144,1.144,1.144
SEKDKK,1986-07-14,1.1437,1.1437,1.1437,1.1437
SEKDKK,1986-07-21,1.1396,1.1396,1.1396,1.1396
SEKDKK,1986-07-28,1.1347,1.1347,1.1347,1.1347
SEKDKK,1986-08-04,1.1349,1.1349,1.1349,1.1349
SEKDKK,1986-08-11,1.1264,1.1264,1.1264,1.1264
SEKDKK,1986-08-18,1.1168,1.1168,1.1168,1.1168
SEKDKK,1986-08-25,1.1228,1.1228,1.1228,1.1228
SEKDKK,1986-09-01,1.1198,1.1198,1.1198,1.1198
SEKDKK,1986-09-08,1.1173,1.1173,1.1173,1.1173
SEKDKK,1986-09-15,1.1261,1.1261,1.1261,1.1261
SEKDKK,1986-09-22,1.1209,1.1209,1.1209,1.1209
SEKDKK,1986-09-29,1.1096,1.1096,1.1096,1.1096
SEKDKK,1986-10-06,1.1073,1.1073,1.1073,1.1073
SEKDKK,1986-10-13,1.0999,1.0999,1.0999,1.0999
SEKDKK,1986-10-20,1.094,1.094,1.094,1.094
SEKDKK,1986-10-27,1.0933,1.0933,1.0933,1.0933
SEKDKK,1986-11-01,1.0996,1.0996,1.0996,1.0996
SEKDKK,1986-11-10,1.1039,1.1039,1.1039,1.1039
SEKDKK,1986-11-17,1.1047,1.1047,1.1047,1.1047
SEKDKK,1986-11-24,1.0971,1.0971,1.0971,1.0971
SEKDKK,1986-12-01,1.0921,1.0921,1.0921,1.0921
SEKDKK,1986-12-08,1.0817,1.0817,1.0817,1.0817
SEKDKK,1986-12-15,1.0925,1.0925,1.0925,1.0925
SEKDKK,1986-12-22,1.0961,1.0961,1.0961,1.0961
SEKDKK,1986-12-31,1.0849,1.0849,1.0849,1.0849
SEKDKK,1987-01-12,1.0794,1.0794,1.0794,1.0794
SEKDKK,1987-01-19,1.0762,1.0762,1.0762,1.0762
SEKDKK,1987-01-26,1.0637,1.0637,1.0637,1.0637
SEKDKK,1987-02-01,1.0611,1.0611,1.0611,1.0611
SEKDKK,1987-02-09,1.0516,1.0516,1.0516,1.0516
SEKDKK,1987-02-16,1.0576,1.0576,1.0576,1.0576
SEKDKK,1987-02-23,1.0565,1.0565,1.0565,1.0565
SEKDKK,1987-03-02,1.0651,1.0651,1.0651,1.0651
SEKDKK,1987-03-09,1.0698,1.0698,1.0698,1.0698
SEKDKK,1987-03-16,1.0795,1.0795,1.0795,1.0795
SEKDKK,1987-03-23,1.0764,1.0764,1.0764,1.0764
SEKDKK,1987-03-30,1.0758,1.0758,1.0758,1.0758
SEKDKK,1987-04-06,1.0782,1.0782,1.0782,1.0782
SEKDKK,1987-04-13,1.0839,1.0839,1.0839,1.0839
SEKDKK,1987-04-21,1.0811,1.0811,1.0811,1.0811
SEKDKK,1987-04-27,1.082,1.082,1.082,1.082
SEKDKK,1987-05-04,1.0806,1.0806,1.0806,1.0806
SEKDKK,1987-05-11,1.0734,1.0734,1.0734,1.0734
SEKDKK,1987-05-18,1.0755,1.0755,1.0755,1.0755
SEKDKK,1987-05-25,1.0741,1.0741,1.0741,1.0741
SEKDKK,1987-06-01,1.0746,1.0746,1.0746,1.0746
SEKDKK,1987-06-08,1.0822,1.0822,1.0822,1.0822
SEKDKK,1987-06-15,1.0763,1.0763,1.0763,1.0763
SEKDKK,1987-06-22,1.0805,1.0805,1.0805,1.0805
SEKDKK,1987-06-29,1.0809,1.0809,1.0809,1.0809
SEKDKK,1987-07-06,1.0863,1.0863,1.0863,1.0863
SEKDKK,1987-07-13,1.088,1.088,1.088,1.088
SEKDKK,1987-07-20,1.0876,1.0876,1.0876,1.0876
SEKDKK,1987-07-27,1.0907,1.0907,1.0907,1.0907
SEKDKK,1987-08-03,1.0889,1.0889,1.0889,1.0889
SEKDKK,1987-08-10,1.0877,1.0877,1.0877,1.0877
SEKDKK,1987-08-17,1.0983,1.0983,1.0983,1.0983
SEKDKK,1987-08-24,1.104,1.104,1.104,1.104
SEKDKK,1987-08-31,1.0964,1.0964,1.0964,1.0964
SEKDKK,1987-09-07,1.094,1.094,1.094,1.094
SEKDKK,1987-09-14,1.0948,1.0948,1.0948,1.0948
SEKDKK,1987-09-21,1.0951,1.0951,1.0951,1.0951
SEKDKK,1987-09-28,1.0938,1.0938,1.0938,1.0938
SEKDKK,1987-10-05,1.0979,1.0979,1.0979,1.0979
SEKDKK,1987-10-12,1.0978,1.0978,1.0978,1.0978
SEKDKK,1987-10-19,1.0914,1.0914,1.0914,1.0914
SEKDKK,1987-10-26,1.0901,1.0901,1.0901,1.0901
SEKDKK,1987-11-02,1.0904,1.0904,1.0904,1.0904
SEKDKK,1987-11-09,1.0761,1.0761,1.0761,1.0761
SEKDKK,1987-11-16,1.0667,1.0667,1.0667,1.0667
SEKDKK,1987-11-23,1.0712,1.0712,1.0712,1.0712
SEKDKK,1987-11-30,1.0649,1.0649,1.0649,1.0649
SEKDKK,1987-12-07,1.0651,1.0651,1.0651,1.0651
