ticker,date,open,high,low,close
SEKEUR,1971-01-04,0.3617,0.3617,0.3617,0.3617
SEKEUR,1971-01-05,0.3621,0.3621,0.3621,0.3621
SEKEUR,1971-01-06,0.3618,0.3618,0.3618,0.3618
SEKEUR,1971-01-07,0.3617,0.3617,0.3617,0.3617
SEKEUR,1971-01-08,0.3621,0.3621,0.3621,0.3621
SEKEUR,1971-01-11,0.3618,0.3618,0.3618,0.3618
SEKEUR,1971-01-12,0.3614,0.3614,0.3614,0.3614
SEKEUR,1971-01-13,0.3616,0.3616,0.3616,0.3616
SEKEUR,1971-01-14,0.3618,0.3618,0.3618,0.3618
SEKEUR,1971-01-15,0.3609,0.3609,0.3609,0.3609
SEKEUR,1971-01-18,0.3611,0.3611,0.3611,0.3611
SEKEUR,1971-01-19,0.3609,0.3609,0.3609,0.3609
SEKEUR,1971-01-20,0.3611,0.3611,0.3611,0.3611
SEKEUR,1971-01-21,0.3605,0.3605,0.3605,0.3605
SEKEUR,1971-01-22,0.3608,0.3608,0.3608,0.3608
SEKEUR,1971-01-25,0.3603,0.3603,0.3603,0.3603
SEKEUR,1971-01-26,0.3604,0.3604,0.3604,0.3604
SEKEUR,1971-01-27,0.3606,0.3606,0.3606,0.3606
SEKEUR,1971-01-28,0.3604,0.3604,0.3604,0.3604
SEKEUR,1971-01-29,0.3601,0.3601,0.3601,0.3601
SEKEUR,1971-02-01,0.3596,0.3596,0.3596,0.3596
SEKEUR,1971-02-02,0.36,0.36,0.36,0.36
SEKEUR,1971-02-03,0.3599,0.3599,0.3599,0.3599
SEKEUR,1971-02-04,0.3601,0.3601,0.3601,0.3601
SEKEUR,1971-02-05,0.3594,0.3594,0.3594,0.3594
SEKEUR,1971-02-08,0.3593,0.3593,0.3593,0.3593
SEKEUR,1971-02-09,0.3592,0.3592,0.3592,0.3592
SEKEUR,1971-02-10,0.3592,0.3592,0.3592,0.3592
SEKEUR,1971-02-11,0.36,0.36,0.36,0.36
SEKEUR,1971-02-16,0.3599,0.3599,0.3599,0.3599
SEKEUR,1971-02-17,0.3597,0.3597,0.3597,0.3597
SEKEUR,1971-02-18,0.3602,0.3602,0.3602,0.3602
SEKEUR,1971-02-19,0.3598,0.3598,0.3598,0.3598
SEKEUR,1971-02-22,0.3606,0.3606,0.3606,0.3606
SEKEUR,1971-02-23,0.3609,0.3609,0.3609,0.3609
SEKEUR,1971-02-24,0.3609,0.3609,0.3609,0.3609
SEKEUR,1971-02-25,0.3605,0.3605,0.3605,0.3605
SEKEUR,1971-02-26,0.3609,0.3609,0.3609,0.3609
SEKEUR,1971-03-01,0.3611,0.3611,0.3611,0.3611
SEKEUR,1971-03-02,0.3605,0.3605,0.3605,0.3605
SEKEUR,1971-03-03,0.3609,0.3609,0.3609,0.3609
SEKEUR,1971-03-04,0.3607,0.3607,0.3607,0.3607
SEKEUR,1971-03-05,0.3606,0.3606,0.3606,0.3606
SEKEUR,1971-03-08,0.3604,0.3604,0.3604,0.3604
SEKEUR,1971-03-09,0.3607,0.3607,0.3607,0.3607
SEKEUR,1971-03-10,0.3609,0.3609,0.3609,0.3609
SEKEUR,1971-03-11,0.3605,0.3605,0.3605,0.3605
SEKEUR,1971-03-12,0.3611,0.3611,0.3611,0.3611
SEKEUR,1971-03-15,0.361,0.361,0.361,0.361
SEKEUR,1971-03-16,0.3606,0.3606,0.3606,0.3606
SEKEUR,1971-03-17,0.3609,0.3609,0.3609,0.3609
SEKEUR,1971-03-18,0.3606,0.3606,0.3606,0.3606
SEKEUR,1971-03-19,0.3609,0.3609,0.3609,0.3609
SEKEUR,1971-03-22,0.3608,0.3608,0.3608,0.3608
SEKEUR,1971-03-23,0.3608,0.3608,0.3608,0.3608
SEKEUR,1971-03-24,0.3608,0.3608,0.3608,0.3608
SEKEUR,1971-03-25,0.3605,0.3605,0.3605,0.3605
SEKEUR,1971-03-26,0.3603,0.3603,0.3603,0.3603
SEKEUR,1971-03-29,0.3603,0.3603,0.3603,0.3603
SEKEUR,1971-03-30,0.3606,0.3606,0.3606,0.3606
SEKEUR,1971-03-31,0.3606,0.3606,0.3606,0.3606
SEKEUR,1971-04-01,0.3601,0.3601,0.3601,0.3601
SEKEUR,1971-04-02,0.3602,0.3602,0.3602,0.3602
