ticker,date,open,high,low,close
SEKGBP,1971-01-04,0.080865,0.080865,0.080865,0.080865
SEKGBP,1971-01-05,0.080883,0.080883,0.080883,0.080883
SEKGBP,1971-01-06,0.080795,0.080795,0.080795,0.080795
SEKGBP,1971-01-07,0.080799,0.080799,0.080799,0.080799
SEKGBP,1971-01-08,0.080853,0.080853,0.080853,0.080853
SEKGBP,1971-01-11,0.080755,0.080755,0.080755,0.080755
SEKGBP,1971-01-12,0.080635,0.080635,0.080635,0.080635
SEKGBP,1971-01-13,0.080631,0.080631,0.080631,0.080631
SEKGBP,1971-01-14,0.080533,0.080533,0.080533,0.080533
SEKGBP,1971-01-15,0.080413,0.080413,0.080413,0.080413
SEKGBP,1971-01-18,0.08052,0.08052,0.08052,0.08052
SEKGBP,1971-01-19,0.080377,0.080377,0.080377,0.080377
SEKGBP,1971-01-20,0.080487,0.080487,0.080487,0.080487
SEKGBP,1971-01-21,0.080347,0.080347,0.080347,0.080347
SEKGBP,1971-01-22,0.080395,0.080395,0.080395,0.080395
SEKGBP,1971-01-25,0.080157,0.080157,0.080157,0.080157
SEKGBP,1971-01-26,0.080123,0.080123,0.080123,0.080123
SEKGBP,1971-01-27,0.080202,0.080202,0.080202,0.080202
SEKGBP,1971-01-28,0.080111,0.080111,0.080111,0.080111
SEKGBP,1971-01-29,0.080009,0.080009,0.080009,0.080009
SEKGBP,1971-02-01,0.079836,0.079836,0.079836,0.079836
SEKGBP,1971-02-02,0.079947,0.079947,0.079947,0.079947
SEKGBP,1971-02-03,0.079924,0.079924,0.079924,0.079924
SEKGBP,1971-02-04,0.080048,0.080048,0.080048,0.080048
SEKGBP,1971-02-05,0.079937,0.079937,0.079937,0.079937
SEKGBP,1971-02-08,0.079794,0.079794,0.079794,0.079794
SEKGBP,1971-02-09,0.079915,0.079915,0.079915,0.079915
SEKGBP,1971-02-10,0.079849,0.079849,0.079849,0.079849
SEKGBP,1971-02-11,0.079994,0.079994,0.079994,0.079994
