ticker,date,open,high,low,close
SEKKRW,1984-01-09,97.742,97.742,97.742,97.742
SEKKRW,1984-01-16,97.5,97.5,97.5,97.5
SEKKRW,1984-01-23,97.823,97.823,97.823,97.823
SEKKRW,1984-01-30,97.823,97.823,97.823,97.823
SEKKRW,1984-02-06,97.742,97.742,97.742,97.742
SEKKRW,1984-02-13,97.661,97.661,97.661,97.661
SEKKRW,1984-02-20,99.344,99.344,99.344,99.344
SEKKRW,1984-03-01,100.29,100.29,100.29,100.29
SEKKRW,1984-03-05,102.26,102.26,102.26,102.26
SEKKRW,1984-03-12,103.75,103.75,103.75,103.75
SEKKRW,1984-03-19,104.27,104.27,104.27,104.27
SEKKRW,1984-03-26,102.56,102.56,102.56,102.56
SEKKRW,1984-04-02,103.43,103.43,103.43,103.43
SEKKRW,1984-04-09,102.85,102.85,102.85,102.85
SEKKRW,1984-04-16,102.34,102.34,102.34,102.34
SEKKRW,1984-04-24,101.52,101.52,101.52,101.52
SEKKRW,1984-05-02,101.53,101.53,101.53,101.53
SEKKRW,1984-05-07,99.424,99.424,99.424,99.424
SEKKRW,1984-05-14,99.42,99.42,99.42,99.42
SEKKRW,1984-05-21,99.275,99.275,99.275,99.275
SEKKRW,1984-05-28,99.64,99.64,99.64,99.64
SEKKRW,1984-06-04,98.849,98.849,98.849,98.849
SEKKRW,1984-06-11,100.88,100.88,100.88,100.88
SEKKRW,1984-06-18,99.493,99.493,99.493,99.493
SEKKRW,1984-06-25,99.203,99.203,99.203,99.203
SEKKRW,1984-07-02,97.914,97.914,97.914,97.914
SEKKRW,1984-07-09,98.696,98.696,98.696,98.696
SEKKRW,1984-07-16,98.551,98.551,98.551,98.551
SEKKRW,1984-07-23,97.626,97.626,97.626,97.626
SEKKRW,1984-07-30,97.41,97.41,97.41,97.41
SEKKRW,1984-08-06,97.122,97.122,97.122,97.122
SEKKRW,1984-08-13,97.05,97.05,97.05,97.05
SEKKRW,1984-08-20,96.5,96.5,96.5,96.5
SEKKRW,1984-08-27,97.266,97.266,97.266,97.266
