ticker,date,open,high,low,close
SEKNOK,1984-01-02,0.9621,0.9621,0.9621,0.9621
SEKNOK,1984-01-09,0.9611,0.9611,0.9611,0.9611
SEKNOK,1984-01-16,0.9672,0.9672,0.9672,0.9672
SEKNOK,1984-01-23,0.9604,0.9604,0.9604,0.9604
SEKNOK,1984-01-30,0.965,0.965,0.965,0.965
SEKNOK,1984-02-06,0.9627,0.9627,0.9627,0.9627
SEKNOK,1984-02-13,0.9611,0.9611,0.9611,0.9611
SEKNOK,1984-02-20,0.9581,0.9581,0.9581,0.9581
SEKNOK,1984-03-01,0.9631,0.9631,0.9631,0.9631
SEKNOK,1984-03-05,0.9649,0.9649,0.9649,0.9649
SEKNOK,1984-03-12,0.9651,0.9651,0.9651,0.9651
SEKNOK,1984-03-19,0.9699,0.9699,0.9699,0.9699
SEKNOK,1984-03-26,0.9703,0.9703,0.9703,0.9703
SEKNOK,1984-04-02,0.9732,0.9732,0.9732,0.9732
SEKNOK,1984-04-09,0.9731,0.9731,0.9731,0.9731
SEKNOK,1984-04-16,0.9696,0.9696,0.9696,0.9696
SEKNOK,1984-04-24,0.9689,0.9689,0.9689,0.9689
SEKNOK,1984-05-02,0.9666,0.9666,0.9666,0.9666
SEKNOK,1984-05-07,0.9678,0.9678,0.9678,0.9678
SEKNOK,1984-05-14,0.9648,0.9648,0.9648,0.9648
SEKNOK,1984-05-21,0.9682,0.9682,0.9682,0.9682
SEKNOK,1984-05-28,0.967,0.967,0.967,0.967
SEKNOK,1984-06-04,0.9662,0.9662,0.9662,0.9662
SEKNOK,1984-06-11,0.9631,0.9631,0.9631,0.9631
SEKNOK,1984-06-18,0.9628,0.9628,0.9628,0.9628
SEKNOK,1984-06-25,0.9627,0.9627,0.9627,0.9627
SEKNOK,1984-07-02,0.9715,0.9715,0.9715,0.9715
SEKNOK,1984-07-09,0.9799,0.9799,0.9799,0.9799
SEKNOK,1984-07-16,0.9869,0.9869,0.9869,0.9869
SEKNOK,1984-07-23,0.9905,0.9905,0.9905,0.9905
SEKNOK,1984-07-30,0.9941,0.9941,0.9941,0.9941
SEKNOK,1984-08-06,0.9927,0.9927,0.9927,0.9927
SEKNOK,1984-08-13,0.9934,0.9934,0.9934,0.9934
SEKNOK,1984-08-20,0.9905,0.9905,0.9905,0.9905
SEKNOK,1984-08-27,0.9912,0.9912,0.9912,0.9912
SEKNOK,1984-09-01,0.9953,0.9953,0.9953,0.9953
SEKNOK,1984-09-10,0.9966,0.9966,0.9966,0.9966
SEKNOK,1984-09-17,0.998,0.998,0.998,0.998
SEKNOK,1984-09-24,1.0014,1.0014,1.0014,1.0014
SEKNOK,1984-10-01,1.0175,1.0175,1.0175,1.0175
SEKNOK,1984-10-08,1.0225,1.0225,1.0225,1.0225
SEKNOK,1984-10-15,1.0204,1.0204,1.0204,1.0204
SEKNOK,1984-10-22,1.0227,1.0227,1.0227,1.0227
SEKNOK,1984-10-29,1.0233,1.0233,1.0233,1.0233
SEKNOK,1984-11-05,1.019,1.019,1.019,1.019
SEKNOK,1984-11-12,1.0152,1.0152,1.0152,1.0152
SEKNOK,1984-11-19,1.0138,1.0138,1.0138,1.0138
SEKNOK,1984-11-26,1.0132,1.0132,1.0132,1.0132
SEKNOK,1984-12-01,1.0162,1.0162,1.0162,1.0162
SEKNOK,1984-12-10,1.0149,1.0149,1.0149,1.0149
SEKNOK,1984-12-17,1.0127,1.0127,1.0127,1.0127
SEKNOK,1984-12-24,1.012,1.012,1.012,1.012
SEKNOK,1985-01-01,1.0117,1.0117,1.0117,1.0117
SEKNOK,1985-01-07,1.0118,1.0118,1.0118,1.0118
SEKNOK,1985-01-14,1.0098,1.0098,1.0098,1.0098
SEKNOK,1985-01-21,1.0099,1.0099,1.0099,1.0099
SEKNOK,1985-01-28,1.0099,1.0099,1.0099,1.0099
SEKNOK,1985-02-04,1.0138,1.0138,1.0138,1.0138
SEKNOK,1985-02-11,1.0133,1.0133,1.0133,1.0133
SEKNOK,1985-02-18,1.014,1.014,1.014,1.014
SEKNOK,1985-02-25,1.0148,1.0148,1.0148,1.0148
SEKNOK,1985-03-04,1.0014,1.0014,1.0014,1.0014
SEKNOK,1985-03-11,1.011,1.011,1.011,1.011
SEKNOK,1985-03-18,1.0034,1.0034,1.0034,1.0034
SEKNOK,1985-03-25,1.0047,1.0047,1.0047,1.0047
SEKNOK,1985-03-29,0.9987,0.9987,0.9987,0.9987
SEKNOK,1985-04-01,0.9967,0.9967,0.9967,0.9967
SEKNOK,1985-04-09,0.9961,0.9961,0.9961,0.9961
SEKNOK,1985-04-15,0.9954,0.9954,0.9954,0.9954
SEKNOK,1985-04-22,0.9897,0.9897,0.9897,0.9897
SEKNOK,1985-04-29,0.9935,0.9935,0.9935,0.9935
SEKNOK,1985-05-06,0.9922,0.9922,0.9922,0.9922
SEKNOK,1985-05-13,0.9974,0.9974,0.9974,0.9974
SEKNOK,1985-05-20,0.9974,0.9974,0.9974,0.9974
SEKNOK,1985-05-27,0.9923,0.9923,0.9923,0.9923
SEKNOK,1985-06-01,0.9955,0.9955,0.9955,0.9955
SEKNOK,1985-06-10,0.9928,0.9928,0.9928,0.9928
SEKNOK,1985-06-17,0.995,0.995,0.995,0.995
SEKNOK,1985-06-24,0.9945,0.9945,0.9945,0.9945
SEKNOK,1985-07-01,0.9989,0.9989,0.9989,0.9989
SEKNOK,1985-07-08,1.0,1.0,1.0,1.0
SEKNOK,1985-07-15,0.9989,0.9989,0.9989,0.9989
SEKNOK,1985-07-23,0.9941,0.9941,0.9941,0.9941
SEKNOK,1985-07-29,0.9925,0.9925,0.9925,0.9925
SEKNOK,1985-08-05,0.992,0.992,0.992,0.992
SEKNOK,1985-08-12,0.994,0.994,0.994,0.994
SEKNOK,1985-08-19,0.992,0.992,0.992,0.992
SEKNOK,1985-08-26,0.9904,0.9904,0.9904,0.9904
SEKNOK,1985-09-02,0.9935,0.9935,0.9935,0.9935
SEKNOK,1985-09-09,0.9924,0.9924,0.9924,0.9924
SEKNOK,1985-09-16,0.9945,0.9945,0.9945,0.9945
SEKNOK,1985-09-23,0.9924,0.9924,0.9924,0.9924
