ticker,date,open,high,low,close
SGDBRL,1995-01-03,0.5828,0.5828,0.5828,0.5828
SGDBRL,1995-01-04,0.5829,0.5829,0.5829,0.5829
SGDBRL,1995-01-05,0.5815,0.5815,0.5815,0.5815
SGDBRL,1995-01-06,0.5796,0.5796,0.5796,0.5796
SGDBRL,1995-01-09,0.5822,0.5822,0.5822,0.5822
SGDBRL,1995-01-10,0.5841,0.5841,0.5841,0.5841
SGDBRL,1995-01-11,0.5869,0.5869,0.5869,0.5869
SGDBRL,1995-01-12,0.575,0.575,0.575,0.575
SGDBRL,1995-01-13,0.5804,0.5804,0.5804,0.5804
SGDBRL,1995-01-16,0.5804,0.5804,0.5804,0.5804
SGDBRL,1995-01-17,0.5836,0.5836,0.5836,0.5836
SGDBRL,1995-01-18,0.5835,0.5835,0.5835,0.5835
SGDBRL,1995-01-19,0.5852,0.5852,0.5852,0.5852
SGDBRL,1995-01-20,0.585,0.585,0.585,0.585
SGDBRL,1995-01-23,0.5863,0.5863,0.5863,0.5863
SGDBRL,1995-01-24,0.5871,0.5871,0.5871,0.5871
SGDBRL,1995-01-25,0.587,0.587,0.587,0.587
SGDBRL,1995-01-26,0.5828,0.5828,0.5828,0.5828
SGDBRL,1995-01-27,0.5822,0.5822,0.5822,0.5822
SGDBRL,1995-01-30,0.5836,0.5836,0.5836,0.5836
SGDBRL,1995-01-31,0.5802,0.5802,0.5802,0.5802
SGDBRL,1995-02-01,0.5809,0.5809,0.5809,0.5809
SGDBRL,1995-02-02,0.5787,0.5787,0.5787,0.5787
SGDBRL,1995-02-03,0.5748,0.5748,0.5748,0.5748
SGDBRL,1995-02-06,0.5727,0.5727,0.5727,0.5727
SGDBRL,1995-02-07,0.5727,0.5727,0.5727,0.5727
SGDBRL,1995-02-08,0.572,0.572,0.572,0.572
SGDBRL,1995-02-09,0.5746,0.5746,0.5746,0.5746
SGDBRL,1995-02-10,0.5753,0.5753,0.5753,0.5753
SGDBRL,1995-02-13,0.574,0.574,0.574,0.574
SGDBRL,1995-02-14,0.5752,0.5752,0.5752,0.5752
SGDBRL,1995-02-15,0.5728,0.5728,0.5728,0.5728
SGDBRL,1995-02-16,0.5822,0.5822,0.5822,0.5822
SGDBRL,1995-02-17,0.5861,0.5861,0.5861,0.5861
SGDBRL,1995-02-20,0.5799,0.5799,0.5799,0.5799
SGDBRL,1995-02-21,0.5807,0.5807,0.5807,0.5807
SGDBRL,1995-02-22,0.585,0.585,0.585,0.585
SGDBRL,1995-02-23,0.5843,0.5843,0.5843,0.5843
SGDBRL,1995-02-24,0.5883,0.5883,0.5883,0.5883
SGDBRL,1995-02-27,0.5869,0.5869,0.5869,0.5869
SGDBRL,1995-02-28,0.587,0.587,0.587,0.587
SGDBRL,1995-03-01,0.5876,0.5876,0.5876,0.5876
SGDBRL,1995-03-02,0.5877,0.5877,0.5877,0.5877
SGDBRL,1995-03-03,0.5925,0.5925,0.5925,0.5925
SGDBRL,1995-03-06,0.6057,0.6057,0.6057,0.6057
SGDBRL,1995-03-07,0.6249,0.6249,0.6249,0.6249
SGDBRL,1995-03-08,0.6219,0.6219,0.6219,0.6219
SGDBRL,1995-03-09,0.6264,0.6264,0.6264,0.6264
SGDBRL,1995-03-10,0.6214,0.6214,0.6214,0.6214
SGDBRL,1995-03-13,0.6206,0.6206,0.6206,0.6206
SGDBRL,1995-03-14,0.6205,0.6205,0.6205,0.6205
SGDBRL,1995-03-15,0.6278,0.6278,0.6278,0.6278
SGDBRL,1995-03-16,0.6378,0.6378,0.6378,0.6378
SGDBRL,1995-03-17,0.6369,0.6369,0.6369,0.6369
