ticker,date,open,high,low,close
SGDCAD,1984-01-09,0.5876,0.5876,0.5876,0.5876
SGDCAD,1984-01-16,0.5865,0.5865,0.5865,0.5865
SGDCAD,1984-01-23,0.5873,0.5873,0.5873,0.5873
SGDCAD,1984-01-30,0.5848,0.5848,0.5848,0.5848
SGDCAD,1984-02-06,0.5865,0.5865,0.5865,0.5865
SGDCAD,1984-02-13,0.5879,0.5879,0.5879,0.5879
SGDCAD,1984-02-20,0.5839,0.5839,0.5839,0.5839
SGDCAD,1984-03-01,0.5874,0.5874,0.5874,0.5874
SGDCAD,1984-03-05,0.603,0.603,0.603,0.603
SGDCAD,1984-03-12,0.5982,0.5982,0.5982,0.5982
SGDCAD,1984-03-19,0.6029,0.6029,0.6029,0.6029
SGDCAD,1984-03-26,0.6099,0.6099,0.6099,0.6099
SGDCAD,1984-04-02,0.6146,0.6146,0.6146,0.6146
SGDCAD,1984-04-09,0.6086,0.6086,0.6086,0.6086
SGDCAD,1984-04-16,0.6113,0.6113,0.6113,0.6113
SGDCAD,1984-04-24,0.6151,0.6151,0.6151,0.6151
SGDCAD,1984-05-02,0.6117,0.6117,0.6117,0.6117
SGDCAD,1984-05-07,0.6187,0.6187,0.6187,0.6187
SGDCAD,1984-05-14,0.6139,0.6139,0.6139,0.6139
SGDCAD,1984-05-21,0.6112,0.6112,0.6112,0.6112
SGDCAD,1984-05-28,0.6118,0.6118,0.6118,0.6118
SGDCAD,1984-06-04,0.6186,0.6186,0.6186,0.6186
SGDCAD,1984-06-11,0.6151,0.6151,0.6151,0.6151
SGDCAD,1984-06-18,0.6159,0.6159,0.6159,0.6159
SGDCAD,1984-06-25,0.6093,0.6093,0.6093,0.6093
SGDCAD,1984-07-02,0.617,0.617,0.617,0.617
SGDCAD,1984-07-09,0.6127,0.6127,0.6127,0.6127
SGDCAD,1984-07-16,0.6191,0.6191,0.6191,0.6191
SGDCAD,1984-07-23,0.6188,0.6188,0.6188,0.6188
SGDCAD,1984-07-30,0.6135,0.6135,0.6135,0.6135
SGDCAD,1984-08-06,0.6109,0.6109,0.6109,0.6109
SGDCAD,1984-08-13,0.6076,0.6076,0.6076,0.6076
SGDCAD,1984-08-20,0.6067,0.6067,0.6067,0.6067
SGDCAD,1984-08-27,0.6067,0.6067,0.6067,0.6067
SGDCAD,1984-09-01,0.6055,0.6055,0.6055,0.6055
SGDCAD,1984-09-10,0.6014,0.6014,0.6014,0.6014
SGDCAD,1984-09-17,0.6076,0.6076,0.6076,0.6076
SGDCAD,1984-09-24,0.6105,0.6105,0.6105,0.6105
SGDCAD,1984-10-01,0.6088,0.6088,0.6088,0.6088
SGDCAD,1984-10-08,0.6053,0.6053,0.6053,0.6053
SGDCAD,1984-10-15,0.6082,0.6082,0.6082,0.6082
SGDCAD,1984-10-22,0.6125,0.6125,0.6125,0.6125
SGDCAD,1984-10-29,0.6095,0.6095,0.6095,0.6095
SGDCAD,1984-11-05,0.6134,0.6134,0.6134,0.6134
SGDCAD,1984-11-12,0.6086,0.6086,0.6086,0.6086
SGDCAD,1984-11-19,0.6115,0.6115,0.6115,0.6115
SGDCAD,1984-11-26,0.6082,0.6082,0.6082,0.6082
SGDCAD,1984-12-01,0.6104,0.6104,0.6104,0.6104
SGDCAD,1984-12-10,0.6093,0.6093,0.6093,0.6093
SGDCAD,1984-12-17,0.606,0.606,0.606,0.606
SGDCAD,1984-12-24,0.6055,0.6055,0.6055,0.6055
SGDCAD,1985-01-01,0.6042,0.6042,0.6042,0.6042
SGDCAD,1985-01-07,0.6002,0.6002,0.6002,0.6002
SGDCAD,1985-01-14,0.596,0.596,0.596,0.596
SGDCAD,1985-01-21,0.5991,0.5991,0.5991,0.5991
SGDCAD,1985-01-28,0.5988,0.5988,0.5988,0.5988
SGDCAD,1985-02-04,0.594,0.594,0.594,0.594
SGDCAD,1985-02-11,0.5892,0.5892,0.5892,0.5892
SGDCAD,1985-02-18,0.5914,0.5914,0.5914,0.5914
SGDCAD,1985-02-25,0.5881,0.5881,0.5881,0.5881
SGDCAD,1985-03-04,0.6064,0.6064,0.6064,0.6064
SGDCAD,1985-03-11,0.6221,0.6221,0.6221,0.6221
SGDCAD,1985-03-18,0.6103,0.6103,0.6103,0.6103
SGDCAD,1985-03-25,0.6101,0.6101,0.6101,0.6101
SGDCAD,1985-03-29,0.6204,0.6204,0.6204,0.6204
SGDCAD,1985-04-01,0.6143,0.6143,0.6143,0.6143
SGDCAD,1985-04-09,0.6104,0.6104,0.6104,0.6104
SGDCAD,1985-04-15,0.6246,0.6246,0.6246,0.6246
SGDCAD,1985-04-22,0.6228,0.6228,0.6228,0.6228
SGDCAD,1985-04-29,0.6093,0.6093,0.6093,0.6093
SGDCAD,1985-05-06,0.6106,0.6106,0.6106,0.6106
SGDCAD,1985-05-13,0.6249,0.6249,0.6249,0.6249
SGDCAD,1985-05-20,0.6227,0.6227,0.6227,0.6227
SGDCAD,1985-05-27,0.6212,0.6212,0.6212,0.6212
SGDCAD,1985-06-01,0.6246,0.6246,0.6246,0.6246
SGDCAD,1985-06-10,0.6153,0.6153,0.6153,0.6153
SGDCAD,1985-06-17,0.6164,0.6164,0.6164,0.6164
SGDCAD,1985-06-24,0.6108,0.6108,0.6108,0.6108
SGDCAD,1985-07-01,0.6105,0.6105,0.6105,0.6105
SGDCAD,1985-07-08,0.6094,0.6094,0.6094,0.6094
