ticker,date,open,high,low,close
SGDCHF,1984-01-09,1.0491,1.0491,1.0491,1.0491
SGDCHF,1984-01-16,1.0556,1.0556,1.0556,1.0556
SGDCHF,1984-01-23,1.0468,1.0468,1.0468,1.0468
SGDCHF,1984-01-30,1.0539,1.0539,1.0539,1.0539
SGDCHF,1984-02-06,1.0537,1.0537,1.0537,1.0537
SGDCHF,1984-02-13,1.0539,1.0539,1.0539,1.0539
SGDCHF,1984-02-20,1.0483,1.0483,1.0483,1.0483
SGDCHF,1984-03-01,1.0348,1.0348,1.0348,1.0348
SGDCHF,1984-03-05,1.0408,1.0408,1.0408,1.0408
SGDCHF,1984-03-12,1.0047,1.0047,1.0047,1.0047
SGDCHF,1984-03-19,1.0064,1.0064,1.0064,1.0064
SGDCHF,1984-03-26,1.0307,1.0307,1.0307,1.0307
SGDCHF,1984-04-02,1.0318,1.0318,1.0318,1.0318
SGDCHF,1984-04-09,1.0309,1.0309,1.0309,1.0309
SGDCHF,1984-04-16,1.0402,1.0402,1.0402,1.0402
SGDCHF,1984-04-24,1.0509,1.0509,1.0509,1.0509
SGDCHF,1984-05-02,1.0597,1.0597,1.0597,1.0597
SGDCHF,1984-05-07,1.0735,1.0735,1.0735,1.0735
SGDCHF,1984-05-14,1.082,1.082,1.082,1.082
SGDCHF,1984-05-21,1.0763,1.0763,1.0763,1.0763
SGDCHF,1984-05-28,1.0727,1.0727,1.0727,1.0727
SGDCHF,1984-06-04,1.0779,1.0779,1.0779,1.0779
SGDCHF,1984-06-11,1.0541,1.0541,1.0541,1.0541
SGDCHF,1984-06-18,1.0722,1.0722,1.0722,1.0722
SGDCHF,1984-06-25,1.072,1.072,1.072,1.072
SGDCHF,1984-07-02,1.0883,1.0883,1.0883,1.0883
SGDCHF,1984-07-09,1.0957,1.0957,1.0957,1.0957
SGDCHF,1984-07-16,1.1109,1.1109,1.1109,1.1109
SGDCHF,1984-07-23,1.1192,1.1192,1.1192,1.1192
SGDCHF,1984-07-30,1.1386,1.1386,1.1386,1.1386
SGDCHF,1984-08-06,1.1454,1.1454,1.1454,1.1454
SGDCHF,1984-08-13,1.1348,1.1348,1.1348,1.1348
SGDCHF,1984-08-20,1.1341,1.1341,1.1341,1.1341
SGDCHF,1984-08-27,1.1232,1.1232,1.1232,1.1232
SGDCHF,1984-09-01,1.1167,1.1167,1.1167,1.1167
SGDCHF,1984-09-10,1.1317,1.1317,1.1317,1.1317
SGDCHF,1984-09-17,1.1515,1.1515,1.1515,1.1515
SGDCHF,1984-09-24,1.1772,1.1772,1.1772,1.1772
SGDCHF,1984-10-01,1.1657,1.1657,1.1657,1.1657
SGDCHF,1984-10-08,1.1552,1.1552,1.1552,1.1552
SGDCHF,1984-10-15,1.1668,1.1668,1.1668,1.1668
SGDCHF,1984-10-22,1.1894,1.1894,1.1894,1.1894
SGDCHF,1984-10-29,1.1666,1.1666,1.1666,1.1666
SGDCHF,1984-11-05,1.1698,1.1698,1.1698,1.1698
SGDCHF,1984-11-12,1.1228,1.1228,1.1228,1.1228
SGDCHF,1984-11-19,1.1213,1.1213,1.1213,1.1213
SGDCHF,1984-11-26,1.1401,1.1401,1.1401,1.1401
SGDCHF,1984-12-01,1.1643,1.1643,1.1643,1.1643
SGDCHF,1984-12-10,1.1737,1.1737,1.1737,1.1737
SGDCHF,1984-12-17,1.1699,1.1699,1.1699,1.1699
SGDCHF,1984-12-24,1.1704,1.1704,1.1704,1.1704
SGDCHF,1985-01-01,1.1789,1.1789,1.1789,1.1789
SGDCHF,1985-01-07,1.186,1.186,1.186,1.186
SGDCHF,1985-01-14,1.1852,1.1852,1.1852,1.1852
SGDCHF,1985-01-21,1.2123,1.2123,1.2123,1.2123
SGDCHF,1985-01-28,1.2113,1.2113,1.2113,1.2113
SGDCHF,1985-02-04,1.191,1.191,1.191,1.191
SGDCHF,1985-02-11,1.2101,1.2101,1.2101,1.2101
SGDCHF,1985-02-18,1.2327,1.2327,1.2327,1.2327
SGDCHF,1985-02-25,1.2316,1.2316,1.2316,1.2316
SGDCHF,1985-03-04,1.2538,1.2538,1.2538,1.2538
SGDCHF,1985-03-11,1.301,1.301,1.301,1.301
SGDCHF,1985-03-18,1.2457,1.2457,1.2457,1.2457
SGDCHF,1985-03-25,1.2475,1.2475,1.2475,1.2475
SGDCHF,1985-03-29,1.2122,1.2122,1.2122,1.2122
SGDCHF,1985-04-01,1.1969,1.1969,1.1969,1.1969
SGDCHF,1985-04-09,1.1733,1.1733,1.1733,1.1733
SGDCHF,1985-04-15,1.2095,1.2095,1.2095,1.2095
SGDCHF,1985-04-22,1.1411,1.1411,1.1411,1.1411
SGDCHF,1985-04-29,1.1273,1.1273,1.1273,1.1273
SGDCHF,1985-05-06,1.1547,1.1547,1.1547,1.1547
SGDCHF,1985-05-13,1.209,1.209,1.209,1.209
SGDCHF,1985-05-20,1.1702,1.1702,1.1702,1.1702
SGDCHF,1985-05-27,1.1654,1.1654,1.1654,1.1654
SGDCHF,1985-06-01,1.1828,1.1828,1.1828,1.1828
SGDCHF,1985-06-10,1.1487,1.1487,1.1487,1.1487
SGDCHF,1985-06-17,1.1699,1.1699,1.1699,1.1699
SGDCHF,1985-06-24,1.1413,1.1413,1.1413,1.1413
SGDCHF,1985-07-01,1.1465,1.1465,1.1465,1.1465
SGDCHF,1985-07-08,1.1471,1.1471,1.1471,1.1471
SGDCHF,1985-07-15,1.1349,1.1349,1.1349,1.1349
SGDCHF,1985-07-23,1.0895,1.0895,1.0895,1.0895
SGDCHF,1985-07-29,1.0599,1.0599,1.0599,1.0599
SGDCHF,1985-08-05,1.0528,1.0528,1.0528,1.0528
SGDCHF,1985-08-12,1.0749,1.0749,1.0749,1.0749
SGDCHF,1985-08-19,1.0291,1.0291,1.0291,1.0291
SGDCHF,1985-08-26,1.0165,1.0165,1.0165,1.0165
SGDCHF,1985-09-02,1.0202,1.0202,1.0202,1.0202
SGDCHF,1985-09-09,1.0187,1.0187,1.0187,1.0187
SGDCHF,1985-09-16,1.0778,1.0778,1.0778,1.0778
SGDCHF,1985-09-23,1.1091,1.1091,1.1091,1.1091
