ticker,date,open,high,low,close
SGDCNY,1984-01-09,1.6607,1.6607,1.6607,1.6607
SGDCNY,1984-01-16,1.6974,1.6974,1.6974,1.6974
SGDCNY,1984-01-23,1.6974,1.6974,1.6974,1.6974
SGDCNY,1984-01-30,1.6974,1.6974,1.6974,1.6974
SGDCNY,1984-02-06,1.6974,1.6974,1.6974,1.6974
SGDCNY,1984-02-13,1.6974,1.6974,1.6974,1.6974
SGDCNY,1984-02-20,1.7359,1.7359,1.7359,1.7359
SGDCNY,1984-03-01,1.7049,1.7049,1.7049,1.7049
SGDCNY,1984-03-05,1.7726,1.7726,1.7726,1.7726
SGDCNY,1984-03-12,1.7687,1.7687,1.7687,1.7687
SGDCNY,1984-03-19,1.7687,1.7687,1.7687,1.7687
SGDCNY,1984-03-26,1.7687,1.7687,1.7687,1.7687
SGDCNY,1984-04-02,1.7391,1.7391,1.7391,1.7391
SGDCNY,1984-04-09,1.7687,1.7687,1.7687,1.7687
SGDCNY,1984-04-16,1.7687,1.7687,1.7687,1.7687
SGDCNY,1984-04-24,1.8027,1.8027,1.8027,1.8027
SGDCNY,1984-05-02,1.8403,1.8403,1.8403,1.8403
SGDCNY,1984-05-07,1.8403,1.8403,1.8403,1.8403
SGDCNY,1984-05-14,1.8403,1.8403,1.8403,1.8403
SGDCNY,1984-05-21,1.8794,1.8794,1.8794,1.8794
SGDCNY,1984-05-28,1.8794,1.8794,1.8794,1.8794
SGDCNY,1984-06-04,1.8403,1.8403,1.8403,1.8403
SGDCNY,1984-06-11,1.844,1.844,1.844,1.844
SGDCNY,1984-06-18,1.844,1.844,1.844,1.844
SGDCNY,1984-06-25,1.844,1.844,1.844,1.844
SGDCNY,1984-07-02,1.844,1.844,1.844,1.844
SGDCNY,1984-07-09,1.8773,1.8773,1.8773,1.8773
SGDCNY,1984-07-16,1.8773,1.8773,1.8773,1.8773
SGDCNY,1984-07-23,1.8773,1.8773,1.8773,1.8773
SGDCNY,1984-07-30,1.9557,1.9557,1.9557,1.9557
SGDCNY,1984-08-06,1.9134,1.9134,1.9134,1.9134
SGDCNY,1984-08-13,2.0,2.0,2.0,2.0
SGDCNY,1984-08-20,1.9557,1.9557,1.9557,1.9557
SGDCNY,1984-08-27,2.0,2.0,2.0,2.0
SGDCNY,1984-09-01,1.9792,1.9792,1.9792,1.9792
SGDCNY,1984-09-10,2.0578,2.0578,2.0578,2.0578
SGDCNY,1984-09-17,2.0939,2.0939,2.0939,2.0939
SGDCNY,1984-09-24,2.0939,2.0939,2.0939,2.0939
SGDCNY,1984-10-01,2.1402,2.1402,2.1402,2.1402
SGDCNY,1984-10-08,2.1402,2.1402,2.1402,2.1402
SGDCNY,1984-10-15,2.1887,2.1887,2.1887,2.1887
SGDCNY,1984-10-22,2.2264,2.2264,2.2264,2.2264
SGDCNY,1984-10-29,2.1402,2.1402,2.1402,2.1402
SGDCNY,1984-11-05,2.13,2.13,2.13,2.13
SGDCNY,1984-11-12,2.1402,2.1402,2.1402,2.1402
SGDCNY,1984-11-19,2.2308,2.2308,2.2308,2.2308
SGDCNY,1984-11-26,2.2835,2.2835,2.2835,2.2835
SGDCNY,1984-12-01,2.2308,2.2308,2.2308,2.2308
SGDCNY,1984-12-10,2.2835,2.2835,2.2835,2.2835
SGDCNY,1984-12-17,2.2835,2.2835,2.2835,2.2835
SGDCNY,1984-12-24,2.2835,2.2835,2.2835,2.2835
SGDCNY,1985-01-01,2.2744,2.2744,2.2744,2.2744
SGDCNY,1985-01-07,2.2744,2.2744,2.2744,2.2744
SGDCNY,1985-01-14,2.2744,2.2744,2.2744,2.2744
SGDCNY,1985-01-21,2.2744,2.2744,2.2744,2.2744
SGDCNY,1985-01-28,2.2744,2.2744,2.2744,2.2744
SGDCNY,1985-02-04,2.2383,2.2383,2.2383,2.2383
SGDCNY,1985-02-11,2.1986,2.1986,2.1986,2.1986
SGDCNY,1985-02-18,2.1986,2.1986,2.1986,2.1986
SGDCNY,1985-02-25,2.1986,2.1986,2.1986,2.1986
SGDCNY,1985-03-04,2.2383,2.2383,2.2383,2.2383
SGDCNY,1985-03-11,2.234,2.234,2.234,2.234
SGDCNY,1985-03-18,2.2383,2.2383,2.2383,2.2383
SGDCNY,1985-03-25,2.2383,2.2383,2.2383,2.2383
SGDCNY,1985-03-29,2.2744,2.2744,2.2744,2.2744
SGDCNY,1985-04-01,2.2383,2.2383,2.2383,2.2383
SGDCNY,1985-04-09,2.2509,2.2509,2.2509,2.2509
SGDCNY,1985-04-15,2.2744,2.2744,2.2744,2.2744
SGDCNY,1985-04-22,2.2878,2.2878,2.2878,2.2878
SGDCNY,1985-04-29,2.3019,2.3019,2.3019,2.3019
SGDCNY,1985-05-06,2.2509,2.2509,2.2509,2.2509
SGDCNY,1985-05-13,2.2744,2.2744,2.2744,2.2744
SGDCNY,1985-05-20,2.2878,2.2878,2.2878,2.2878
SGDCNY,1985-05-27,2.2878,2.2878,2.2878,2.2878
SGDCNY,1985-06-01,2.2713,2.2713,2.2713,2.2713
SGDCNY,1985-06-10,2.283,2.283,2.283,2.283
SGDCNY,1985-06-17,2.2398,2.2398,2.2398,2.2398
SGDCNY,1985-06-24,2.2508,2.2508,2.2508,2.2508
SGDCNY,1985-07-01,2.283,2.283,2.283,2.283
SGDCNY,1985-07-08,2.283,2.283,2.283,2.283
SGDCNY,1985-07-15,2.283,2.283,2.283,2.283
SGDCNY,1985-07-23,2.2951,2.2951,2.2951,2.2951
SGDCNY,1985-07-29,2.3411,2.3411,2.3411,2.3411
SGDCNY,1985-08-05,2.3411,2.3411,2.3411,2.3411
