ticker,date,open,high,low,close
SGDDKK,1984-01-09,4.7347,4.7347,4.7347,4.7347
SGDDKK,1984-01-16,4.8037,4.8037,4.8037,4.8037
SGDDKK,1984-01-23,4.7595,4.7595,4.7595,4.7595
SGDDKK,1984-01-30,4.8037,4.8037,4.8037,4.8037
SGDDKK,1984-02-06,4.7938,4.7938,4.7938,4.7938
SGDDKK,1984-02-13,4.7401,4.7401,4.7401,4.7401
SGDDKK,1984-02-20,4.6701,4.6701,4.6701,4.6701
SGDDKK,1984-03-01,4.6004,4.6004,4.6004,4.6004
SGDDKK,1984-03-05,4.5972,4.5972,4.5972,4.5972
SGDDKK,1984-03-12,4.4723,4.4723,4.4723,4.4723
SGDDKK,1984-03-19,4.4483,4.4483,4.4483,4.4483
SGDDKK,1984-03-26,4.5877,4.5877,4.5877,4.5877
SGDDKK,1984-04-02,4.5558,4.5558,4.5558,4.5558
SGDDKK,1984-04-09,4.5903,4.5903,4.5903,4.5903
SGDDKK,1984-04-16,4.612,4.612,4.612,4.612
SGDDKK,1984-04-24,4.6514,4.6514,4.6514,4.6514
SGDDKK,1984-05-02,4.7138,4.7138,4.7138,4.7138
SGDDKK,1984-05-07,4.7791,4.7791,4.7791,4.7791
SGDDKK,1984-05-14,4.8087,4.8087,4.8087,4.8087
SGDDKK,1984-05-21,4.7598,4.7598,4.7598,4.7598
SGDDKK,1984-05-28,4.7598,4.7598,4.7598,4.7598
SGDDKK,1984-06-04,4.7964,4.7964,4.7964,4.7964
SGDDKK,1984-06-11,4.6483,4.6483,4.6483,4.6483
SGDDKK,1984-06-18,4.7207,4.7207,4.7207,4.7207
SGDDKK,1984-06-25,4.7321,4.7321,4.7321,4.7321
SGDDKK,1984-07-02,4.7767,4.7767,4.7767,4.7767
SGDDKK,1984-07-09,4.7886,4.7886,4.7886,4.7886
SGDDKK,1984-07-16,4.8206,4.8206,4.8206,4.8206
SGDDKK,1984-07-23,4.834,4.834,4.834,4.834
SGDDKK,1984-07-30,4.8837,4.8837,4.8837,4.8837
SGDDKK,1984-08-06,4.9206,4.9206,4.9206,4.9206
SGDDKK,1984-08-13,4.9159,4.9159,4.9159,4.9159
SGDDKK,1984-08-20,4.9023,4.9023,4.9023,4.9023
SGDDKK,1984-08-27,4.9023,4.9023,4.9023,4.9023
SGDDKK,1984-09-01,4.8727,4.8727,4.8727,4.8727
SGDDKK,1984-09-10,4.927,4.927,4.927,4.927
SGDDKK,1984-09-17,5.0262,5.0262,5.0262,5.0262
SGDDKK,1984-09-24,5.1636,5.1636,5.1636,5.1636
SGDDKK,1984-10-01,5.128,5.128,5.128,5.128
SGDDKK,1984-10-08,5.0659,5.0659,5.0659,5.0659
SGDDKK,1984-10-15,5.1146,5.1146,5.1146,5.1146
SGDDKK,1984-10-22,5.2368,5.2368,5.2368,5.2368
SGDDKK,1984-10-29,5.1142,5.1142,5.1142,5.1142
SGDDKK,1984-11-05,5.1316,5.1316,5.1316,5.1316
SGDDKK,1984-11-12,4.9315,4.9315,4.9315,4.9315
SGDDKK,1984-11-19,4.9273,4.9273,4.9273,4.9273
SGDDKK,1984-11-26,4.9913,4.9913,4.9913,4.9913
SGDDKK,1984-12-01,5.0787,5.0787,5.0787,5.0787
SGDDKK,1984-12-10,5.1235,5.1235,5.1235,5.1235
SGDDKK,1984-12-17,5.079,5.079,5.079,5.079
SGDDKK,1984-12-24,5.079,5.079,5.079,5.079
SGDDKK,1985-01-01,5.1295,5.1295,5.1295,5.1295
SGDDKK,1985-01-07,5.1387,5.1387,5.1387,5.1387
SGDDKK,1985-01-14,5.0647,5.0647,5.0647,5.0647
SGDDKK,1985-01-21,5.1637,5.1637,5.1637,5.1637
SGDDKK,1985-01-28,5.1387,5.1387,5.1387,5.1387
SGDDKK,1985-02-04,5.0568,5.0568,5.0568,5.0568
SGDDKK,1985-02-11,5.0781,5.0781,5.0781,5.0781
SGDDKK,1985-02-18,5.1661,5.1661,5.1661,5.1661
SGDDKK,1985-02-25,5.1886,5.1886,5.1886,5.1886
SGDDKK,1985-03-04,5.2321,5.2321,5.2321,5.2321
SGDDKK,1985-03-11,5.4538,5.4538,5.4538,5.4538
SGDDKK,1985-03-18,5.2317,5.2317,5.2317,5.2317
SGDDKK,1985-03-25,5.2313,5.2313,5.2313,5.2313
SGDDKK,1985-03-29,5.1228,5.1228,5.1228,5.1228
SGDDKK,1985-04-01,5.053,5.053,5.053,5.053
SGDDKK,1985-04-09,4.9635,4.9635,4.9635,4.9635
SGDDKK,1985-04-15,5.1142,5.1142,5.1142,5.1142
SGDDKK,1985-04-22,4.9243,4.9243,4.9243,4.9243
SGDDKK,1985-04-29,4.8919,4.8919,4.8919,4.8919
SGDDKK,1985-05-06,4.9837,4.9837,4.9837,4.9837
SGDDKK,1985-05-13,5.2037,5.2037,5.2037,5.2037
SGDDKK,1985-05-20,5.0,5.0,5.0,5.0
SGDDKK,1985-05-27,4.9679,4.9679,4.9679,4.9679
SGDDKK,1985-06-01,5.0349,5.0349,5.0349,5.0349
SGDDKK,1985-06-10,4.8998,4.8998,4.8998,4.8998
SGDDKK,1985-06-17,4.9826,4.9826,4.9826,4.9826
SGDDKK,1985-06-24,4.8722,4.8722,4.8722,4.8722
SGDDKK,1985-07-01,4.9202,4.9202,4.9202,4.9202
SGDDKK,1985-07-08,4.91,4.91,4.91,4.91
SGDDKK,1985-07-15,4.8599,4.8599,4.8599,4.8599
SGDDKK,1985-07-23,4.7122,4.7122,4.7122,4.7122
SGDDKK,1985-07-29,4.6353,4.6353,4.6353,4.6353
SGDDKK,1985-08-05,4.649,4.649,4.649,4.649
SGDDKK,1985-08-12,4.6906,4.6906,4.6906,4.6906
SGDDKK,1985-08-19,4.521,4.521,4.521,4.521
SGDDKK,1985-08-26,4.5043,4.5043,4.5043,4.5043
SGDDKK,1985-09-02,4.537,4.537,4.537,4.537
SGDDKK,1985-09-09,4.4823,4.4823,4.4823,4.4823
SGDDKK,1985-09-16,4.7175,4.7175,4.7175,4.7175
SGDDKK,1985-09-23,4.8591,4.8591,4.8591,4.8591
SGDDKK,1985-09-30,4.6194,4.6194,4.6194,4.6194
SGDDKK,1985-10-07,4.539,4.539,4.539,4.539
SGDDKK,1985-10-14,4.4466,4.4466,4.4466,4.4466
SGDDKK,1985-10-21,4.5327,4.5327,4.5327,4.5327
SGDDKK,1985-10-28,4.4621,4.4621,4.4621,4.4621
SGDDKK,1985-11-04,4.5102,4.5102,4.5102,4.5102
SGDDKK,1985-11-11,4.4845,4.4845,4.4845,4.4845
SGDDKK,1985-11-18,4.4873,4.4873,4.4873,4.4873
SGDDKK,1985-11-25,4.5277,4.5277,4.5277,4.5277
SGDDKK,1985-12-02,4.3535,4.3535,4.3535,4.3535
SGDDKK,1985-12-09,4.3185,4.3185,4.3185,4.3185
SGDDKK,1985-12-16,4.3211,4.3211,4.3211,4.3211
SGDDKK,1985-12-23,4.3042,4.3042,4.3042,4.3042
SGDDKK,1986-01-01,4.3122,4.3122,4.3122,4.3122
SGDDKK,1986-01-06,4.2317,4.2317,4.2317,4.2317
SGDDKK,1986-01-13,4.192,4.192,4.192,4.192
SGDDKK,1986-01-20,4.2619,4.2619,4.2619,4.2619
SGDDKK,1986-01-27,4.2254,4.2254,4.2254,4.2254
SGDDKK,1986-02-01,4.1476,4.1476,4.1476,4.1476
SGDDKK,1986-02-10,4.1615,4.1615,4.1615,4.1615
SGDDKK,1986-02-17,4.1107,4.1107,4.1107,4.1107
SGDDKK,1986-02-24,4.0442,4.0442,4.0442,4.0442
SGDDKK,1986-03-01,3.8883,3.8883,3.8883,3.8883
SGDDKK,1986-03-03,3.8783,3.8783,3.8783,3.8783
SGDDKK,1986-03-10,3.7648,3.7648,3.7648,3.7648
SGDDKK,1986-03-17,3.9029,3.9029,3.9029,3.9029
SGDDKK,1986-03-18,3.908,3.908,3.908,3.908
SGDDKK,1986-03-24,3.8288,3.8288,3.8288,3.8288
SGDDKK,1986-04-01,3.9033,3.9033,3.9033,3.9033
SGDDKK,1986-04-07,3.8986,3.8986,3.8986,3.8986
SGDDKK,1986-04-09,3.9139,3.9139,3.9139,3.9139
SGDDKK,1986-04-14,3.9876,3.9876,3.9876,3.9876
SGDDKK,1986-04-21,3.9417,3.9417,3.9417,3.9417
SGDDKK,1986-04-28,3.6829,3.6829,3.6829,3.6829
SGDDKK,1986-05-05,3.6726,3.6726,3.6726,3.6726
SGDDKK,1986-05-12,3.6975,3.6975,3.6975,3.6975
SGDDKK,1986-05-19,3.6149,3.6149,3.6149,3.6149
SGDDKK,1986-05-26,3.6902,3.6902,3.6902,3.6902
