ticker,date,open,high,low,close
SGDGBP,1984-01-09,0.33124,0.33124,0.33124,0.33124
SGDGBP,1984-01-16,0.33545,0.33545,0.33545,0.33545
SGDGBP,1984-01-23,0.33089,0.33089,0.33089,0.33089
SGDGBP,1984-01-30,0.33535,0.33535,0.33535,0.33535
SGDGBP,1984-02-06,0.33408,0.33408,0.33408,0.33408
SGDGBP,1984-02-13,0.33415,0.33415,0.33415,0.33415
SGDGBP,1984-02-20,0.33232,0.33232,0.33232,0.33232
SGDGBP,1984-03-01,0.32438,0.32438,0.32438,0.32438
SGDGBP,1984-03-05,0.32391,0.32391,0.32391,0.32391
SGDGBP,1984-03-12,0.32122,0.32122,0.32122,0.32122
SGDGBP,1984-03-19,0.32274,0.32274,0.32274,0.32274
SGDGBP,1984-03-26,0.33179,0.33179,0.33179,0.33179
SGDGBP,1984-04-02,0.33137,0.33137,0.33137,0.33137
SGDGBP,1984-04-09,0.33367,0.33367,0.33367,0.33367
SGDGBP,1984-04-16,0.3345,0.3345,0.3345,0.3345
SGDGBP,1984-04-24,0.3381,0.3381,0.3381,0.3381
SGDGBP,1984-05-02,0.3392,0.3392,0.3392,0.3392
SGDGBP,1984-05-07,0.3422,0.3422,0.3422,0.3422
SGDGBP,1984-05-14,0.3411,0.3411,0.3411,0.3411
SGDGBP,1984-05-21,0.3406,0.3406,0.3406,0.3406
SGDGBP,1984-05-28,0.3395,0.3395,0.3395,0.3395
SGDGBP,1984-06-04,0.3454,0.3454,0.3454,0.3454
SGDGBP,1984-06-11,0.3386,0.3386,0.3386,0.3386
SGDGBP,1984-06-18,0.3418,0.3418,0.3418,0.3418
SGDGBP,1984-06-25,0.34,0.34,0.34,0.34
SGDGBP,1984-07-02,0.3467,0.3467,0.3467,0.3467
SGDGBP,1984-07-09,0.3472,0.3472,0.3472,0.3472
SGDGBP,1984-07-16,0.3561,0.3561,0.3561,0.3561
SGDGBP,1984-07-23,0.3515,0.3515,0.3515,0.3515
SGDGBP,1984-07-30,0.352,0.352,0.352,0.352
SGDGBP,1984-08-06,0.3561,0.3561,0.3561,0.3561
SGDGBP,1984-08-13,0.3536,0.3536,0.3536,0.3536
SGDGBP,1984-08-20,0.354,0.354,0.354,0.354
SGDGBP,1984-08-27,0.3545,0.3545,0.3545,0.3545
SGDGBP,1984-09-01,0.3576,0.3576,0.3576,0.3576
SGDGBP,1984-09-10,0.3582,0.3582,0.3582,0.3582
SGDGBP,1984-09-17,0.3619,0.3619,0.3619,0.3619
SGDGBP,1984-09-24,0.3771,0.3771,0.3771,0.3771
SGDGBP,1984-10-01,0.3732,0.3732,0.3732,0.3732
SGDGBP,1984-10-08,0.3709,0.3709,0.3709,0.3709
SGDGBP,1984-10-15,0.3742,0.3742,0.3742,0.3742
SGDGBP,1984-10-22,0.3846,0.3846,0.3846,0.3846
SGDGBP,1984-10-29,0.3842,0.3842,0.3842,0.3842
SGDGBP,1984-11-05,0.385,0.385,0.385,0.385
SGDGBP,1984-11-12,0.366,0.366,0.366,0.366
SGDGBP,1984-11-19,0.3647,0.3647,0.3647,0.3647
SGDGBP,1984-11-26,0.3695,0.3695,0.3695,0.3695
SGDGBP,1984-12-01,0.3839,0.3839,0.3839,0.3839
SGDGBP,1984-12-10,0.3836,0.3836,0.3836,0.3836
SGDGBP,1984-12-17,0.3815,0.3815,0.3815,0.3815
SGDGBP,1984-12-24,0.3865,0.3865,0.3865,0.3865
SGDGBP,1985-01-01,0.3929,0.3929,0.3929,0.3929
SGDGBP,1985-01-07,0.3942,0.3942,0.3942,0.3942
SGDGBP,1985-01-14,0.3911,0.3911,0.3911,0.3911
SGDGBP,1985-01-21,0.4049,0.4049,0.4049,0.4049
SGDGBP,1985-01-28,0.4047,0.4047,0.4047,0.4047
SGDGBP,1985-02-04,0.4013,0.4013,0.4013,0.4013
SGDGBP,1985-02-11,0.397,0.397,0.397,0.397
SGDGBP,1985-02-18,0.4033,0.4033,0.4033,0.4033
SGDGBP,1985-02-25,0.4016,0.4016,0.4016,0.4016
SGDGBP,1985-03-04,0.4078,0.4078,0.4078,0.4078
SGDGBP,1985-03-11,0.4204,0.4204,0.4204,0.4204
SGDGBP,1985-03-18,0.4076,0.4076,0.4076,0.4076
SGDGBP,1985-03-25,0.3956,0.3956,0.3956,0.3956
SGDGBP,1985-03-29,0.3753,0.3753,0.3753,0.3753
SGDGBP,1985-04-01,0.3689,0.3689,0.3689,0.3689
SGDGBP,1985-04-09,0.3632,0.3632,0.3632,0.3632
SGDGBP,1985-04-15,0.3762,0.3762,0.3762,0.3762
SGDGBP,1985-04-22,0.3558,0.3558,0.3558,0.3558
SGDGBP,1985-04-29,0.3521,0.3521,0.3521,0.3521
SGDGBP,1985-05-06,0.3599,0.3599,0.3599,0.3599
SGDGBP,1985-05-13,0.3777,0.3777,0.3777,0.3777
SGDGBP,1985-05-20,0.3584,0.3584,0.3584,0.3584
SGDGBP,1985-05-27,0.3548,0.3548,0.3548,0.3548
SGDGBP,1985-06-01,0.3607,0.3607,0.3607,0.3607
SGDGBP,1985-06-10,0.3465,0.3465,0.3465,0.3465
SGDGBP,1985-06-17,0.356,0.356,0.356,0.356
SGDGBP,1985-06-24,0.347,0.347,0.347,0.347
SGDGBP,1985-07-01,0.3481,0.3481,0.3481,0.3481
SGDGBP,1985-07-08,0.3445,0.3445,0.3445,0.3445
SGDGBP,1985-07-15,0.3377,0.3377,0.3377,0.3377
SGDGBP,1985-07-23,0.3276,0.3276,0.3276,0.3276
SGDGBP,1985-07-29,0.3202,0.3202,0.3202,0.3202
SGDGBP,1985-08-05,0.3204,0.3204,0.3204,0.3204
SGDGBP,1985-08-12,0.341,0.341,0.341,0.341
SGDGBP,1985-08-19,0.3218,0.3218,0.3218,0.3218
SGDGBP,1985-08-26,0.3213,0.3213,0.3213,0.3213
SGDGBP,1985-09-02,0.322,0.322,0.322,0.322
SGDGBP,1985-09-09,0.3166,0.3166,0.3166,0.3166
SGDGBP,1985-09-16,0.3406,0.3406,0.3406,0.3406
SGDGBP,1985-09-23,0.3477,0.3477,0.3477,0.3477
SGDGBP,1985-09-30,0.3269,0.3269,0.3269,0.3269
SGDGBP,1985-10-07,0.3316,0.3316,0.3316,0.3316
SGDGBP,1985-10-14,0.3286,0.3286,0.3286,0.3286
SGDGBP,1985-10-21,0.3327,0.3327,0.3327,0.3327
SGDGBP,1985-10-28,0.3253,0.3253,0.3253,0.3253
SGDGBP,1985-11-04,0.3305,0.3305,0.3305,0.3305
SGDGBP,1985-11-11,0.33,0.33,0.33,0.33
SGDGBP,1985-11-18,0.3338,0.3338,0.3338,0.3338
SGDGBP,1985-11-25,0.3363,0.3363,0.3363,0.3363
SGDGBP,1985-12-02,0.321,0.321,0.321,0.321
SGDGBP,1985-12-09,0.3189,0.3189,0.3189,0.3189
SGDGBP,1985-12-16,0.3263,0.3263,0.3263,0.3263
SGDGBP,1985-12-23,0.3277,0.3277,0.3277,0.3277
SGDGBP,1986-01-01,0.3316,0.3316,0.3316,0.3316
SGDGBP,1986-01-06,0.3271,0.3271,0.3271,0.3271
SGDGBP,1986-01-13,0.327,0.327,0.327,0.327
SGDGBP,1986-01-20,0.3252,0.3252,0.3252,0.3252
SGDGBP,1986-01-27,0.3308,0.3308,0.3308,0.3308
SGDGBP,1986-02-01,0.3403,0.3403,0.3403,0.3403
SGDGBP,1986-02-10,0.3418,0.3418,0.3418,0.3418
SGDGBP,1986-02-17,0.3342,0.3342,0.3342,0.3342
SGDGBP,1986-02-24,0.3291,0.3291,0.3291,0.3291
SGDGBP,1986-03-01,0.3137,0.3137,0.3137,0.3137
SGDGBP,1986-03-03,0.3129,0.3129,0.3129,0.3129
SGDGBP,1986-03-10,0.3183,0.3183,0.3183,0.3183
SGDGBP,1986-03-17,0.3202,0.3202,0.3202,0.3202
SGDGBP,1986-03-18,0.3206,0.3206,0.3206,0.3206
SGDGBP,1986-03-24,0.3147,0.3147,0.3147,0.3147
SGDGBP,1986-04-01,0.3129,0.3129,0.3129,0.3129
SGDGBP,1986-04-07,0.3093,0.3093,0.3093,0.3093
SGDGBP,1986-04-09,0.3105,0.3105,0.3105,0.3105
SGDGBP,1986-04-14,0.3117,0.3117,0.3117,0.3117
SGDGBP,1986-04-21,0.311,0.311,0.311,0.311
SGDGBP,1986-04-28,0.2996,0.2996,0.2996,0.2996
SGDGBP,1986-05-05,0.2947,0.2947,0.2947,0.2947
SGDGBP,1986-05-12,0.2963,0.2963,0.2963,0.2963
SGDGBP,1986-05-19,0.2909,0.2909,0.2909,0.2909
SGDGBP,1986-05-26,0.2937,0.2937,0.2937,0.2937
SGDGBP,1986-06-02,0.2941,0.2941,0.2941,0.2941
SGDGBP,1986-06-09,0.2991,0.2991,0.2991,0.2991
SGDGBP,1986-06-16,0.3006,0.3006,0.3006,0.3006
SGDGBP,1986-06-23,0.2982,0.2982,0.2982,0.2982
SGDGBP,1986-06-30,0.3021,0.3021,0.3021,0.3021
SGDGBP,1986-07-07,0.2971,0.2971,0.2971,0.2971
SGDGBP,1986-07-14,0.2975,0.2975,0.2975,0.2975
SGDGBP,1986-07-21,0.3092,0.3092,0.3092,0.3092
SGDGBP,1986-07-28,0.3072,0.3072,0.3072,0.3072
SGDGBP,1986-08-04,0.3096,0.3096,0.3096,0.3096
SGDGBP,1986-08-11,0.3131,0.3131,0.3131,0.3131
SGDGBP,1986-08-18,0.3123,0.3123,0.3123,0.3123
SGDGBP,1986-08-25,0.3109,0.3109,0.3109,0.3109
SGDGBP,1986-09-01,0.3136,0.3136,0.3136,0.3136
SGDGBP,1986-09-08,0.3079,0.3079,0.3079,0.3079
SGDGBP,1986-09-15,0.3102,0.3102,0.3102,0.3102
SGDGBP,1986-09-22,0.3113,0.3113,0.3113,0.3113
SGDGBP,1986-09-29,0.319,0.319,0.319,0.319
SGDGBP,1986-10-06,0.3195,0.3195,0.3195,0.3195
SGDGBP,1986-10-13,0.3204,0.3204,0.3204,0.3204
SGDGBP,1986-10-20,0.3216,0.3216,0.3216,0.3216
SGDGBP,1986-10-27,0.3186,0.3186,0.3186,0.3186
SGDGBP,1986-11-01,0.3243,0.3243,0.3243,0.3243
SGDGBP,1986-11-10,0.3237,0.3237,0.3237,0.3237
SGDGBP,1986-11-17,0.3165,0.3165,0.3165,0.3165
SGDGBP,1986-11-24,0.3214,0.3214,0.3214,0.3214
SGDGBP,1986-12-01,0.3219,0.3219,0.3219,0.3219
SGDGBP,1986-12-08,0.319,0.319,0.319,0.319
SGDGBP,1986-12-15,0.32,0.32,0.32,0.32
SGDGBP,1986-12-22,0.3195,0.3195,0.3195,0.3195
SGDGBP,1986-12-31,0.3164,0.3164,0.3164,0.3164
SGDGBP,1987-01-12,0.3144,0.3144,0.3144,0.3144
SGDGBP,1987-01-19,0.3098,0.3098,0.3098,0.3098
SGDGBP,1987-01-26,0.3075,0.3075,0.3075,0.3075
SGDGBP,1987-02-01,0.3057,0.3057,0.3057,0.3057
SGDGBP,1987-02-09,0.3052,0.3052,0.3052,0.3052
SGDGBP,1987-02-16,0.3061,0.3061,0.3061,0.3061
SGDGBP,1987-02-23,0.3053,0.3053,0.3053,0.3053
SGDGBP,1987-03-02,0.3037,0.3037,0.3037,0.3037
SGDGBP,1987-03-09,0.2976,0.2976,0.2976,0.2976
SGDGBP,1987-03-16,0.2948,0.2948,0.2948,0.2948
SGDGBP,1987-03-23,0.2928,0.2928,0.2928,0.2928
SGDGBP,1987-03-30,0.2886,0.2886,0.2886,0.2886
SGDGBP,1987-04-06,0.2918,0.2918,0.2918,0.2918
SGDGBP,1987-04-13,0.289,0.289,0.289,0.289
SGDGBP,1987-04-21,0.2873,0.2873,0.2873,0.2873
SGDGBP,1987-04-27,0.2878,0.2878,0.2878,0.2878
SGDGBP,1987-05-04,0.2844,0.2844,0.2844,0.2844
SGDGBP,1987-05-11,0.2795,0.2795,0.2795,0.2795
SGDGBP,1987-05-18,0.2834,0.2834,0.2834,0.2834
SGDGBP,1987-05-25,0.2812,0.2812,0.2812,0.2812
SGDGBP,1987-06-01,0.2833,0.2833,0.2833,0.2833
