ticker,date,open,high,low,close
SGDHKD,1984-01-09,3.6535,3.6535,3.6535,3.6535
SGDHKD,1984-01-16,3.6614,3.6614,3.6614,3.6614
SGDHKD,1984-01-23,3.6614,3.6614,3.6614,3.6614
SGDHKD,1984-01-30,3.6614,3.6614,3.6614,3.6614
SGDHKD,1984-02-06,3.6614,3.6614,3.6614,3.6614
SGDHKD,1984-02-13,3.6614,3.6614,3.6614,3.6614
SGDHKD,1984-02-20,3.6508,3.6508,3.6508,3.6508
SGDHKD,1984-03-01,3.6738,3.6738,3.6738,3.6738
SGDHKD,1984-03-05,3.75,3.75,3.75,3.75
SGDHKD,1984-03-12,3.7194,3.7194,3.7194,3.7194
SGDHKD,1984-03-19,3.7391,3.7391,3.7391,3.7391
SGDHKD,1984-03-26,3.7357,3.7357,3.7357,3.7357
SGDHKD,1984-04-02,3.7357,3.7357,3.7357,3.7357
SGDHKD,1984-04-09,3.7214,3.7214,3.7214,3.7214
SGDHKD,1984-04-16,3.7357,3.7357,3.7357,3.7357
SGDHKD,1984-04-24,3.7376,3.7376,3.7376,3.7376
SGDHKD,1984-05-02,3.7376,3.7376,3.7376,3.7376
SGDHKD,1984-05-07,3.7324,3.7324,3.7324,3.7324
SGDHKD,1984-05-14,3.7183,3.7183,3.7183,3.7183
SGDHKD,1984-05-21,3.6972,3.6972,3.6972,3.6972
SGDHKD,1984-05-28,3.6972,3.6972,3.6972,3.6972
SGDHKD,1984-06-04,3.7324,3.7324,3.7324,3.7324
SGDHKD,1984-06-11,3.7021,3.7021,3.7021,3.7021
SGDHKD,1984-06-18,3.6901,3.6901,3.6901,3.6901
SGDHKD,1984-06-25,3.669,3.669,3.669,3.669
SGDHKD,1984-07-02,3.6643,3.6643,3.6643,3.6643
SGDHKD,1984-07-09,3.669,3.669,3.669,3.669
SGDHKD,1984-07-16,3.6643,3.6643,3.6643,3.6643
SGDHKD,1984-07-23,3.6389,3.6389,3.6389,3.6389
SGDHKD,1984-07-30,3.6458,3.6458,3.6458,3.6458
SGDHKD,1984-08-06,3.6597,3.6597,3.6597,3.6597
