ticker,date,open,high,low,close
SGDJPY,1984-01-09,110.06,110.06,110.06,110.06
SGDJPY,1984-01-16,109.62,109.62,109.62,109.62
SGDJPY,1984-01-23,110.09,110.09,110.09,110.09
SGDJPY,1984-01-30,109.88,109.88,109.88,109.88
SGDJPY,1984-02-06,110.24,110.24,110.24,110.24
SGDJPY,1984-02-13,110.29,110.29,110.29,110.29
SGDJPY,1984-02-20,109.76,109.76,109.76,109.76
SGDJPY,1984-03-01,109.89,109.89,109.89,109.89
SGDJPY,1984-03-05,112.2,112.2,112.2,112.2
SGDJPY,1984-03-12,106.44,106.44,106.44,106.44
SGDJPY,1984-03-19,106.72,106.72,106.72,106.72
SGDJPY,1984-03-26,107.77,107.77,107.77,107.77
SGDJPY,1984-04-02,107.55,107.55,107.55,107.55
SGDJPY,1984-04-09,107.31,107.31,107.31,107.31
SGDJPY,1984-04-16,107.64,107.64,107.64,107.64
SGDJPY,1984-04-24,107.95,107.95,107.95,107.95
SGDJPY,1984-05-02,107.77,107.77,107.77,107.77
SGDJPY,1984-05-07,108.45,108.45,108.45,108.45
SGDJPY,1984-05-14,108.49,108.49,108.49,108.49
SGDJPY,1984-05-21,109.1,109.1,109.1,109.1
SGDJPY,1984-05-28,110.23,110.23,110.23,110.23
SGDJPY,1984-06-04,110.76,110.76,110.76,110.76
SGDJPY,1984-06-11,108.55,108.55,108.55,108.55
SGDJPY,1984-06-18,109.76,109.76,109.76,109.76
SGDJPY,1984-06-25,109.2,109.2,109.2,109.2
SGDJPY,1984-07-02,111.23,111.23,111.23,111.23
SGDJPY,1984-07-09,111.42,111.42,111.42,111.42
SGDJPY,1984-07-16,112.57,112.57,112.57,112.57
SGDJPY,1984-07-23,112.62,112.62,112.62,112.62
SGDJPY,1984-07-30,114.58,114.58,114.58,114.58
SGDJPY,1984-08-06,114.09,114.09,114.09,114.09
SGDJPY,1984-08-13,113.19,113.19,113.19,113.19
SGDJPY,1984-08-20,112.99,112.99,112.99,112.99
SGDJPY,1984-08-27,112.66,112.66,112.66,112.66
SGDJPY,1984-09-01,112.4,112.4,112.4,112.4
SGDJPY,1984-09-10,112.84,112.84,112.84,112.84
SGDJPY,1984-09-17,113.1,113.1,113.1,113.1
