ticker,date,open,high,low,close
SGDNOK,1984-01-09,3.6796,3.6796,3.6796,3.6796
SGDNOK,1984-01-16,3.72,3.72,3.72,3.72
SGDNOK,1984-01-23,3.6817,3.6817,3.6817,3.6817
SGDNOK,1984-01-30,3.6993,3.6993,3.6993,3.6993
SGDNOK,1984-02-06,3.6934,3.6934,3.6934,3.6934
SGDNOK,1984-02-13,3.6905,3.6905,3.6905,3.6905
SGDNOK,1984-02-20,3.6364,3.6364,3.6364,3.6364
SGDNOK,1984-03-01,3.6047,3.6047,3.6047,3.6047
SGDNOK,1984-03-05,3.6157,3.6157,3.6157,3.6157
SGDNOK,1984-03-12,3.5363,3.5363,3.5363,3.5363
SGDNOK,1984-03-19,3.5294,3.5294,3.5294,3.5294
SGDNOK,1984-03-26,3.6119,3.6119,3.6119,3.6119
SGDNOK,1984-04-02,3.592,3.592,3.592,3.592
SGDNOK,1984-04-09,3.5981,3.5981,3.5981,3.5981
SGDNOK,1984-04-16,3.6169,3.6169,3.6169,3.6169
SGDNOK,1984-04-24,3.6445,3.6445,3.6445,3.6445
SGDNOK,1984-05-02,3.6623,3.6623,3.6623,3.6623
SGDNOK,1984-05-07,3.7115,3.7115,3.7115,3.7115
SGDNOK,1984-05-14,3.7131,3.7131,3.7131,3.7131
SGDNOK,1984-05-21,3.7103,3.7103,3.7103,3.7103
SGDNOK,1984-05-28,3.692,3.692,3.692,3.692
SGDNOK,1984-06-04,3.7271,3.7271,3.7271,3.7271
SGDNOK,1984-06-11,3.6376,3.6376,3.6376,3.6376
SGDNOK,1984-06-18,3.6746,3.6746,3.6746,3.6746
SGDNOK,1984-06-25,3.6639,3.6639,3.6639,3.6639
SGDNOK,1984-07-02,3.7402,3.7402,3.7402,3.7402
SGDNOK,1984-07-09,3.7482,3.7482,3.7482,3.7482
SGDNOK,1984-07-16,3.8026,3.8026,3.8026,3.8026
SGDNOK,1984-07-23,3.8248,3.8248,3.8248,3.8248
SGDNOK,1984-07-30,3.8546,3.8546,3.8546,3.8546
SGDNOK,1984-08-06,3.875,3.875,3.875,3.875
SGDNOK,1984-08-13,3.8733,3.8733,3.8733,3.8733
SGDNOK,1984-08-20,3.8636,3.8636,3.8636,3.8636
SGDNOK,1984-08-27,3.8636,3.8636,3.8636,3.8636
SGDNOK,1984-09-01,3.8575,3.8575,3.8575,3.8575
SGDNOK,1984-09-10,3.881,3.881,3.881,3.881
SGDNOK,1984-09-17,3.9317,3.9317,3.9317,3.9317
SGDNOK,1984-09-24,4.0248,4.0248,4.0248,4.0248
SGDNOK,1984-10-01,4.0772,4.0772,4.0772,4.0772
SGDNOK,1984-10-08,4.0491,4.0491,4.0491,4.0491
SGDNOK,1984-10-15,4.0816,4.0816,4.0816,4.0816
SGDNOK,1984-10-22,4.1619,4.1619,4.1619,4.1619
SGDNOK,1984-10-29,4.1102,4.1102,4.1102,4.1102
SGDNOK,1984-11-05,4.1139,4.1139,4.1139,4.1139
SGDNOK,1984-11-12,3.9834,3.9834,3.9834,3.9834
SGDNOK,1984-11-19,3.9834,3.9834,3.9834,3.9834
SGDNOK,1984-11-26,4.0139,4.0139,4.0139,4.0139
SGDNOK,1984-12-01,4.0916,4.0916,4.0916,4.0916
SGDNOK,1984-12-10,4.1118,4.1118,4.1118,4.1118
SGDNOK,1984-12-17,4.089,4.089,4.089,4.089
SGDNOK,1984-12-24,4.1006,4.1006,4.1006,4.1006
SGDNOK,1985-01-01,4.1357,4.1357,4.1357,4.1357
SGDNOK,1985-01-07,4.142,4.142,4.142,4.142
SGDNOK,1985-01-14,4.1049,4.1049,4.1049,4.1049
SGDNOK,1985-01-21,4.1788,4.1788,4.1788,4.1788
SGDNOK,1985-01-28,4.1667,4.1667,4.1667,4.1667
SGDNOK,1985-02-04,4.1068,4.1068,4.1068,4.1068
SGDNOK,1985-02-11,4.0981,4.0981,4.0981,4.0981
SGDNOK,1985-02-18,4.1522,4.1522,4.1522,4.1522
SGDNOK,1985-02-25,4.1516,4.1516,4.1516,4.1516
SGDNOK,1985-03-04,4.1835,4.1835,4.1835,4.1835
SGDNOK,1985-03-11,4.3457,4.3457,4.3457,4.3457
SGDNOK,1985-03-18,4.196,4.196,4.196,4.196
SGDNOK,1985-03-25,4.1886,4.1886,4.1886,4.1886
SGDNOK,1985-03-29,4.1157,4.1157,4.1157,4.1157
SGDNOK,1985-04-01,4.0576,4.0576,4.0576,4.0576
SGDNOK,1985-04-09,3.9974,3.9974,3.9974,3.9974
SGDNOK,1985-04-15,4.1142,4.1142,4.1142,4.1142
SGDNOK,1985-04-22,3.9743,3.9743,3.9743,3.9743
SGDNOK,1985-04-29,3.947,3.947,3.947,3.947
SGDNOK,1985-05-06,3.987,3.987,3.987,3.987
SGDNOK,1985-05-13,4.1457,4.1457,4.1457,4.1457
SGDNOK,1985-05-20,4.0182,4.0182,4.0182,4.0182
SGDNOK,1985-05-27,3.9871,3.9871,3.9871,3.9871
SGDNOK,1985-06-01,4.0335,4.0335,4.0335,4.0335
SGDNOK,1985-06-10,3.9302,3.9302,3.9302,3.9302
SGDNOK,1985-06-17,3.9911,3.9911,3.9911,3.9911
SGDNOK,1985-06-24,3.9145,3.9145,3.9145,3.9145
SGDNOK,1985-07-01,3.9455,3.9455,3.9455,3.9455
SGDNOK,1985-07-08,3.9411,3.9411,3.9411,3.9411
SGDNOK,1985-07-15,3.9002,3.9002,3.9002,3.9002
SGDNOK,1985-07-23,3.8054,3.8054,3.8054,3.8054
SGDNOK,1985-07-29,3.754,3.754,3.754,3.754
SGDNOK,1985-08-05,3.7641,3.7641,3.7641,3.7641
SGDNOK,1985-08-12,3.8274,3.8274,3.8274,3.8274
SGDNOK,1985-08-19,3.6944,3.6944,3.6944,3.6944
SGDNOK,1985-08-26,3.6724,3.6724,3.6724,3.6724
SGDNOK,1985-09-02,3.6902,3.6902,3.6902,3.6902
SGDNOK,1985-09-09,3.629,3.629,3.629,3.629
SGDNOK,1985-09-16,3.8014,3.8014,3.8014,3.8014
SGDNOK,1985-09-23,3.9327,3.9327,3.9327,3.9327
SGDNOK,1985-09-30,3.7686,3.7686,3.7686,3.7686
SGDNOK,1985-10-07,3.7092,3.7092,3.7092,3.7092
SGDNOK,1985-10-14,3.6616,3.6616,3.6616,3.6616
SGDNOK,1985-10-21,3.7165,3.7165,3.7165,3.7165
SGDNOK,1985-10-28,3.6875,3.6875,3.6875,3.6875
SGDNOK,1985-11-04,3.7316,3.7316,3.7316,3.7316
SGDNOK,1985-11-11,3.7198,3.7198,3.7198,3.7198
SGDNOK,1985-11-18,3.7316,3.7316,3.7316,3.7316
SGDNOK,1985-11-25,3.7664,3.7664,3.7664,3.7664
SGDNOK,1985-12-02,3.6133,3.6133,3.6133,3.6133
SGDNOK,1985-12-09,3.5872,3.5872,3.5872,3.5872
SGDNOK,1985-12-16,3.6189,3.6189,3.6189,3.6189
SGDNOK,1985-12-23,3.6087,3.6087,3.6087,3.6087
SGDNOK,1986-01-01,3.6218,3.6218,3.6218,3.6218
SGDNOK,1986-01-06,3.5773,3.5773,3.5773,3.5773
SGDNOK,1986-01-13,3.5439,3.5439,3.5439,3.5439
SGDNOK,1986-01-20,3.5622,3.5622,3.5622,3.5622
SGDNOK,1986-01-27,3.553,3.553,3.553,3.553
SGDNOK,1986-02-01,3.517,3.517,3.517,3.517
SGDNOK,1986-02-10,3.5214,3.5214,3.5214,3.5214
SGDNOK,1986-02-17,3.4671,3.4671,3.4671,3.4671
SGDNOK,1986-02-24,3.4217,3.4217,3.4217,3.4217
SGDNOK,1986-03-01,3.295,3.295,3.295,3.295
SGDNOK,1986-03-03,3.2865,3.2865,3.2865,3.2865
SGDNOK,1986-03-10,3.2247,3.2247,3.2247,3.2247
SGDNOK,1986-03-17,3.3319,3.3319,3.3319,3.3319
SGDNOK,1986-03-18,3.3362,3.3362,3.3362,3.3362
SGDNOK,1986-03-24,3.2678,3.2678,3.2678,3.2678
SGDNOK,1986-04-01,3.3175,3.3175,3.3175,3.3175
SGDNOK,1986-04-07,3.2972,3.2972,3.2972,3.2972
SGDNOK,1986-04-09,3.3102,3.3102,3.3102,3.3102
SGDNOK,1986-04-14,3.3727,3.3727,3.3727,3.3727
SGDNOK,1986-04-21,3.3391,3.3391,3.3391,3.3391
SGDNOK,1986-04-28,3.1843,3.1843,3.1843,3.1843
SGDNOK,1986-05-05,3.1572,3.1572,3.1572,3.1572
SGDNOK,1986-05-12,3.1695,3.1695,3.1695,3.1695
SGDNOK,1986-05-19,3.3424,3.3424,3.3424,3.3424
SGDNOK,1986-05-26,3.3929,3.3929,3.3929,3.3929
SGDNOK,1986-06-02,3.3921,3.3921,3.3921,3.3921
SGDNOK,1986-06-09,3.4508,3.4508,3.4508,3.4508
SGDNOK,1986-06-16,3.4317,3.4317,3.4317,3.4317
SGDNOK,1986-06-23,3.4132,3.4132,3.4132,3.4132
SGDNOK,1986-06-30,3.4667,3.4667,3.4667,3.4667
SGDNOK,1986-07-07,3.4214,3.4214,3.4214,3.4214
SGDNOK,1986-07-14,3.4093,3.4093,3.4093,3.4093
SGDNOK,1986-07-21,3.4656,3.4656,3.4656,3.4656
SGDNOK,1986-07-28,3.4063,3.4063,3.4063,3.4063
SGDNOK,1986-08-04,3.4267,3.4267,3.4267,3.4267
SGDNOK,1986-08-11,3.4432,3.4432,3.4432,3.4432
SGDNOK,1986-08-18,3.4156,3.4156,3.4156,3.4156
SGDNOK,1986-08-25,3.4171,3.4171,3.4171,3.4171
SGDNOK,1986-09-01,3.3992,3.3992,3.3992,3.3992
SGDNOK,1986-09-08,3.3419,3.3419,3.3419,3.3419
SGDNOK,1986-09-15,3.3921,3.3921,3.3921,3.3921
SGDNOK,1986-09-22,3.3699,3.3699,3.3699,3.3699
SGDNOK,1986-09-29,3.3935,3.3935,3.3935,3.3935
SGDNOK,1986-10-06,3.3985,3.3985,3.3985,3.3985
SGDNOK,1986-10-13,3.385,3.385,3.385,3.385
SGDNOK,1986-10-20,3.3566,3.3566,3.3566,3.3566
SGDNOK,1986-10-27,3.3407,3.3407,3.3407,3.3407
SGDNOK,1986-11-01,3.4002,3.4002,3.4002,3.4002
SGDNOK,1986-11-10,3.4382,3.4382,3.4382,3.4382
SGDNOK,1986-11-17,3.4145,3.4145,3.4145,3.4145
SGDNOK,1986-11-24,3.4377,3.4377,3.4377,3.4377
SGDNOK,1986-12-01,3.467,3.467,3.467,3.467
SGDNOK,1986-12-08,3.4153,3.4153,3.4153,3.4153
SGDNOK,1986-12-15,3.4382,3.4382,3.4382,3.4382
SGDNOK,1986-12-22,3.4819,3.4819,3.4819,3.4819
SGDNOK,1986-12-31,3.4377,3.4377,3.4377,3.4377
SGDNOK,1987-01-12,3.412,3.412,3.412,3.412
SGDNOK,1987-01-19,3.3557,3.3557,3.3557,3.3557
SGDNOK,1987-01-26,3.3223,3.3223,3.3223,3.3223
SGDNOK,1987-02-01,3.2951,3.2951,3.2951,3.2951
SGDNOK,1987-02-09,3.2346,3.2346,3.2346,3.2346
SGDNOK,1987-02-16,3.2662,3.2662,3.2662,3.2662
SGDNOK,1987-02-23,3.2558,3.2558,3.2558,3.2558
SGDNOK,1987-03-02,3.2982,3.2982,3.2982,3.2982
SGDNOK,1987-03-09,3.2491,3.2491,3.2491,3.2491
SGDNOK,1987-03-16,3.2685,3.2685,3.2685,3.2685
SGDNOK,1987-03-23,3.239,3.239,3.239,3.239
SGDNOK,1987-03-30,3.2036,3.2036,3.2036,3.2036
SGDNOK,1987-04-06,3.188,3.188,3.188,3.188
SGDNOK,1987-04-13,3.1882,3.1882,3.1882,3.1882
