ticker,date,open,high,low,close
SGDNZD,1984-01-09,0.7227,0.7227,0.7227,0.7227
SGDNZD,1984-01-16,0.7232,0.7232,0.7232,0.7232
SGDNZD,1984-01-23,0.7243,0.7243,0.7243,0.7243
SGDNZD,1984-01-30,0.7232,0.7232,0.7232,0.7232
SGDNZD,1984-02-06,0.7176,0.7176,0.7176,0.7176
SGDNZD,1984-02-13,0.7176,0.7176,0.7176,0.7176
SGDNZD,1984-02-20,0.7176,0.7176,0.7176,0.7176
SGDNZD,1984-03-01,0.7086,0.7086,0.7086,0.7086
SGDNZD,1984-03-05,0.7272,0.7272,0.7272,0.7272
SGDNZD,1984-03-12,0.7171,0.7171,0.7171,0.7171
SGDNZD,1984-03-19,0.7167,0.7167,0.7167,0.7167
SGDNZD,1984-03-26,0.7204,0.7204,0.7204,0.7204
SGDNZD,1984-04-02,0.7224,0.7224,0.7224,0.7224
SGDNZD,1984-04-09,0.7256,0.7256,0.7256,0.7256
SGDNZD,1984-04-16,0.7294,0.7294,0.7294,0.7294
SGDNZD,1984-04-24,0.7299,0.7299,0.7299,0.7299
SGDNZD,1984-05-02,0.7309,0.7309,0.7309,0.7309
SGDNZD,1984-05-07,0.7341,0.7341,0.7341,0.7341
SGDNZD,1984-05-14,0.7354,0.7354,0.7354,0.7354
SGDNZD,1984-05-21,0.7312,0.7312,0.7312,0.7312
SGDNZD,1984-05-28,0.7312,0.7312,0.7312,0.7312
SGDNZD,1984-06-04,0.7331,0.7331,0.7331,0.7331
SGDNZD,1984-06-11,0.7332,0.7332,0.7332,0.7332
SGDNZD,1984-06-18,0.736,0.736,0.736,0.736
SGDNZD,1984-06-25,0.7432,0.7432,0.7432,0.7432
SGDNZD,1984-07-02,0.7401,0.7401,0.7401,0.7401
SGDNZD,1984-07-09,0.7507,0.7507,0.7507,0.7507
SGDNZD,1984-07-16,0.755,0.755,0.755,0.755
SGDNZD,1984-07-23,0.9391,0.9391,0.9391,0.9391
SGDNZD,1984-07-30,0.9392,0.9392,0.9392,0.9392
SGDNZD,1984-08-06,0.9344,0.9344,0.9344,0.9344
SGDNZD,1984-08-13,0.9359,0.9359,0.9359,0.9359
SGDNZD,1984-08-20,0.9311,0.9311,0.9311,0.9311
SGDNZD,1984-08-27,0.9311,0.9311,0.9311,0.9311
SGDNZD,1984-09-01,0.9318,0.9318,0.9318,0.9318
SGDNZD,1984-09-10,0.9425,0.9425,0.9425,0.9425
SGDNZD,1984-09-17,0.9458,0.9458,0.9458,0.9458
SGDNZD,1984-09-24,0.9465,0.9465,0.9465,0.9465
SGDNZD,1984-10-01,0.9463,0.9463,0.9463,0.9463
SGDNZD,1984-10-08,0.9475,0.9475,0.9475,0.9475
SGDNZD,1984-10-15,0.954,0.954,0.954,0.954
SGDNZD,1984-10-22,0.9544,0.9544,0.9544,0.9544
SGDNZD,1984-10-29,0.951,0.951,0.951,0.951
SGDNZD,1984-11-05,0.9375,0.9375,0.9375,0.9375
