ticker,date,open,high,low,close
TWDJPY,1984-01-02,5.8048,5.8048,5.8048,5.8048
TWDJPY,1984-01-09,5.8643,5.8643,5.8643,5.8643
TWDJPY,1984-01-16,5.8643,5.8643,5.8643,5.8643
TWDJPY,1984-01-23,5.8643,5.8643,5.8643,5.8643
TWDJPY,1984-01-30,5.8595,5.8595,5.8595,5.8595
TWDJPY,1984-02-06,5.8595,5.8595,5.8595,5.8595
TWDJPY,1984-02-13,5.8595,5.8595,5.8595,5.8595
TWDJPY,1984-02-20,5.8,5.8,5.8,5.8
TWDJPY,1984-03-01,5.8213,5.8213,5.8213,5.8213
TWDJPY,1984-03-05,5.7723,5.7723,5.7723,5.7723
TWDJPY,1984-03-12,5.4959,5.4959,5.4959,5.4959
TWDJPY,1984-03-19,5.6188,5.6188,5.6188,5.6188
TWDJPY,1984-03-26,5.5674,5.5674,5.5674,5.5674
TWDJPY,1984-04-02,5.5674,5.5674,5.5674,5.5674
TWDJPY,1984-04-09,5.5674,5.5674,5.5674,5.5674
TWDJPY,1984-04-16,5.5918,5.5918,5.5918,5.5918
TWDJPY,1984-04-24,5.6551,5.6551,5.6551,5.6551
TWDJPY,1984-05-02,5.6592,5.6592,5.6592,5.6592
TWDJPY,1984-05-07,5.7143,5.7143,5.7143,5.7143
TWDJPY,1984-05-14,5.7143,5.7143,5.7143,5.7143
TWDJPY,1984-05-21,5.8167,5.8167,5.8167,5.8167
TWDJPY,1984-05-28,5.8167,5.8167,5.8167,5.8167
TWDJPY,1984-06-04,5.7813,5.7813,5.7813,5.7813
TWDJPY,1984-06-11,5.75,5.75,5.75,5.75
TWDJPY,1984-06-18,5.8083,5.8083,5.8083,5.8083
TWDJPY,1984-06-25,5.8104,5.8104,5.8104,5.8104
TWDJPY,1984-07-02,6.0064,6.0064,6.0064,6.0064
TWDJPY,1984-07-09,6.0234,6.0234,6.0234,6.0234
TWDJPY,1984-07-16,6.0319,6.0319,6.0319,6.0319
TWDJPY,1984-07-23,6.0851,6.0851,6.0851,6.0851
TWDJPY,1984-07-30,6.2565,6.2565,6.2565,6.2565
TWDJPY,1984-08-06,6.2804,6.2804,6.2804,6.2804
TWDJPY,1984-08-13,6.2804,6.2804,6.2804,6.2804
TWDJPY,1984-08-20,6.1532,6.1532,6.1532,6.1532
TWDJPY,1984-08-27,6.1511,6.1511,6.1511,6.1511
TWDJPY,1984-09-01,6.1706,6.1706,6.1706,6.1706
TWDJPY,1984-09-10,6.2216,6.2216,6.2216,6.2216
TWDJPY,1984-09-17,6.2628,6.2628,6.2628,6.2628
TWDJPY,1984-09-24,6.2941,6.2941,6.2941,6.2941
TWDJPY,1984-10-01,6.3,6.3,6.3,6.3
TWDJPY,1984-10-08,6.251,6.251,6.251,6.251
TWDJPY,1984-10-15,6.3059,6.3059,6.3059,6.3059
TWDJPY,1984-10-22,6.3373,6.3373,6.3373,6.3373
TWDJPY,1984-10-29,6.2784,6.2784,6.2784,6.2784
TWDJPY,1984-11-05,6.2961,6.2961,6.2961,6.2961
TWDJPY,1984-11-12,6.1961,6.1961,6.1961,6.1961
TWDJPY,1984-11-19,6.0385,6.0385,6.0385,6.0385
TWDJPY,1984-11-26,6.2039,6.2039,6.2039,6.2039
TWDJPY,1984-12-01,6.2549,6.2549,6.2549,6.2549
TWDJPY,1984-12-10,6.251,6.251,6.251,6.251
TWDJPY,1984-12-17,6.249,6.249,6.249,6.249
TWDJPY,1984-12-24,6.2529,6.2529,6.2529,6.2529
TWDJPY,1985-01-01,6.2375,6.2375,6.2375,6.2375
TWDJPY,1985-01-07,6.4018,6.4018,6.4018,6.4018
TWDJPY,1985-01-14,6.3709,6.3709,6.3709,6.3709
TWDJPY,1985-01-21,6.4182,6.4182,6.4182,6.4182
TWDJPY,1985-01-28,6.4509,6.4509,6.4509,6.4509
TWDJPY,1985-02-04,6.4491,6.4491,6.4491,6.4491
TWDJPY,1985-02-11,6.6167,6.6167,6.6167,6.6167
TWDJPY,1985-02-18,6.6648,6.6648,6.6648,6.6648
TWDJPY,1985-02-25,6.6482,6.6482,6.6482,6.6482
TWDJPY,1985-03-04,6.5055,6.5055,6.5055,6.5055
TWDJPY,1985-03-11,6.7148,6.7148,6.7148,6.7148
TWDJPY,1985-03-18,6.5982,6.5982,6.5982,6.5982
TWDJPY,1985-03-25,6.5296,6.5296,6.5296,6.5296
TWDJPY,1985-03-29,6.3382,6.3382,6.3382,6.3382
TWDJPY,1985-04-01,6.3382,6.3382,6.3382,6.3382
TWDJPY,1985-04-09,6.4019,6.4019,6.4019,6.4019
TWDJPY,1985-04-15,6.4482,6.4482,6.4482,6.4482
TWDJPY,1985-04-22,6.3259,6.3259,6.3259,6.3259
TWDJPY,1985-04-29,6.1873,6.1873,6.1873,6.1873
TWDJPY,1985-05-06,6.35,6.35,6.35,6.35
TWDJPY,1985-05-13,6.3236,6.3236,6.3236,6.3236
TWDJPY,1985-05-20,6.3111,6.3111,6.3111,6.3111
TWDJPY,1985-05-27,6.3111,6.3111,6.3111,6.3111
TWDJPY,1985-06-01,6.3238,6.3238,6.3238,6.3238
TWDJPY,1985-06-10,6.2984,6.2984,6.2984,6.2984
TWDJPY,1985-06-17,6.2391,6.2391,6.2391,6.2391
TWDJPY,1985-06-24,6.1859,6.1859,6.1859,6.1859
TWDJPY,1985-07-01,6.1797,6.1797,6.1797,6.1797
TWDJPY,1985-07-08,6.1641,6.1641,6.1641,6.1641
TWDJPY,1985-07-15,6.125,6.125,6.125,6.125
TWDJPY,1985-07-23,5.9262,5.9262,5.9262,5.9262
TWDJPY,1985-07-29,5.8646,5.8646,5.8646,5.8646
TWDJPY,1985-08-05,5.8585,5.8585,5.8585,5.8585
TWDJPY,1985-08-12,5.8785,5.8785,5.8785,5.8785
TWDJPY,1985-08-19,5.8015,5.8015,5.8015,5.8015
TWDJPY,1985-08-26,5.9094,5.9094,5.9094,5.9094
TWDJPY,1985-09-02,5.8185,5.8185,5.8185,5.8185
TWDJPY,1985-09-09,5.8662,5.8662,5.8662,5.8662
TWDJPY,1985-09-16,6.0281,6.0281,6.0281,6.0281
TWDJPY,1985-09-23,5.9703,5.9703,5.9703,5.9703
TWDJPY,1985-09-30,5.6773,5.6773,5.6773,5.6773
TWDJPY,1985-10-07,5.3614,5.3614,5.3614,5.3614
TWDJPY,1985-10-14,5.3271,5.3271,5.3271,5.3271
TWDJPY,1985-10-21,5.3757,5.3757,5.3757,5.3757
TWDJPY,1985-10-28,5.34,5.34,5.34,5.34
TWDJPY,1985-11-04,5.269,5.269,5.269,5.269
TWDJPY,1985-11-11,5.1958,5.1958,5.1958,5.1958
TWDJPY,1985-11-18,5.1411,5.1411,5.1411,5.1411
TWDJPY,1985-11-25,5.0797,5.0797,5.0797,5.0797
TWDJPY,1985-12-02,5.0568,5.0568,5.0568,5.0568
TWDJPY,1985-12-09,5.1514,5.1514,5.1514,5.1514
TWDJPY,1985-12-16,5.0781,5.0781,5.0781,5.0781
TWDJPY,1985-12-23,5.0781,5.0781,5.0781,5.0781
TWDJPY,1986-01-01,5.0781,5.0781,5.0781,5.0781
TWDJPY,1986-01-06,5.0507,5.0507,5.0507,5.0507
TWDJPY,1986-01-13,5.0795,5.0795,5.0795,5.0795
TWDJPY,1986-01-20,5.0795,5.0795,5.0795,5.0795
TWDJPY,1986-01-27,5.1027,5.1027,5.1027,5.1027
TWDJPY,1986-02-01,4.9517,4.9517,4.9517,4.9517
TWDJPY,1986-02-10,4.8562,4.8562,4.8562,4.8562
TWDJPY,1986-02-17,4.7744,4.7744,4.7744,4.7744
TWDJPY,1986-02-24,4.6602,4.6602,4.6602,4.6602
TWDJPY,1986-03-01,4.6272,4.6272,4.6272,4.6272
TWDJPY,1986-03-03,4.6196,4.6196,4.6196,4.6196
TWDJPY,1986-03-10,4.5837,4.5837,4.5837,4.5837
TWDJPY,1986-03-17,4.5925,4.5925,4.5925,4.5925
TWDJPY,1986-03-18,4.6,4.6,4.6,4.6
TWDJPY,1986-03-24,4.4979,4.4979,4.4979,4.4979
TWDJPY,1986-04-01,4.6258,4.6258,4.6258,4.6258
TWDJPY,1986-04-07,4.6085,4.6085,4.6085,4.6085
TWDJPY,1986-04-09,4.6106,4.6106,4.6106,4.6106
TWDJPY,1986-04-14,4.6979,4.6979,4.6979,4.6979
TWDJPY,1986-04-21,4.6277,4.6277,4.6277,4.6277
TWDJPY,1986-04-28,4.3784,4.3784,4.3784,4.3784
TWDJPY,1986-05-05,4.3398,4.3398,4.3398,4.3398
TWDJPY,1986-05-12,4.3303,4.3303,4.3303,4.3303
TWDJPY,1986-05-19,4.2277,4.2277,4.2277,4.2277
TWDJPY,1986-05-26,4.3394,4.3394,4.3394,4.3394
TWDJPY,1986-06-02,4.4337,4.4337,4.4337,4.4337
TWDJPY,1986-06-09,4.4845,4.4845,4.4845,4.4845
TWDJPY,1986-06-16,4.4133,4.4133,4.4133,4.4133
TWDJPY,1986-06-23,4.3687,4.3687,4.3687,4.3687
TWDJPY,1986-06-30,4.3687,4.3687,4.3687,4.3687
TWDJPY,1986-07-07,4.302,4.302,4.302,4.302
TWDJPY,1986-07-14,4.2177,4.2177,4.2177,4.2177
TWDJPY,1986-07-21,4.2177,4.2177,4.2177,4.2177
TWDJPY,1986-07-28,4.0724,4.0724,4.0724,4.0724
TWDJPY,1986-08-04,4.101,4.101,4.101,4.101
TWDJPY,1986-08-11,4.1095,4.1095,4.1095,4.1095
TWDJPY,1986-08-18,4.1577,4.1577,4.1577,4.1577
TWDJPY,1986-08-25,4.1362,4.1362,4.1362,4.1362
TWDJPY,1986-09-01,4.15,4.15,4.15,4.15
TWDJPY,1986-09-08,4.176,4.176,4.176,4.176
TWDJPY,1986-09-15,4.2039,4.2039,4.2039,4.2039
TWDJPY,1986-09-22,4.2085,4.2085,4.2085,4.2085
TWDJPY,1986-09-29,4.1762,4.1762,4.1762,4.1762
TWDJPY,1986-10-06,4.19,4.19,4.19,4.19
TWDJPY,1986-10-13,4.2016,4.2016,4.2016,4.2016
TWDJPY,1986-10-20,4.2109,4.2109,4.2109,4.2109
TWDJPY,1986-10-27,4.2305,4.2305,4.2305,4.2305
TWDJPY,1986-11-01,4.3752,4.3752,4.3752,4.3752
TWDJPY,1986-11-10,4.5139,4.5139,4.5139,4.5139
TWDJPY,1986-11-17,4.4642,4.4642,4.4642,4.4642
TWDJPY,1986-11-24,4.509,4.509,4.509,4.509
TWDJPY,1986-12-01,4.5057,4.5057,4.5057,4.5057
TWDJPY,1986-12-08,4.4771,4.4771,4.4771,4.4771
TWDJPY,1986-12-15,4.4813,4.4813,4.4813,4.4813
TWDJPY,1986-12-22,4.568,4.568,4.568,4.568
TWDJPY,1986-12-31,4.4919,4.4919,4.4919,4.4919
TWDJPY,1987-01-12,4.4871,4.4871,4.4871,4.4871
TWDJPY,1987-01-19,4.4056,4.4056,4.4056,4.4056
TWDJPY,1987-01-26,4.3603,4.3603,4.3603,4.3603
TWDJPY,1987-02-01,4.3241,4.3241,4.3241,4.3241
