ticker,date,open,high,low,close
TWDKRW,1984-01-09,20.525,20.525,20.525,20.525
TWDKRW,1984-01-16,20.525,20.525,20.525,20.525
TWDKRW,1984-01-23,20.525,20.525,20.525,20.525
TWDKRW,1984-01-30,20.508,20.508,20.508,20.508
TWDKRW,1984-02-06,20.508,20.508,20.508,20.508
TWDKRW,1984-02-13,20.508,20.508,20.508,20.508
TWDKRW,1984-02-20,20.3,20.3,20.3,20.3
TWDKRW,1984-03-01,19.543,19.543,19.543,19.543
TWDKRW,1984-03-05,19.379,19.379,19.379,19.379
TWDKRW,1984-03-12,19.236,19.236,19.236,19.236
TWDKRW,1984-03-19,19.264,19.264,19.264,19.264
TWDKRW,1984-03-26,19.486,19.486,19.486,19.486
TWDKRW,1984-04-02,19.486,19.486,19.486,19.486
TWDKRW,1984-04-09,19.486,19.486,19.486,19.486
TWDKRW,1984-04-16,19.571,19.571,19.571,19.571
TWDKRW,1984-04-24,19.793,19.793,19.793,19.793
TWDKRW,1984-05-02,19.807,19.807,19.807,19.807
TWDKRW,1984-05-07,20.0,20.0,20.0,20.0
TWDKRW,1984-05-14,20.0,20.0,20.0,20.0
TWDKRW,1984-05-21,19.943,19.943,19.943,19.943
TWDKRW,1984-05-28,19.943,19.943,19.943,19.943
TWDKRW,1984-06-04,19.821,19.821,19.821,19.821
TWDKRW,1984-06-11,19.714,19.714,19.714,19.714
TWDKRW,1984-06-18,19.914,19.914,19.914,19.914
TWDKRW,1984-06-25,19.921,19.921,19.921,19.921
TWDKRW,1984-07-02,20.164,20.164,20.164,20.164
TWDKRW,1984-07-09,20.221,20.221,20.221,20.221
TWDKRW,1984-07-16,20.25,20.25,20.25,20.25
TWDKRW,1984-07-23,20.429,20.429,20.429,20.429
TWDKRW,1984-07-30,20.557,20.557,20.557,20.557
TWDKRW,1984-08-06,20.636,20.636,20.636,20.636
TWDKRW,1984-08-13,20.636,20.636,20.636,20.636
TWDKRW,1984-08-20,20.657,20.657,20.657,20.657
TWDKRW,1984-08-27,20.65,20.65,20.65,20.65
