ticker,date,open,high,low,close
USDCNY,1984-01-09,3.574,3.574,3.574,3.574
USDCNY,1984-01-16,3.6531,3.6531,3.6531,3.6531
USDCNY,1984-01-23,3.6531,3.6531,3.6531,3.6531
USDCNY,1984-01-30,3.6531,3.6531,3.6531,3.6531
USDCNY,1984-02-06,3.6531,3.6531,3.6531,3.6531
USDCNY,1984-02-13,3.6531,3.6531,3.6531,3.6531
USDCNY,1984-02-20,3.6981,3.6981,3.6981,3.6981
USDCNY,1984-03-01,3.6066,3.6066,3.6066,3.6066
USDCNY,1984-03-05,3.6455,3.6455,3.6455,3.6455
USDCNY,1984-03-12,3.6735,3.6735,3.6735,3.6735
USDCNY,1984-03-19,3.6735,3.6735,3.6735,3.6735
USDCNY,1984-03-26,3.7075,3.7075,3.7075,3.7075
USDCNY,1984-04-02,3.6455,3.6455,3.6455,3.6455
USDCNY,1984-04-09,3.7075,3.7075,3.7075,3.7075
USDCNY,1984-04-16,3.7075,3.7075,3.7075,3.7075
USDCNY,1984-04-24,3.7415,3.7415,3.7415,3.7415
USDCNY,1984-05-02,3.8194,3.8194,3.8194,3.8194
USDCNY,1984-05-07,3.8542,3.8542,3.8542,3.8542
USDCNY,1984-05-14,3.8542,3.8542,3.8542,3.8542
USDCNY,1984-05-21,3.9362,3.9362,3.9362,3.9362
USDCNY,1984-05-28,3.9362,3.9362,3.9362,3.9362
USDCNY,1984-06-04,3.8542,3.8542,3.8542,3.8542
USDCNY,1984-06-11,3.9007,3.9007,3.9007,3.9007
USDCNY,1984-06-18,3.9362,3.9362,3.9362,3.9362
USDCNY,1984-06-25,3.9362,3.9362,3.9362,3.9362
USDCNY,1984-07-02,3.9716,3.9716,3.9716,3.9716
USDCNY,1984-07-09,4.0433,4.0433,4.0433,4.0433
USDCNY,1984-07-16,4.0433,4.0433,4.0433,4.0433
USDCNY,1984-07-23,4.0794,4.0794,4.0794,4.0794
USDCNY,1984-07-30,4.1697,4.1697,4.1697,4.1697
USDCNY,1984-08-06,4.0794,4.0794,4.0794,4.0794
USDCNY,1984-08-13,4.2642,4.2642,4.2642,4.2642
USDCNY,1984-08-20,4.1697,4.1697,4.1697,4.1697
USDCNY,1984-08-27,4.2642,4.2642,4.2642,4.2642
USDCNY,1984-09-01,4.2708,4.2708,4.2708,4.2708
USDCNY,1984-09-10,4.4765,4.4765,4.4765,4.4765
USDCNY,1984-09-17,4.5126,4.5126,4.5126,4.5126
