ticker,date,open,high,low,close
USDHKD,1984-01-09,7.7598,7.7598,7.7598,7.7598
USDHKD,1984-01-16,7.8221,7.8221,7.8221,7.8221
USDHKD,1984-01-23,7.7638,7.7638,7.7638,7.7638
USDHKD,1984-01-30,7.8095,7.8095,7.8095,7.8095
USDHKD,1984-02-06,7.7969,7.7969,7.7969,7.7969
USDHKD,1984-02-13,7.7575,7.7575,7.7575,7.7575
USDHKD,1984-02-20,7.8,7.8,7.8,7.8
USDHKD,1984-03-01,7.8014,7.8014,7.8014,7.8014
USDHKD,1984-03-05,7.7857,7.7857,7.7857,7.7857
USDHKD,1984-03-12,7.7971,7.7971,7.7971,7.7971
USDHKD,1984-03-19,7.8522,7.8522,7.8522,7.8522
USDHKD,1984-03-26,7.8129,7.8129,7.8129,7.8129
USDHKD,1984-04-02,7.7779,7.7779,7.7779,7.7779
USDHKD,1984-04-09,7.81,7.81,7.81,7.81
USDHKD,1984-04-16,7.8207,7.8207,7.8207,7.8207
USDHKD,1984-04-24,7.7752,7.7752,7.7752,7.7752
USDHKD,1984-05-02,7.8184,7.8184,7.8184,7.8184
USDHKD,1984-05-07,7.8085,7.8085,7.8085,7.8085
USDHKD,1984-05-14,7.8479,7.8479,7.8479,7.8479
USDHKD,1984-05-21,7.8296,7.8296,7.8296,7.8296
USDHKD,1984-05-28,7.819,7.819,7.819,7.819
USDHKD,1984-06-04,7.8141,7.8141,7.8141,7.8141
USDHKD,1984-06-11,7.8057,7.8057,7.8057,7.8057
USDHKD,1984-06-18,7.7979,7.7979,7.7979,7.7979
USDHKD,1984-06-25,7.8317,7.8317,7.8317,7.8317
USDHKD,1984-07-02,7.8021,7.8021,7.8021,7.8021
USDHKD,1984-07-09,7.8901,7.8901,7.8901,7.8901
USDHKD,1984-07-16,7.8608,7.8608,7.8608,7.8608
USDHKD,1984-07-23,7.8153,7.8153,7.8153,7.8153
USDHKD,1984-07-30,7.85,7.85,7.85,7.85
USDHKD,1984-08-06,7.8688,7.8688,7.8688,7.8688
USDHKD,1984-08-13,7.8701,7.8701,7.8701,7.8701
USDHKD,1984-08-20,7.8639,7.8639,7.8639,7.8639
USDHKD,1984-08-27,7.8542,7.8542,7.8542,7.8542
USDHKD,1984-09-01,7.8344,7.8344,7.8344,7.8344
USDHKD,1984-09-10,7.8279,7.8279,7.8279,7.8279
USDHKD,1984-09-17,7.8491,7.8491,7.8491,7.8491
USDHKD,1984-09-24,7.8292,7.8292,7.8292,7.8292
USDHKD,1984-10-01,7.8037,7.8037,7.8037,7.8037
USDHKD,1984-10-08,7.8375,7.8375,7.8375,7.8375
USDHKD,1984-10-15,7.8149,7.8149,7.8149,7.8149
USDHKD,1984-10-22,7.8272,7.8272,7.8272,7.8272
USDHKD,1984-10-29,7.8137,7.8137,7.8137,7.8137
USDHKD,1984-11-05,7.8068,7.8068,7.8068,7.8068
USDHKD,1984-11-12,7.7887,7.7887,7.7887,7.7887
USDHKD,1984-11-19,7.8329,7.8329,7.8329,7.8329
USDHKD,1984-11-26,7.79,7.79,7.79,7.79
USDHKD,1984-12-01,7.8006,7.8006,7.8006,7.8006
USDHKD,1984-12-10,7.8398,7.8398,7.8398,7.8398
USDHKD,1984-12-17,7.8311,7.8311,7.8311,7.8311
USDHKD,1984-12-24,7.841,7.841,7.841,7.841
USDHKD,1985-01-01,7.8409,7.8409,7.8409,7.8409
