ticker,date,open,high,low,close
USDNOK,1971-01-04,7.1359,7.1359,7.1359,7.1359
USDNOK,1971-01-05,7.1422,7.1422,7.1422,7.1422
USDNOK,1971-01-06,7.1367,7.1367,7.1367,7.1367
USDNOK,1971-01-07,7.1386,7.1386,7.1386,7.1386
USDNOK,1971-01-08,7.1382,7.1382,7.1382,7.1382
USDNOK,1971-01-11,7.139,7.139,7.139,7.139
USDNOK,1971-01-12,7.1411,7.1411,7.1411,7.1411
USDNOK,1971-01-13,7.139,7.139,7.139,7.139
USDNOK,1971-01-14,7.1403,7.1403,7.1403,7.1403
USDNOK,1971-01-15,7.1414,7.1414,7.1414,7.1414
USDNOK,1971-01-18,7.1406,7.1406,7.1406,7.1406
USDNOK,1971-01-19,7.1429,7.1429,7.1429,7.1429
USDNOK,1971-01-20,7.1429,7.1429,7.1429,7.1429
USDNOK,1971-01-21,7.1443,7.1443,7.1443,7.1443
USDNOK,1971-01-22,7.1429,7.1429,7.1429,7.1429
USDNOK,1971-01-25,7.1435,7.1435,7.1435,7.1435
USDNOK,1971-01-26,7.1443,7.1443,7.1443,7.1443
USDNOK,1971-01-27,7.1414,7.1414,7.1414,7.1414
USDNOK,1971-01-28,7.1431,7.1431,7.1431,7.1431
USDNOK,1971-01-29,7.1445,7.1445,7.1445,7.1445
USDNOK,1971-02-01,7.1465,7.1465,7.1465,7.1465
USDNOK,1971-02-02,7.1465,7.1465,7.1465,7.1465
USDNOK,1971-02-03,7.1439,7.1439,7.1439,7.1439
USDNOK,1971-02-04,7.1431,7.1431,7.1431,7.1431
USDNOK,1971-02-05,7.1435,7.1435,7.1435,7.1435
USDNOK,1971-02-08,7.1429,7.1429,7.1429,7.1429
USDNOK,1971-02-09,7.1397,7.1397,7.1397,7.1397
USDNOK,1971-02-10,7.1412,7.1412,7.1412,7.1412
USDNOK,1971-02-11,7.141,7.141,7.141,7.141
USDNOK,1971-02-16,7.1406,7.1406,7.1406,7.1406
USDNOK,1971-02-17,7.139,7.139,7.139,7.139
USDNOK,1971-02-18,7.1418,7.1418,7.1418,7.1418
USDNOK,1971-02-19,7.1437,7.1437,7.1437,7.1437
USDNOK,1971-02-22,7.1434,7.1434,7.1434,7.1434
USDNOK,1971-02-23,7.1429,7.1429,7.1429,7.1429
USDNOK,1971-02-24,7.1418,7.1418,7.1418,7.1418
USDNOK,1971-02-25,7.1414,7.1414,7.1414,7.1414
USDNOK,1971-02-26,7.142,7.142,7.142,7.142
USDNOK,1971-03-01,7.1416,7.1416,7.1416,7.1416
USDNOK,1971-03-02,7.1413,7.1413,7.1413,7.1413
USDNOK,1971-03-03,7.1376,7.1376,7.1376,7.1376
USDNOK,1971-03-04,7.1389,7.1389,7.1389,7.1389
USDNOK,1971-03-05,7.1382,7.1382,7.1382,7.1382
USDNOK,1971-03-08,7.1365,7.1365,7.1365,7.1365
USDNOK,1971-03-09,7.1352,7.1352,7.1352,7.1352
