ticker,date,open,high,low,close
USDNZD,1971-01-04,0.8978,0.8978,0.8978,0.8978
USDNZD,1971-01-05,0.8974,0.8974,0.8974,0.8974
USDNZD,1971-01-06,0.8968,0.8968,0.8968,0.8968
USDNZD,1971-01-07,0.8969,0.8969,0.8969,0.8969
USDNZD,1971-01-08,0.8965,0.8965,0.8965,0.8965
USDNZD,1971-01-11,0.8958,0.8958,0.8958,0.8958
USDNZD,1971-01-12,0.8955,0.8955,0.8955,0.8955
USDNZD,1971-01-13,0.8947,0.8947,0.8947,0.8947
USDNZD,1971-01-14,0.8929,0.8929,0.8929,0.8929
USDNZD,1971-01-15,0.8934,0.8934,0.8934,0.8934
USDNZD,1971-01-18,0.8936,0.8936,0.8936,0.8936
USDNZD,1971-01-19,0.8925,0.8925,0.8925,0.8925
USDNZD,1971-01-20,0.8925,0.8925,0.8925,0.8925
USDNZD,1971-01-21,0.8921,0.8921,0.8921,0.8921
USDNZD,1971-01-22,0.8917,0.8917,0.8917,0.8917
USDNZD,1971-01-25,0.89,0.89,0.89,0.89
USDNZD,1971-01-26,0.8896,0.8896,0.8896,0.8896
USDNZD,1971-01-27,0.8895,0.8895,0.8895,0.8895
USDNZD,1971-01-28,0.8892,0.8892,0.8892,0.8892
USDNZD,1971-01-29,0.8891,0.8891,0.8891,0.8891
USDNZD,1971-02-01,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-02-02,0.8888,0.8888,0.8888,0.8888
USDNZD,1971-02-03,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-02-04,0.8893,0.8893,0.8893,0.8893
USDNZD,1971-02-05,0.8901,0.8901,0.8901,0.8901
USDNZD,1971-02-08,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-02-09,0.8899,0.8899,0.8899,0.8899
USDNZD,1971-02-10,0.8896,0.8896,0.8896,0.8896
USDNZD,1971-02-11,0.8897,0.8897,0.8897,0.8897
USDNZD,1971-02-16,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-02-17,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-02-18,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-02-19,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-02-22,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-02-23,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-02-24,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-02-25,0.889,0.889,0.889,0.889
USDNZD,1971-02-26,0.8896,0.8896,0.8896,0.8896
USDNZD,1971-03-01,0.8895,0.8895,0.8895,0.8895
USDNZD,1971-03-02,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-03-03,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-03-04,0.8889,0.8889,0.8889,0.8889
USDNZD,1971-03-05,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-03-08,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-03-09,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-03-10,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-03-11,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-03-12,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-03-15,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-03-16,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-03-17,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-03-18,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-03-19,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-03-22,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-03-23,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-03-24,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-03-25,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-03-26,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-03-29,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-03-30,0.8888,0.8888,0.8888,0.8888
USDNZD,1971-03-31,0.8893,0.8893,0.8893,0.8893
USDNZD,1971-04-01,0.8901,0.8901,0.8901,0.8901
USDNZD,1971-04-02,0.8909,0.8909,0.8909,0.8909
USDNZD,1971-04-05,0.8895,0.8895,0.8895,0.8895
USDNZD,1971-04-06,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-04-07,0.8892,0.8892,0.8892,0.8892
USDNZD,1971-04-08,0.8893,0.8893,0.8893,0.8893
USDNZD,1971-04-09,0.8893,0.8893,0.8893,0.8893
USDNZD,1971-04-12,0.8892,0.8892,0.8892,0.8892
USDNZD,1971-04-13,0.8893,0.8893,0.8893,0.8893
USDNZD,1971-04-14,0.8889,0.8889,0.8889,0.8889
USDNZD,1971-04-15,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-04-16,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-04-19,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-04-20,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-04-21,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-04-22,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-04-23,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-04-26,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-04-27,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-04-28,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-04-29,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-04-30,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-05-03,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-05-04,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-05-05,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-05-06,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-05-07,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-05-10,0.8891,0.8891,0.8891,0.8891
USDNZD,1971-05-11,0.8892,0.8892,0.8892,0.8892
USDNZD,1971-05-12,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-05-13,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-05-14,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-05-17,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-05-18,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-05-19,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-05-20,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-05-21,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-05-24,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-05-25,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-05-26,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-05-27,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-05-28,0.8889,0.8889,0.8889,0.8889
USDNZD,1971-06-01,0.8894,0.8894,0.8894,0.8894
USDNZD,1971-06-02,0.8892,0.8892,0.8892,0.8892
USDNZD,1971-06-03,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-06-04,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-06-07,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-06-08,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-06-09,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-06-10,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-06-11,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-06-14,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-06-15,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-06-16,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-06-17,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-06-18,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-06-21,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-06-22,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-06-23,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-06-24,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-06-25,0.8884,0.8884,0.8884,0.8884
USDNZD,1971-06-28,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-06-29,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-06-30,0.8883,0.8883,0.8883,0.8883
USDNZD,1971-07-01,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-07-02,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-07-06,0.8888,0.8888,0.8888,0.8888
USDNZD,1971-07-07,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-07-08,0.8882,0.8882,0.8882,0.8882
USDNZD,1971-07-09,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-07-12,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-07-13,0.8888,0.8888,0.8888,0.8888
USDNZD,1971-07-14,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-07-15,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-07-16,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-07-19,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-07-20,0.8888,0.8888,0.8888,0.8888
USDNZD,1971-07-21,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-07-22,0.8886,0.8886,0.8886,0.8886
USDNZD,1971-07-23,0.8885,0.8885,0.8885,0.8885
USDNZD,1971-07-26,0.8889,0.8889,0.8889,0.8889
USDNZD,1971-07-27,0.8889,0.8889,0.8889,0.8889
USDNZD,1971-07-28,0.8887,0.8887,0.8887,0.8887
USDNZD,1971-07-29,0.8887,0.8887,0.8887,0.8887
