ticker,date,open,high,low,close
ZARCNY,1984-01-09,2.8159,2.8159,2.8159,2.8159
ZARCNY,1984-01-16,2.9151,2.9151,2.9151,2.9151
ZARCNY,1984-01-23,2.9151,2.9151,2.9151,2.9151
ZARCNY,1984-01-30,2.8782,2.8782,2.8782,2.8782
ZARCNY,1984-02-06,2.952,2.952,2.952,2.952
ZARCNY,1984-02-13,2.952,2.952,2.952,2.952
ZARCNY,1984-02-20,2.9811,2.9811,2.9811,2.9811
ZARCNY,1984-03-01,2.9836,2.9836,2.9836,2.9836
ZARCNY,1984-03-05,3.0435,3.0435,3.0435,3.0435
ZARCNY,1984-03-12,3.0272,3.0272,3.0272,3.0272
ZARCNY,1984-03-19,2.9592,2.9592,2.9592,2.9592
ZARCNY,1984-03-26,2.9932,2.9932,2.9932,2.9932
ZARCNY,1984-04-02,2.9431,2.9431,2.9431,2.9431
ZARCNY,1984-04-09,2.9592,2.9592,2.9592,2.9592
ZARCNY,1984-04-16,2.9932,2.9932,2.9932,2.9932
ZARCNY,1984-04-24,2.9932,2.9932,2.9932,2.9932
ZARCNY,1984-05-02,3.0556,3.0556,3.0556,3.0556
ZARCNY,1984-05-07,3.0556,3.0556,3.0556,3.0556
ZARCNY,1984-05-14,2.9861,2.9861,2.9861,2.9861
ZARCNY,1984-05-21,3.0851,3.0851,3.0851,3.0851
ZARCNY,1984-05-28,3.0851,3.0851,3.0851,3.0851
ZARCNY,1984-06-04,3.0556,3.0556,3.0556,3.0556
ZARCNY,1984-06-11,3.0142,3.0142,3.0142,3.0142
ZARCNY,1984-06-18,3.0142,3.0142,3.0142,3.0142
ZARCNY,1984-06-25,2.9078,2.9078,2.9078,2.9078
ZARCNY,1984-07-02,2.9078,2.9078,2.9078,2.9078
ZARCNY,1984-07-09,2.7437,2.7437,2.7437,2.7437
ZARCNY,1984-07-16,2.7437,2.7437,2.7437,2.7437
ZARCNY,1984-07-23,2.6354,2.6354,2.6354,2.6354
ZARCNY,1984-07-30,2.5461,2.5461,2.5461,2.5461
ZARCNY,1984-08-06,2.5993,2.5993,2.5993,2.5993
ZARCNY,1984-08-13,2.6415,2.6415,2.6415,2.6415
ZARCNY,1984-08-20,2.6937,2.6937,2.6937,2.6937
ZARCNY,1984-08-27,2.7547,2.7547,2.7547,2.7547
ZARCNY,1984-09-01,2.7431,2.7431,2.7431,2.7431
ZARCNY,1984-09-10,2.7076,2.7076,2.7076,2.7076
ZARCNY,1984-09-17,2.6715,2.6715,2.6715,2.6715
ZARCNY,1984-09-24,2.7437,2.7437,2.7437,2.7437
ZARCNY,1984-10-01,2.7675,2.7675,2.7675,2.7675
ZARCNY,1984-10-08,2.7306,2.7306,2.7306,2.7306
ZARCNY,1984-10-15,2.6793,2.6793,2.6793,2.6793
ZARCNY,1984-10-22,2.6793,2.6793,2.6793,2.6793
ZARCNY,1984-10-29,2.3985,2.3985,2.3985,2.3985
ZARCNY,1984-11-05,2.5271,2.5271,2.5271,2.5271
ZARCNY,1984-11-12,2.5461,2.5461,2.5461,2.5461
ZARCNY,1984-11-19,2.6539,2.6539,2.6539,2.6539
ZARCNY,1984-11-26,2.7165,2.7165,2.7165,2.7165
ZARCNY,1984-12-01,2.6539,2.6539,2.6539,2.6539
ZARCNY,1984-12-10,2.7165,2.7165,2.7165,2.7165
ZARCNY,1984-12-17,2.5984,2.5984,2.5984,2.5984
ZARCNY,1984-12-24,2.5197,2.5197,2.5197,2.5197
ZARCNY,1985-01-01,2.5271,2.5271,2.5271,2.5271
ZARCNY,1985-01-07,2.3827,2.3827,2.3827,2.3827
ZARCNY,1985-01-14,2.2022,2.2022,2.2022,2.2022
ZARCNY,1985-01-21,2.2383,2.2383,2.2383,2.2383
ZARCNY,1985-01-28,2.3466,2.3466,2.3466,2.3466
ZARCNY,1985-02-04,2.491,2.491,2.491,2.491
ZARCNY,1985-02-11,2.6241,2.6241,2.6241,2.6241
ZARCNY,1985-02-18,2.6596,2.6596,2.6596,2.6596
ZARCNY,1985-02-25,2.305,2.305,2.305,2.305
ZARCNY,1985-03-04,2.4549,2.4549,2.4549,2.4549
ZARCNY,1985-03-11,2.5177,2.5177,2.5177,2.5177
ZARCNY,1985-03-18,2.5271,2.5271,2.5271,2.5271
ZARCNY,1985-03-25,2.5271,2.5271,2.5271,2.5271
ZARCNY,1985-03-29,2.6354,2.6354,2.6354,2.6354
ZARCNY,1985-04-01,2.5632,2.5632,2.5632,2.5632
ZARCNY,1985-04-09,2.5461,2.5461,2.5461,2.5461
ZARCNY,1985-04-15,2.6354,2.6354,2.6354,2.6354
ZARCNY,1985-04-22,2.6199,2.6199,2.6199,2.6199
ZARCNY,1985-04-29,2.6415,2.6415,2.6415,2.6415
ZARCNY,1985-05-06,2.4723,2.4723,2.4723,2.4723
ZARCNY,1985-05-13,2.5632,2.5632,2.5632,2.5632
ZARCNY,1985-05-20,2.5461,2.5461,2.5461,2.5461
ZARCNY,1985-05-27,2.5461,2.5461,2.5461,2.5461
ZARCNY,1985-06-01,2.5237,2.5237,2.5237,2.5237
ZARCNY,1985-06-10,2.5402,2.5402,2.5402,2.5402
ZARCNY,1985-06-17,2.5237,2.5237,2.5237,2.5237
ZARCNY,1985-06-24,2.5724,2.5724,2.5724,2.5724
ZARCNY,1985-07-01,2.5724,2.5724,2.5724,2.5724
ZARCNY,1985-07-08,2.6045,2.6045,2.6045,2.6045
ZARCNY,1985-07-15,2.6367,2.6367,2.6367,2.6367
ZARCNY,1985-07-23,2.6885,2.6885,2.6885,2.6885
ZARCNY,1985-07-29,2.5084,2.5084,2.5084,2.5084
ZARCNY,1985-08-05,2.3077,2.3077,2.3077,2.3077
ZARCNY,1985-08-12,2.4749,2.4749,2.4749,2.4749
ZARCNY,1985-08-19,2.107,2.107,2.107,2.107
ZARCNY,1985-08-26,2.0067,2.0067,2.0067,2.0067
