ticker,date,open,high,low,close
ZARDKK,1984-01-09,7.9388,7.9388,7.9388,7.9388
ZARDKK,1984-01-16,8.1922,8.1922,8.1922,8.1922
ZARDKK,1984-01-23,8.1065,8.1065,8.1065,8.1065
ZARDKK,1984-01-30,8.0475,8.0475,8.0475,8.0475
ZARDKK,1984-02-06,8.1959,8.1959,8.1959,8.1959
ZARDKK,1984-02-13,8.104,8.104,8.104,8.104
ZARDKK,1984-02-20,7.9899,7.9899,7.9899,7.9899
ZARDKK,1984-03-01,8.1084,8.1084,8.1084,8.1084
ZARDKK,1984-03-05,8.0035,8.0035,8.0035,8.0035
ZARDKK,1984-03-12,7.7163,7.7163,7.7163,7.7163
ZARDKK,1984-03-19,7.5172,7.5172,7.5172,7.5172
ZARDKK,1984-03-26,7.7456,7.7456,7.7456,7.7456
ZARDKK,1984-04-02,7.6394,7.6394,7.6394,7.6394
ZARDKK,1984-04-09,7.6828,7.6828,7.6828,7.6828
ZARDKK,1984-04-16,7.7161,7.7161,7.7161,7.7161
ZARDKK,1984-04-24,7.7493,7.7493,7.7493,7.7493
ZARDKK,1984-05-02,7.8265,7.8265,7.8265,7.8265
ZARDKK,1984-05-07,7.9261,7.9261,7.9261,7.9261
ZARDKK,1984-05-14,7.8051,7.8051,7.8051,7.8051
ZARDKK,1984-05-21,7.8604,7.8604,7.8604,7.8604
ZARDKK,1984-05-28,7.8604,7.8604,7.8604,7.8604
ZARDKK,1984-06-04,7.9276,7.9276,7.9276,7.9276
ZARDKK,1984-06-11,7.5868,7.5868,7.5868,7.5868
ZARDKK,1984-06-18,7.6306,7.6306,7.6306,7.6306
ZARDKK,1984-06-25,7.4841,7.4841,7.4841,7.4841
ZARDKK,1984-07-02,7.4658,7.4658,7.4658,7.4658
ZARDKK,1984-07-09,6.9393,6.9393,6.9393,6.9393
ZARDKK,1984-07-16,7.0193,7.0193,7.0193,7.0193
ZARDKK,1984-07-23,6.7712,6.7712,6.7712,6.7712
ZARDKK,1984-07-30,6.4558,6.4558,6.4558,6.4558
ZARDKK,1984-08-06,6.7414,6.7414,6.7414,6.7414
ZARDKK,1984-08-13,6.5888,6.5888,6.5888,6.5888
ZARDKK,1984-08-20,6.8093,6.8093,6.8093,6.8093
ZARDKK,1984-08-27,6.7442,6.7442,6.7442,6.7442
ZARDKK,1984-09-01,6.6978,6.6978,6.6978,6.6978
ZARDKK,1984-09-10,6.4206,6.4206,6.4206,6.4206
ZARDKK,1984-09-17,6.4834,6.4834,6.4834,6.4834
ZARDKK,1984-09-24,6.702,6.702,6.702,6.702
