ticker,date,open,high,low,close
ZARJPY,1984-01-09,184.54,184.54,184.54,184.54
ZARJPY,1984-01-16,186.94,186.94,186.94,186.94
ZARJPY,1984-01-23,187.5,187.5,187.5,187.5
ZARJPY,1984-01-30,184.07,184.07,184.07,184.07
ZARJPY,1984-02-06,188.48,188.48,188.48,188.48
ZARJPY,1984-02-13,188.57,188.57,188.57,188.57
ZARJPY,1984-02-20,187.78,187.78,187.78,187.78
ZARJPY,1984-03-01,193.68,193.68,193.68,193.68
ZARJPY,1984-03-05,195.34,195.34,195.34,195.34
ZARJPY,1984-03-12,183.65,183.65,183.65,183.65
ZARJPY,1984-03-19,180.35,180.35,180.35,180.35
ZARJPY,1984-03-26,181.95,181.95,181.95,181.95
ZARJPY,1984-04-02,180.34,180.34,180.34,180.34
ZARJPY,1984-04-09,179.61,179.61,179.61,179.61
ZARJPY,1984-04-16,180.08,180.08,180.08,180.08
ZARJPY,1984-04-24,179.84,179.84,179.84,179.84
ZARJPY,1984-05-02,178.94,178.94,178.94,178.94
ZARJPY,1984-05-07,179.87,179.87,179.87,179.87
ZARJPY,1984-05-14,176.08,176.08,176.08,176.08
ZARJPY,1984-05-21,180.18,180.18,180.18,180.18
ZARJPY,1984-05-28,182.03,182.03,182.03,182.03
ZARJPY,1984-06-04,183.07,183.07,183.07,183.07
ZARJPY,1984-06-11,177.17,177.17,177.17,177.17
ZARJPY,1984-06-18,177.42,177.42,177.42,177.42
ZARJPY,1984-06-25,172.71,172.71,172.71,172.71
ZARJPY,1984-07-02,173.85,173.85,173.85,173.85
ZARJPY,1984-07-09,161.46,161.46,161.46,161.46
ZARJPY,1984-07-16,163.91,163.91,163.91,163.91
ZARJPY,1984-07-23,157.75,157.75,157.75,157.75
ZARJPY,1984-07-30,151.46,151.46,151.46,151.46
ZARJPY,1984-08-06,156.31,156.31,156.31,156.31
ZARJPY,1984-08-13,151.71,151.71,151.71,151.71
ZARJPY,1984-08-20,156.95,156.95,156.95,156.95
ZARJPY,1984-08-27,154.98,154.98,154.98,154.98
ZARJPY,1984-09-01,154.49,154.49,154.49,154.49
ZARJPY,1984-09-10,147.04,147.04,147.04,147.04
ZARJPY,1984-09-17,145.89,145.89,145.89,145.89
ZARJPY,1984-09-24,148.48,148.48,148.48,148.48
ZARJPY,1984-10-01,146.69,146.69,146.69,146.69
ZARJPY,1984-10-08,145.88,145.88,145.88,145.88
ZARJPY,1984-10-15,139.21,139.21,139.21,139.21
ZARJPY,1984-10-22,138.87,138.87,138.87,138.87
ZARJPY,1984-10-29,126.51,126.51,126.51,126.51
ZARJPY,1984-11-05,136.38,136.38,136.38,136.38
ZARJPY,1984-11-12,134.34,134.34,134.34,134.34
ZARJPY,1984-11-19,133.58,133.58,133.58,133.58
ZARJPY,1984-11-26,133.98,133.98,133.98,133.98
ZARJPY,1984-12-01,135.23,135.23,135.23,135.23
ZARJPY,1984-12-10,135.22,135.22,135.22,135.22
ZARJPY,1984-12-17,129.11,129.11,129.11,129.11
ZARJPY,1984-12-24,125.83,125.83,125.83,125.83
ZARJPY,1985-01-01,126.39,126.39,126.39,126.39
ZARJPY,1985-01-07,120.04,120.04,120.04,120.04
ZARJPY,1985-01-14,112.09,112.09,112.09,112.09
ZARJPY,1985-01-21,112.76,112.76,112.76,112.76
ZARJPY,1985-01-28,118.86,118.86,118.86,118.86
ZARJPY,1985-02-04,125.16,125.16,125.16,125.16
ZARJPY,1985-02-11,137.87,137.87,137.87,137.87
ZARJPY,1985-02-18,139.13,139.13,139.13,139.13
ZARJPY,1985-02-25,120.31,120.31,120.31,120.31
ZARJPY,1985-03-04,124.41,124.41,124.41,124.41
ZARJPY,1985-03-11,131.02,131.02,131.02,131.02
ZARJPY,1985-03-18,129.62,129.62,129.62,129.62
ZARJPY,1985-03-25,129.66,129.66,129.66,129.66
ZARJPY,1985-03-29,133.75,133.75,133.75,133.75
ZARJPY,1985-04-01,130.15,130.15,130.15,130.15
ZARJPY,1985-04-09,127.53,127.53,127.53,127.53
ZARJPY,1985-04-15,135.17,135.17,135.17,135.17
ZARJPY,1985-04-22,131.16,131.16,131.16,131.16
ZARJPY,1985-04-29,127.03,127.03,127.03,127.03
ZARJPY,1985-05-06,123.44,123.44,123.44,123.44
ZARJPY,1985-05-13,129.18,129.18,129.18,129.18
ZARJPY,1985-05-20,126.03,126.03,126.03,126.03
ZARJPY,1985-05-27,125.92,125.92,125.92,125.92
ZARJPY,1985-06-01,126.68,126.68,126.68,126.68
ZARJPY,1985-06-10,124.9,124.9,124.9,124.9
ZARJPY,1985-06-17,126.24,126.24,126.24,126.24
ZARJPY,1985-06-24,125.47,125.47,125.47,125.47
ZARJPY,1985-07-01,125.53,125.53,125.53,125.53
ZARJPY,1985-07-08,126.83,126.83,126.83,126.83
ZARJPY,1985-07-15,128.69,128.69,128.69,128.69
ZARJPY,1985-07-23,126.04,126.04,126.04,126.04
ZARJPY,1985-07-29,116.41,116.41,116.41,116.41
ZARJPY,1985-08-05,107.26,107.26,107.26,107.26
ZARJPY,1985-08-12,114.58,114.58,114.58,114.58
ZARJPY,1985-08-19,97.803,97.803,97.803,97.803
ZARJPY,1985-08-26,93.493,93.493,93.493,93.493
ZARJPY,1985-09-02,93.247,93.247,93.247,93.247
