ticker,date,open,high,low,close
ZARKRW,1984-01-09,627.42,627.42,627.42,627.42
ZARKRW,1984-01-16,639.52,639.52,639.52,639.52
ZARKRW,1984-01-23,638.71,638.71,638.71,638.71
ZARKRW,1984-01-30,628.23,628.23,628.23,628.23
ZARKRW,1984-02-06,641.13,641.13,641.13,641.13
ZARKRW,1984-02-13,641.13,641.13,641.13,641.13
ZARKRW,1984-02-20,645.08,645.08,645.08,645.08
ZARKRW,1984-03-01,661.59,661.59,661.59,661.59
ZARKRW,1984-03-05,667.15,667.15,667.15,667.15
ZARKRW,1984-03-12,655.88,655.88,655.88,655.88
ZARKRW,1984-03-19,641.18,641.18,641.18,641.18
ZARKRW,1984-03-26,644.53,644.53,644.53,644.53
ZARKRW,1984-04-02,640.15,640.15,640.15,640.15
ZARKRW,1984-04-09,636.5,636.5,636.5,636.5
ZARKRW,1984-04-16,638.69,638.69,638.69,638.69
ZARKRW,1984-04-24,636.23,636.23,636.23,636.23
ZARKRW,1984-05-02,638.69,638.69,638.69,638.69
ZARKRW,1984-05-07,632.37,632.37,632.37,632.37
ZARKRW,1984-05-14,621.01,621.01,621.01,621.01
ZARKRW,1984-05-21,628.26,628.26,628.26,628.26
ZARKRW,1984-05-28,628.26,628.26,628.26,628.26
ZARKRW,1984-06-04,630.22,630.22,630.22,630.22
ZARKRW,1984-06-11,621.9,621.9,621.9,621.9
ZARKRW,1984-06-18,613.77,613.77,613.77,613.77
ZARKRW,1984-06-25,597.1,597.1,597.1,597.1
ZARKRW,1984-07-02,589.21,589.21,589.21,589.21
ZARKRW,1984-07-09,547.1,547.1,547.1,547.1
ZARKRW,1984-07-16,552.9,552.9,552.9,552.9
ZARKRW,1984-07-23,528.06,528.06,528.06,528.06
ZARKRW,1984-07-30,499.28,499.28,499.28,499.28
ZARKRW,1984-08-06,519.42,519.42,519.42,519.42
ZARKRW,1984-08-13,507.19,507.19,507.19,507.19
ZARKRW,1984-08-20,522.86,522.86,522.86,522.86
ZARKRW,1984-08-27,521.58,521.58,521.58,521.58
ZARKRW,1984-09-01,519.08,519.08,519.08,519.08
ZARKRW,1984-09-10,492.11,492.11,492.11,492.11
ZARKRW,1984-09-17,485.62,485.62,485.62,485.62
ZARKRW,1984-09-24,492.21,492.21,492.21,492.21
ZARKRW,1984-10-01,487.01,487.01,487.01,487.01
ZARKRW,1984-10-08,486.28,486.28,486.28,486.28
ZARKRW,1984-10-15,462.75,462.75,462.75,462.75
ZARKRW,1984-10-22,456.13,456.13,456.13,456.13
ZARKRW,1984-10-29,421.43,421.43,421.43,421.43
