ticker,date,open,high,low,close
ZARNOK,1984-01-09,6.1697,6.1697,6.1697,6.1697
ZARNOK,1984-01-16,6.344,6.344,6.344,6.344
ZARNOK,1984-01-23,6.2708,6.2708,6.2708,6.2708
ZARNOK,1984-01-30,6.1973,6.1973,6.1973,6.1973
ZARNOK,1984-02-06,6.3145,6.3145,6.3145,6.3145
ZARNOK,1984-02-13,6.3095,6.3095,6.3095,6.3095
ZARNOK,1984-02-20,6.2213,6.2213,6.2213,6.2213
ZARNOK,1984-03-01,6.3535,6.3535,6.3535,6.3535
ZARNOK,1984-03-05,6.2948,6.2948,6.2948,6.2948
ZARNOK,1984-03-12,6.1012,6.1012,6.1012,6.1012
ZARNOK,1984-03-19,5.9644,5.9644,5.9644,5.9644
ZARNOK,1984-03-26,6.0981,6.0981,6.0981,6.0981
ZARNOK,1984-04-02,6.0234,6.0234,6.0234,6.0234
ZARNOK,1984-04-09,6.0221,6.0221,6.0221,6.0221
ZARNOK,1984-04-16,6.0512,6.0512,6.0512,6.0512
ZARNOK,1984-04-24,6.0719,6.0719,6.0719,6.0719
ZARNOK,1984-05-02,6.0806,6.0806,6.0806,6.0806
ZARNOK,1984-05-07,6.1555,6.1555,6.1555,6.1555
ZARNOK,1984-05-14,6.0267,6.0267,6.0267,6.0267
ZARNOK,1984-05-21,6.1272,6.1272,6.1272,6.1272
ZARNOK,1984-05-28,6.0971,6.0971,6.0971,6.0971
ZARNOK,1984-06-04,6.1603,6.1603,6.1603,6.1603
ZARNOK,1984-06-11,5.9373,5.9373,5.9373,5.9373
ZARNOK,1984-06-18,5.9397,5.9397,5.9397,5.9397
ZARNOK,1984-06-25,5.7947,5.7947,5.7947,5.7947
ZARNOK,1984-07-02,5.8458,5.8458,5.8458,5.8458
ZARNOK,1984-07-09,5.4317,5.4317,5.4317,5.4317
ZARNOK,1984-07-16,5.537,5.537,5.537,5.537
ZARNOK,1984-07-23,5.3577,5.3577,5.3577,5.3577
ZARNOK,1984-07-30,5.0955,5.0955,5.0955,5.0955
ZARNOK,1984-08-06,5.3088,5.3088,5.3088,5.3088
ZARNOK,1984-08-13,5.1915,5.1915,5.1915,5.1915
ZARNOK,1984-08-20,5.3666,5.3666,5.3666,5.3666
ZARNOK,1984-08-27,5.3153,5.3153,5.3153,5.3153
ZARNOK,1984-09-01,5.3024,5.3024,5.3024,5.3024
ZARNOK,1984-09-10,5.0575,5.0575,5.0575,5.0575
ZARNOK,1984-09-17,5.0717,5.0717,5.0717,5.0717
ZARNOK,1984-09-24,5.224,5.224,5.224,5.224
ZARNOK,1984-10-01,5.2632,5.2632,5.2632,5.2632
ZARNOK,1984-10-08,5.2211,5.2211,5.2211,5.2211
ZARNOK,1984-10-15,4.9824,4.9824,4.9824,4.9824
ZARNOK,1984-10-22,5.0213,5.0213,5.0213,5.0213
ZARNOK,1984-10-29,4.5833,4.5833,4.5833,4.5833
ZARNOK,1984-11-05,4.9086,4.9086,4.9086,4.9086
ZARNOK,1984-11-12,4.751,4.751,4.751,4.751
ZARNOK,1984-11-19,4.7649,4.7649,4.7649,4.7649
ZARNOK,1984-11-26,4.7805,4.7805,4.7805,4.7805
ZARNOK,1984-12-01,4.8662,4.8662,4.8662,4.8662
ZARNOK,1984-12-10,4.8832,4.8832,4.8832,4.8832
ZARNOK,1984-12-17,4.661,4.661,4.661,4.661
ZARNOK,1984-12-24,4.5538,4.5538,4.5538,4.5538
ZARNOK,1985-01-01,4.5923,4.5923,4.5923,4.5923
ZARNOK,1985-01-07,4.3524,4.3524,4.3524,4.3524
ZARNOK,1985-01-14,4.0131,4.0131,4.0131,4.0131
ZARNOK,1985-01-21,4.0795,4.0795,4.0795,4.0795
ZARNOK,1985-01-28,4.3056,4.3056,4.3056,4.3056
ZARNOK,1985-02-04,4.5155,4.5155,4.5155,4.5155
ZARNOK,1985-02-11,4.9204,4.9204,4.9204,4.9204
ZARNOK,1985-02-18,4.9867,4.9867,4.9867,4.9867
