ticker,date,open,high,low,close
ZARNZD,1984-01-09,1.2118,1.2118,1.2118,1.2118
ZARNZD,1984-01-16,1.2333,1.2333,1.2333,1.2333
ZARNZD,1984-01-23,1.2336,1.2336,1.2336,1.2336
ZARNZD,1984-01-30,1.2115,1.2115,1.2115,1.2115
ZARNZD,1984-02-06,1.2269,1.2269,1.2269,1.2269
ZARNZD,1984-02-13,1.2269,1.2269,1.2269,1.2269
ZARNZD,1984-02-20,1.2278,1.2278,1.2278,1.2278
ZARNZD,1984-03-01,1.249,1.249,1.249,1.249
ZARNZD,1984-03-05,1.2659,1.2659,1.2659,1.2659
ZARNZD,1984-03-12,1.2372,1.2372,1.2372,1.2372
ZARNZD,1984-03-19,1.2111,1.2111,1.2111,1.2111
ZARNZD,1984-03-26,1.2163,1.2163,1.2163,1.2163
ZARNZD,1984-04-02,1.2113,1.2113,1.2113,1.2113
ZARNZD,1984-04-09,1.2145,1.2145,1.2145,1.2145
ZARNZD,1984-04-16,1.2204,1.2204,1.2204,1.2204
ZARNZD,1984-04-24,1.2161,1.2161,1.2161,1.2161
ZARNZD,1984-05-02,1.2136,1.2136,1.2136,1.2136
ZARNZD,1984-05-07,1.2175,1.2175,1.2175,1.2175
ZARNZD,1984-05-14,1.1936,1.1936,1.1936,1.1936
ZARNZD,1984-05-21,1.2075,1.2075,1.2075,1.2075
ZARNZD,1984-05-28,1.2075,1.2075,1.2075,1.2075
ZARNZD,1984-06-04,1.2116,1.2116,1.2116,1.2116
ZARNZD,1984-06-11,1.1966,1.1966,1.1966,1.1966
ZARNZD,1984-06-18,1.1896,1.1896,1.1896,1.1896
ZARNZD,1984-06-25,1.1755,1.1755,1.1755,1.1755
ZARNZD,1984-07-02,1.1568,1.1568,1.1568,1.1568
ZARNZD,1984-07-09,1.0879,1.0879,1.0879,1.0879
ZARNZD,1984-07-16,1.0994,1.0994,1.0994,1.0994
ZARNZD,1984-07-23,1.3154,1.3154,1.3154,1.3154
ZARNZD,1984-07-30,1.2415,1.2415,1.2415,1.2415
ZARNZD,1984-08-06,1.2801,1.2801,1.2801,1.2801
ZARNZD,1984-08-13,1.2545,1.2545,1.2545,1.2545
ZARNZD,1984-08-20,1.2933,1.2933,1.2933,1.2933
