ticker,date,open,high,low,close
ZARPLN,1984-01-09,0.0078,0.0078,0.0078,0.0078
ZARPLN,1984-01-16,0.0079,0.0079,0.0079,0.0079
ZARPLN,1984-01-23,0.0079,0.0079,0.0079,0.0079
ZARPLN,1984-01-30,0.0078,0.0078,0.0078,0.0078
ZARPLN,1984-02-06,0.008,0.008,0.008,0.008
ZARPLN,1984-02-13,0.008,0.008,0.008,0.008
ZARPLN,1984-02-20,0.0079,0.0079,0.0079,0.0079
ZARPLN,1984-03-01,0.0091,0.0091,0.0091,0.0091
ZARPLN,1984-03-05,0.0091,0.0091,0.0091,0.0091
ZARPLN,1984-03-12,0.0089,0.0089,0.0089,0.0089
ZARPLN,1984-03-19,0.0087,0.0087,0.0087,0.0087
ZARPLN,1984-03-26,0.0088,0.0088,0.0088,0.0088
ZARPLN,1984-04-02,0.0088,0.0088,0.0088,0.0088
ZARPLN,1984-04-09,0.0087,0.0087,0.0087,0.0087
ZARPLN,1984-04-16,0.0088,0.0088,0.0088,0.0088
ZARPLN,1984-04-24,0.0088,0.0088,0.0088,0.0088
ZARPLN,1984-05-02,0.0088,0.0088,0.0088,0.0088
ZARPLN,1984-05-07,0.0088,0.0088,0.0088,0.0088
ZARPLN,1984-05-14,0.0086,0.0086,0.0086,0.0086
ZARPLN,1984-05-21,0.0087,0.0087,0.0087,0.0087
ZARPLN,1984-05-28,0.0087,0.0087,0.0087,0.0087
ZARPLN,1984-06-04,0.0088,0.0088,0.0088,0.0088
ZARPLN,1984-06-11,0.0085,0.0085,0.0085,0.0085
ZARPLN,1984-06-18,0.0085,0.0085,0.0085,0.0085
ZARPLN,1984-06-25,0.0082,0.0082,0.0082,0.0082
ZARPLN,1984-07-02,0.0082,0.0082,0.0082,0.0082
ZARPLN,1984-07-09,0.0076,0.0076,0.0076,0.0076
ZARPLN,1984-07-16,0.0076,0.0076,0.0076,0.0076
ZARPLN,1984-07-23,0.0073,0.0073,0.0073,0.0073
ZARPLN,1984-07-30,0.0069,0.0069,0.0069,0.0069
ZARPLN,1984-08-06,0.0072,0.0072,0.0072,0.0072
ZARPLN,1984-08-13,0.007,0.007,0.007,0.007
ZARPLN,1984-08-20,0.0073,0.0073,0.0073,0.0073
ZARPLN,1984-08-27,0.0073,0.0073,0.0073,0.0073
ZARPLN,1984-09-01,0.0079,0.0079,0.0079,0.0079
ZARPLN,1984-09-10,0.0075,0.0075,0.0075,0.0075
ZARPLN,1984-09-17,0.0074,0.0074,0.0074,0.0074
ZARPLN,1984-09-24,0.0076,0.0076,0.0076,0.0076
ZARPLN,1984-10-01,0.0075,0.0075,0.0075,0.0075
ZARPLN,1984-10-08,0.0074,0.0074,0.0074,0.0074
ZARPLN,1984-10-15,0.0071,0.0071,0.0071,0.0071
ZARPLN,1984-10-22,0.0071,0.0071,0.0071,0.0071
ZARPLN,1984-10-29,0.0065,0.0065,0.0065,0.0065
ZARPLN,1984-11-05,0.007,0.007,0.007,0.007
ZARPLN,1984-11-12,0.0069,0.0069,0.0069,0.0069
ZARPLN,1984-11-19,0.0069,0.0069,0.0069,0.0069
ZARPLN,1984-11-26,0.0069,0.0069,0.0069,0.0069
ZARPLN,1984-12-01,0.0069,0.0069,0.0069,0.0069
ZARPLN,1984-12-10,0.0069,0.0069,0.0069,0.0069
ZARPLN,1984-12-17,0.0066,0.0066,0.0066,0.0066
ZARPLN,1984-12-24,0.0064,0.0064,0.0064,0.0064
ZARPLN,1985-01-01,0.007,0.007,0.007,0.007
ZARPLN,1985-01-07,0.0066,0.0066,0.0066,0.0066
ZARPLN,1985-01-14,0.0061,0.0061,0.0061,0.0061
ZARPLN,1985-01-21,0.0062,0.0062,0.0062,0.0062
ZARPLN,1985-01-28,0.0065,0.0065,0.0065,0.0065
ZARPLN,1985-02-04,0.0069,0.0069,0.0069,0.0069
ZARPLN,1985-02-11,0.0074,0.0074,0.0074,0.0074
ZARPLN,1985-02-18,0.0075,0.0075,0.0075,0.0075
ZARPLN,1985-02-25,0.0065,0.0065,0.0065,0.0065
ZARPLN,1985-03-04,0.0068,0.0068,0.0068,0.0068
ZARPLN,1985-03-11,0.0071,0.0071,0.0071,0.0071
ZARPLN,1985-03-18,0.007,0.007,0.007,0.007
ZARPLN,1985-03-25,0.007,0.007,0.007,0.007
ZARPLN,1985-03-29,0.0073,0.0073,0.0073,0.0073
ZARPLN,1985-04-01,0.0071,0.0071,0.0071,0.0071
ZARPLN,1985-04-09,0.0069,0.0069,0.0069,0.0069
ZARPLN,1985-04-15,0.0073,0.0073,0.0073,0.0073
ZARPLN,1985-04-22,0.0071,0.0071,0.0071,0.0071
ZARPLN,1985-04-29,0.007,0.007,0.007,0.007
ZARPLN,1985-05-06,0.0067,0.0067,0.0067,0.0067
ZARPLN,1985-05-13,0.0071,0.0071,0.0071,0.0071
ZARPLN,1985-05-20,0.0069,0.0069,0.0069,0.0069
ZARPLN,1985-05-27,0.0069,0.0069,0.0069,0.0069
ZARPLN,1985-06-01,0.008,0.008,0.008,0.008
