ticker,date,open,high,low,close
ZARSEK,1984-01-09,6.5,6.5,6.5,6.5
ZARSEK,1984-01-16,6.5833,6.5833,6.5833,6.5833
ZARSEK,1984-01-23,6.5833,6.5833,6.5833,6.5833
ZARSEK,1984-01-30,6.5,6.5,6.5,6.5
ZARSEK,1984-02-06,6.6667,6.6667,6.6667,6.6667
ZARSEK,1984-02-13,6.6667,6.6667,6.6667,6.6667
ZARSEK,1984-02-20,6.5833,6.5833,6.5833,6.5833
ZARSEK,1984-03-01,6.5,6.5,6.5,6.5
ZARSEK,1984-03-05,6.5,6.5,6.5,6.5
ZARSEK,1984-03-12,6.3571,6.3571,6.3571,6.3571
ZARSEK,1984-03-19,6.2143,6.2143,6.2143,6.2143
ZARSEK,1984-03-26,6.2857,6.2857,6.2857,6.2857
ZARSEK,1984-04-02,6.2857,6.2857,6.2857,6.2857
ZARSEK,1984-04-09,6.2143,6.2143,6.2143,6.2143
ZARSEK,1984-04-16,6.2857,6.2857,6.2857,6.2857
ZARSEK,1984-04-24,6.2857,6.2857,6.2857,6.2857
ZARSEK,1984-05-02,6.2857,6.2857,6.2857,6.2857
ZARSEK,1984-05-07,6.2857,6.2857,6.2857,6.2857
ZARSEK,1984-05-14,6.1429,6.1429,6.1429,6.1429
ZARSEK,1984-05-21,6.2143,6.2143,6.2143,6.2143
ZARSEK,1984-05-28,6.2143,6.2143,6.2143,6.2143
ZARSEK,1984-06-04,6.2857,6.2857,6.2857,6.2857
ZARSEK,1984-06-11,6.0714,6.0714,6.0714,6.0714
ZARSEK,1984-06-18,6.0714,6.0714,6.0714,6.0714
ZARSEK,1984-06-25,5.8571,5.8571,5.8571,5.8571
ZARSEK,1984-07-02,5.8571,5.8571,5.8571,5.8571
ZARSEK,1984-07-09,5.4286,5.4286,5.4286,5.4286
ZARSEK,1984-07-16,5.4286,5.4286,5.4286,5.4286
ZARSEK,1984-07-23,5.2143,5.2143,5.2143,5.2143
ZARSEK,1984-07-30,4.9286,4.9286,4.9286,4.9286
ZARSEK,1984-08-06,5.1429,5.1429,5.1429,5.1429
ZARSEK,1984-08-13,5.3846,5.3846,5.3846,5.3846
