ticker,date,open,high,low,close
ZARSGD,1984-01-09,1.6957,1.6957,1.6957,1.6957
ZARSGD,1984-01-16,1.7174,1.7174,1.7174,1.7174
ZARSGD,1984-01-23,1.7174,1.7174,1.7174,1.7174
ZARSGD,1984-01-30,1.6957,1.6957,1.6957,1.6957
ZARSGD,1984-02-06,1.7391,1.7391,1.7391,1.7391
ZARSGD,1984-02-13,1.7391,1.7391,1.7391,1.7391
ZARSGD,1984-02-20,1.7174,1.7174,1.7174,1.7174
ZARSGD,1984-03-01,1.75,1.75,1.75,1.75
ZARSGD,1984-03-05,1.717,1.717,1.717,1.717
ZARSGD,1984-03-12,1.7115,1.7115,1.7115,1.7115
ZARSGD,1984-03-19,1.6731,1.6731,1.6731,1.6731
ZARSGD,1984-03-26,1.6923,1.6923,1.6923,1.6923
ZARSGD,1984-04-02,1.6923,1.6923,1.6923,1.6923
ZARSGD,1984-04-09,1.6731,1.6731,1.6731,1.6731
ZARSGD,1984-04-16,1.6923,1.6923,1.6923,1.6923
ZARSGD,1984-04-24,1.6604,1.6604,1.6604,1.6604
ZARSGD,1984-05-02,1.6604,1.6604,1.6604,1.6604
ZARSGD,1984-05-07,1.6604,1.6604,1.6604,1.6604
ZARSGD,1984-05-14,1.6226,1.6226,1.6226,1.6226
ZARSGD,1984-05-21,1.6415,1.6415,1.6415,1.6415
ZARSGD,1984-05-28,1.6415,1.6415,1.6415,1.6415
ZARSGD,1984-06-04,1.6604,1.6604,1.6604,1.6604
ZARSGD,1984-06-11,1.6346,1.6346,1.6346,1.6346
ZARSGD,1984-06-18,1.6346,1.6346,1.6346,1.6346
ZARSGD,1984-06-25,1.5769,1.5769,1.5769,1.5769
ZARSGD,1984-07-02,1.5769,1.5769,1.5769,1.5769
ZARSGD,1984-07-09,1.4615,1.4615,1.4615,1.4615
ZARSGD,1984-07-16,1.4615,1.4615,1.4615,1.4615
ZARSGD,1984-07-23,1.4039,1.4039,1.4039,1.4039
ZARSGD,1984-07-30,1.3019,1.3019,1.3019,1.3019
ZARSGD,1984-08-06,1.3585,1.3585,1.3585,1.3585
ZARSGD,1984-08-13,1.3208,1.3208,1.3208,1.3208
ZARSGD,1984-08-20,1.3774,1.3774,1.3774,1.3774
ZARSGD,1984-08-27,1.3774,1.3774,1.3774,1.3774
ZARSGD,1984-09-01,1.386,1.386,1.386,1.386
ZARSGD,1984-09-10,1.3158,1.3158,1.3158,1.3158
ZARSGD,1984-09-17,1.2759,1.2759,1.2759,1.2759
ZARSGD,1984-09-24,1.3103,1.3103,1.3103,1.3103
ZARSGD,1984-10-01,1.2931,1.2931,1.2931,1.2931
ZARSGD,1984-10-08,1.2759,1.2759,1.2759,1.2759
ZARSGD,1984-10-15,1.2241,1.2241,1.2241,1.2241
ZARSGD,1984-10-22,1.2034,1.2034,1.2034,1.2034
ZARSGD,1984-10-29,1.1207,1.1207,1.1207,1.1207
ZARSGD,1984-11-05,1.1864,1.1864,1.1864,1.1864
ZARSGD,1984-11-12,1.1897,1.1897,1.1897,1.1897
ZARSGD,1984-11-19,1.1897,1.1897,1.1897,1.1897
ZARSGD,1984-11-26,1.1897,1.1897,1.1897,1.1897
ZARSGD,1984-12-01,1.1897,1.1897,1.1897,1.1897
ZARSGD,1984-12-10,1.1897,1.1897,1.1897,1.1897
ZARSGD,1984-12-17,1.1379,1.1379,1.1379,1.1379
ZARSGD,1984-12-24,1.1035,1.1035,1.1035,1.1035
ZARSGD,1985-01-01,1.1111,1.1111,1.1111,1.1111
ZARSGD,1985-01-07,1.0476,1.0476,1.0476,1.0476
ZARSGD,1985-01-14,0.9683,0.9683,0.9683,0.9683
ZARSGD,1985-01-21,0.9841,0.9841,0.9841,0.9841
ZARSGD,1985-01-28,1.0318,1.0318,1.0318,1.0318
ZARSGD,1985-02-04,1.1129,1.1129,1.1129,1.1129
ZARSGD,1985-02-11,1.1936,1.1936,1.1936,1.1936
ZARSGD,1985-02-18,1.2097,1.2097,1.2097,1.2097
ZARSGD,1985-02-25,1.0484,1.0484,1.0484,1.0484
ZARSGD,1985-03-04,1.0968,1.0968,1.0968,1.0968
ZARSGD,1985-03-11,1.127,1.127,1.127,1.127
ZARSGD,1985-03-18,1.129,1.129,1.129,1.129
ZARSGD,1985-03-25,1.129,1.129,1.129,1.129
ZARSGD,1985-03-29,1.1587,1.1587,1.1587,1.1587
ZARSGD,1985-04-01,1.1452,1.1452,1.1452,1.1452
ZARSGD,1985-04-09,1.1312,1.1312,1.1312,1.1312
ZARSGD,1985-04-15,1.1587,1.1587,1.1587,1.1587
ZARSGD,1985-04-22,1.1452,1.1452,1.1452,1.1452
ZARSGD,1985-04-29,1.1475,1.1475,1.1475,1.1475
ZARSGD,1985-05-06,1.0984,1.0984,1.0984,1.0984
ZARSGD,1985-05-13,1.127,1.127,1.127,1.127
ZARSGD,1985-05-20,1.1129,1.1129,1.1129,1.1129
ZARSGD,1985-05-27,1.1129,1.1129,1.1129,1.1129
ZARSGD,1985-06-01,1.1111,1.1111,1.1111,1.1111
ZARSGD,1985-06-10,1.1127,1.1127,1.1127,1.1127
ZARSGD,1985-06-17,1.1268,1.1268,1.1268,1.1268
ZARSGD,1985-06-24,1.1429,1.1429,1.1429,1.1429
ZARSGD,1985-07-01,1.1268,1.1268,1.1268,1.1268
ZARSGD,1985-07-08,1.1409,1.1409,1.1409,1.1409
ZARSGD,1985-07-15,1.1549,1.1549,1.1549,1.1549
ZARSGD,1985-07-23,1.1714,1.1714,1.1714,1.1714
ZARSGD,1985-07-29,1.0714,1.0714,1.0714,1.0714
ZARSGD,1985-08-05,0.9857,0.9857,0.9857,0.9857
ZARSGD,1985-08-12,1.0571,1.0571,1.0571,1.0571
ZARSGD,1985-08-19,0.913,0.913,0.913,0.913
ZARSGD,1985-08-26,0.8696,0.8696,0.8696,0.8696
ZARSGD,1985-09-02,0.8696,0.8696,0.8696,0.8696
ZARSGD,1985-09-09,0.8806,0.8806,0.8806,0.8806
ZARSGD,1985-09-16,0.9275,0.9275,0.9275,0.9275
ZARSGD,1985-09-23,0.8611,0.8611,0.8611,0.8611
ZARSGD,1985-09-30,0.831,0.831,0.831,0.831
ZARSGD,1985-10-07,0.8143,0.8143,0.8143,0.8143
ZARSGD,1985-10-14,0.8143,0.8143,0.8143,0.8143
ZARSGD,1985-10-21,0.8169,0.8169,0.8169,0.8169
ZARSGD,1985-10-28,0.8143,0.8143,0.8143,0.8143
ZARSGD,1985-11-04,0.8169,0.8169,0.8169,0.8169
ZARSGD,1985-11-11,0.8169,0.8169,0.8169,0.8169
