ticker,date,open,high,low,close
ZARTWD,1984-01-09,31.669,31.669,31.669,31.669
ZARTWD,1984-01-16,32.075,32.075,32.075,32.075
ZARTWD,1984-01-23,32.075,32.075,32.075,32.075
ZARTWD,1984-01-30,31.694,31.694,31.694,31.694
ZARTWD,1984-02-06,32.507,32.507,32.507,32.507
ZARTWD,1984-02-13,32.507,32.507,32.507,32.507
ZARTWD,1984-02-20,32.43,32.43,32.43,32.43
ZARTWD,1984-03-01,33.26,33.26,33.26,33.26
ZARTWD,1984-03-05,33.542,33.542,33.542,33.542
ZARTWD,1984-03-12,33.049,33.049,33.049,33.049
ZARTWD,1984-03-19,32.258,32.258,32.258,32.258
ZARTWD,1984-03-26,32.258,32.258,32.258,32.258
ZARTWD,1984-04-02,32.258,32.258,32.258,32.258
ZARTWD,1984-04-09,31.892,31.892,31.892,31.892
ZARTWD,1984-04-16,32.117,32.117,32.117,32.117
ZARTWD,1984-04-24,31.758,31.758,31.758,31.758
ZARTWD,1984-05-02,31.735,31.735,31.735,31.735
ZARTWD,1984-05-07,31.429,31.429,31.429,31.429
ZARTWD,1984-05-14,30.714,30.714,30.714,30.714
ZARTWD,1984-05-21,31.161,31.161,31.161,31.161
ZARTWD,1984-05-28,31.161,31.161,31.161,31.161
ZARTWD,1984-06-04,31.712,31.712,31.712,31.712
ZARTWD,1984-06-11,30.797,30.797,30.797,30.797
ZARTWD,1984-06-18,30.488,30.488,30.488,30.488
ZARTWD,1984-06-25,29.401,29.401,29.401,29.401
ZARTWD,1984-07-02,29.047,29.047,29.047,29.047
ZARTWD,1984-07-09,26.846,26.846,26.846,26.846
ZARTWD,1984-07-16,26.808,26.808,26.808,26.808
ZARTWD,1984-07-23,25.525,25.525,25.525,25.525
ZARTWD,1984-07-30,23.975,23.975,23.975,23.975
ZARTWD,1984-08-06,24.922,24.922,24.922,24.922
ZARTWD,1984-08-13,24.23,24.23,24.23,24.23
ZARTWD,1984-08-20,25.242,25.242,25.242,25.242
ZARTWD,1984-08-27,25.251,25.251,25.251,25.251
ZARTWD,1984-09-01,25.103,25.103,25.103,25.103
ZARTWD,1984-09-10,23.637,23.637,23.637,23.637
ZARTWD,1984-09-17,23.168,23.168,23.168,23.168
ZARTWD,1984-09-24,23.676,23.676,23.676,23.676
ZARTWD,1984-10-01,23.343,23.343,23.343,23.343
ZARTWD,1984-10-08,23.212,23.212,23.212,23.212
ZARTWD,1984-10-15,22.077,22.077,22.077,22.077
ZARTWD,1984-10-22,21.968,21.968,21.968,21.968
ZARTWD,1984-10-29,20.3,20.3,20.3,20.3
ZARTWD,1984-11-05,21.8,21.8,21.8,21.8
ZARTWD,1984-11-12,21.835,21.835,21.835,21.835
ZARTWD,1984-11-19,21.975,21.975,21.975,21.975
ZARTWD,1984-11-26,21.808,21.808,21.808,21.808
ZARTWD,1984-12-01,21.63,21.63,21.63,21.63
ZARTWD,1984-12-10,21.644,21.644,21.644,21.644
ZARTWD,1984-12-17,20.709,20.709,20.709,20.709
ZARTWD,1984-12-24,20.069,20.069,20.069,20.069
ZARTWD,1985-01-01,20.04,20.04,20.04,20.04
ZARTWD,1985-01-07,18.745,18.745,18.745,18.745
ZARTWD,1985-01-14,17.409,17.409,17.409,17.409
ZARTWD,1985-01-21,17.564,17.564,17.564,17.564
ZARTWD,1985-01-28,18.32,18.32,18.32,18.32
ZARTWD,1985-02-04,19.453,19.453,19.453,19.453
ZARTWD,1985-02-11,20.711,20.711,20.711,20.711
ZARTWD,1985-02-18,20.839,20.839,20.839,20.839
ZARTWD,1985-02-25,18.106,18.106,18.106,18.106
ZARTWD,1985-03-04,19.005,19.005,19.005,19.005
ZARTWD,1985-03-11,19.581,19.581,19.581,19.581
ZARTWD,1985-03-18,19.646,19.646,19.646,19.646
ZARTWD,1985-03-25,19.853,19.853,19.853,19.853
ZARTWD,1985-03-29,20.941,20.941,20.941,20.941
ZARTWD,1985-04-01,20.367,20.367,20.367,20.367
ZARTWD,1985-04-09,19.96,19.96,19.96,19.96
ZARTWD,1985-04-15,20.965,20.965,20.965,20.965
ZARTWD,1985-04-22,20.785,20.785,20.785,20.785
ZARTWD,1985-04-29,20.57,20.57,20.57,20.57
ZARTWD,1985-05-06,19.539,19.539,19.539,19.539
ZARTWD,1985-05-13,20.414,20.414,20.414,20.414
ZARTWD,1985-05-20,20.247,20.247,20.247,20.247
ZARTWD,1985-05-27,20.247,20.247,20.247,20.247
ZARTWD,1985-06-01,20.08,20.08,20.08,20.08
